game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-06-14_pdxST-at-seaRM	pdxST-2	Allison-Hall	5	1	4	1	15	15	19	0	0	pdxST	2
2014-06-14_pdxST-at-seaRM	pdxST-42	Lohre	5	1	2	3	35	35	35	1	0	pdxST	42
2014-06-14_pdxST-at-seaRM	pdxST-7	Friedman	5	0.91	2	3	33	30	35	0	0	pdxST	7
2014-06-14_pdxST-at-seaRM	pdxST-24	Norden	5	0.96	0	5	67	64	57	0	0	pdxST	24
2014-06-14_pdxST-at-seaRM	pdxST-10	Strout	4	0.9	3	1	40	36	37	0	0	pdxST	10
2014-06-14_pdxST-at-seaRM	pdxST-6	Bjorklund	2	0.9	2	0	20	18	20	0	0	pdxST	6
2014-06-14_pdxST-at-seaRM	pdxST-17	Hayes	2	1	0	2	5	5	3	1	0	pdxST	17
2014-06-14_pdxST-at-seaRM	pdxST-11	Kenton	2	0.98	0	2	42	41	34	0	0	pdxST	11
2014-06-14_pdxST-at-seaRM	pdxST-22	Cole	1	0.71	1	0	7	5	7	1	1	pdxST	22
2014-06-14_pdxST-at-seaRM	pdxST-14	Adamson	1	NA	1	0	0	0	1	0	0	pdxST	14
2014-06-14_pdxST-at-seaRM	pdxST-16	Burton	1	0.67	1	0	3	2	4	0	0	pdxST	16
2014-06-14_pdxST-at-seaRM	pdxST-9	Hancock	1	1	1	0	1	1	2	0	0	pdxST	9
2014-06-14_pdxST-at-seaRM	pdxST-8	Davis	0	1	0	0	10	10	5	2	0	pdxST	8
2014-06-14_pdxST-at-seaRM	pdxST-25	Meinershagen	0	1	0	0	3	3	3	1	0	pdxST	25
2014-06-14_pdxST-at-seaRM	pdxST-3	Ferrea	0	1	0	0	4	4	4	1	0	pdxST	3
2014-06-14_pdxST-at-seaRM	pdxST-5	Woodside	0	NA	0	0	0	0	0	1	0	pdxST	5
2014-06-14_pdxST-at-seaRM	pdxST-15	Thornton	0	0.67	0	0	3	2	3	0	0	pdxST	15
2014-06-14_pdxST-at-seaRM	pdxST-21	McGinn	0	0.78	0	0	9	7	7	0	0	pdxST	21
2014-06-14_pdxST-at-seaRM	pdxST-4	Blackman	0	0.5	0	0	2	1	2	0	0	pdxST	4
2014-06-14_pdxST-at-seaRM	pdxST-73	King	0	0.9	0	0	10	9	10	0	0	pdxST	73
2014-06-14_pdxST-at-seaRM	seaRM-99	el-salaam	6	0.88	3	3	24	21	27	0	1	seaRM	99
2014-06-14_pdxST-at-seaRM	seaRM-77	trotter	5	1	2	3	17	17	16	1	0	seaRM	77
2014-06-14_pdxST-at-seaRM	seaRM-35	koss	4	0.87	0	4	38	33	32	0	2	seaRM	35
2014-06-14_pdxST-at-seaRM	seaRM-1	mckibben	3	0.98	2	1	41	40	35	1	0	seaRM	1
2014-06-14_pdxST-at-seaRM	seaRM-6	trytiak	3	0.88	1	2	16	14	17	2	0	seaRM	6
2014-06-14_pdxST-at-seaRM	seaRM-9	harkness	2	1	2	0	15	15	17	1	0	seaRM	9
2014-06-14_pdxST-at-seaRM	seaRM-5	chu	2	1	2	0	3	3	5	0	0	seaRM	5
2014-06-14_pdxST-at-seaRM	seaRM-12	gallagher	2	1	1	1	5	5	6	1	0	seaRM	12
2014-06-14_pdxST-at-seaRM	seaRM-51	entz	2	1	1	1	3	3	4	1	0	seaRM	51
2014-06-14_pdxST-at-seaRM	seaRM-15	beehner	2	1	1	1	1	1	2	0	0	seaRM	15
2014-06-14_pdxST-at-seaRM	seaRM-25	rosatto	1	0.85	1	0	13	11	13	0	0	seaRM	25
2014-06-14_pdxST-at-seaRM	seaRM-00	rupp	0	0.92	0	0	36	33	26	1	1	seaRM	00
2014-06-14_pdxST-at-seaRM	seaRM-13	sewell	0	1	0	0	1	1	1	1	0	seaRM	13
2014-06-14_pdxST-at-seaRM	seaRM-23	sliva	0	0.67	0	0	3	2	3	1	0	seaRM	23
2014-06-14_pdxST-at-seaRM	seaRM-24	duffel	0	1	0	0	3	3	2	1	0	seaRM	24
2014-06-14_pdxST-at-seaRM	seaRM-7	cooper	0	NA	0	0	0	0	0	1	0	seaRM	7
2014-06-14_pdxST-at-seaRM	seaRM-	?name?	0	NA	0	0	0	0	0	0	0	seaRM	seaRM
2014-06-14_pdxST-at-seaRM	seaRM-0	?name?	0	1	0	0	1	1	1	0	0	seaRM	0
2014-06-14_pdxST-at-seaRM	seaRM-10	kalmakis	0	0	0	0	1	0	1	0	1	seaRM	10
2014-06-14_pdxST-at-seaRM	seaRM-14	pickel	0	1	0	0	1	1	0	0	0	seaRM	14
2014-06-14_pdxST-at-seaRM	seaRM-2	bubernak	0	1	0	0	1	1	2	0	0	seaRM	2
2014-06-14_pdxST-at-seaRM	seaRM-28	linn	0	1	0	0	2	2	1	0	0	seaRM	28
2014-06-14_pdxST-at-seaRM	seaRM-29	feeley	0	0.79	0	0	14	11	7	0	0	seaRM	29
