point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Philadelphia Spinners	1	10:00:00	9:38:00
2	Boston Whitecaps	1	9:38:00	8:23:00
3	Boston Whitecaps	1	8:23:00	7:54:00
4	Philadelphia Spinners	1	7:54:00	7:43:00
5	Boston Whitecaps	1	7:43:00	6:48:00
6	Philadelphia Spinners	1	6:48:00	6:20:00
7	Boston Whitecaps	1	6:20:00	5:32:00
8	Boston Whitecaps	1	5:32:00	5:01:00
9	Philadelphia Spinners	1	5:01:00	4:07:00
10	Boston Whitecaps	1	4:07:00	3:35:00
11	Philadelphia Spinners	1	3:35:00	2:56:00
12	Boston Whitecaps	1	2:56:00	1:54:00
13	Philadelphia Spinners	1	1:54:00	1:29:00
14	Boston Whitecaps	1	1:29:00	0:41:00
15	Philadelphia Spinners	1	0:41:00	0:00:00
16	Boston Whitecaps	2	10:00:00	8:19:00
17	Philadelphia Spinners	2	8:19:00	7:40:00
18	Boston Whitecaps	2	7:40:00	6:33:00
19	Boston Whitecaps	2	6:33:00	5:36:00
20	Philadelphia Spinners	2	5:36:00	4:44:00
21	Philadelphia Spinners	2	4:44:00	2:42:00
22	Philadelphia Spinners	2	2:42:00	1:17:00
23	Philadelphia Spinners	2	1:17:00	0:44:00
24	Boston Whitecaps	2	0:44:00	0:16:00
25	Philadelphia Spinners	2	0:16:00	0:00:00
26	Philadelphia Spinners	3	10:00:00	9:44:00
27	Boston Whitecaps	3	9:44:00	8:54:00
28	Philadelphia Spinners	3	8:54:00	7:08:00
29	Philadelphia Spinners	3	7:08:00	6:35:00
30	Philadelphia Spinners	3	6:35:00	5:38:00
31	Philadelphia Spinners	3	5:38:00	4:43:00
32	Boston Whitecaps	3	4:43:00	3:01:00
33	Philadelphia Spinners	3	3:01:00	0:03:00
34	Boston Whitecaps	3	0:03:00	0:00:00
35	Boston Whitecaps	4	10:00:00	9:25:00
36	Philadelphia Spinners	4	9:25:00	8:07:00
37	Boston Whitecaps	4	8:07:00	6:34:00
38	Boston Whitecaps	4	6:34:00	6:21:00
39	Boston Whitecaps	4	6:21:00	5:55:00
40	Philadelphia Spinners	4	5:55:00	3:40:00
41	Boston Whitecaps	4	3:40:00	2:22:00
42	Philadelphia Spinners	4	2:22:00	0:48:00
43	Philadelphia Spinners	4	0:48:00	0:00:00
