period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	phlSP	1	1	1	bosWC	phlSP	1	P
1	1	phlSP	2	1	1	bosWC	bosWC	00	PU
1	1	phlSP	3	1	1	bosWC	bosWC	13	
1	1	phlSP	4	1	1	bosWC	bosWC	1	
1	1	phlSP	5	1	1	bosWC	bosWC	64	
1	1	phlSP	6	1	1	bosWC	bosWC	13	
1	1	phlSP	7	1	1	bosWC	bosWC	9	
1	1	phlSP	8	1	1	bosWC	bosWC	1	A
1	1	phlSP	9	1	1	bosWC	bosWC	9	G
1	2	bosWC	1	2	1	phlSP	bosWC	43	P
1	2	bosWC	2	2	1	phlSP	phlSP	13	PU
1	2	bosWC	3	2	1	phlSP	phlSP	7	
1	2	bosWC	4	2	1	phlSP	phlSP	42	
1	2	bosWC	5	2	1	phlSP	phlSP	7	
1	2	bosWC	6	2	1	phlSP	phlSP	13	
1	2	bosWC	7	2	1	phlSP	phlSP	7	
1	2	bosWC	8	2	1	phlSP	phlSP	13	
1	2	bosWC	9	2	1	phlSP	phlSP	27	
1	2	bosWC	10	3	2	bosWC	bosWC	12	PU
1	2	bosWC	11	3	2	bosWC	bosWC	14	
1	2	bosWC	12	3	2	bosWC	bosWC	27	
1	2	bosWC	13	3	2	bosWC	bosWC	29	
1	2	bosWC	14	3	2	bosWC	bosWC	43	
1	2	bosWC	15	3	2	bosWC	bosWC	29	A
1	2	bosWC	16	3	2	bosWC	bosWC	27	G
1	3	bosWC	1	4	1	phlSP	bosWC	18	P
1	3	bosWC	2	4	1	phlSP	phlSP	4	PU
1	3	bosWC	3	4	1	phlSP	phlSP	38	
1	3	bosWC	4	4	1	phlSP	phlSP	20	
1	3	bosWC	5	4	1	phlSP	phlSP	42	
1	3	bosWC	6	4	1	phlSP	phlSP	25	
1	3	bosWC	7	4	1	phlSP	phlSP	38	
1	3	bosWC	8	4	1	phlSP	phlSP	20	
1	3	bosWC	9	4	1	phlSP	phlSP	3	
1	3	bosWC	10	4	1	phlSP	phlSP	42	A
1	3	bosWC	11	4	1	phlSP	phlSP	4	G
1	4	phlSP	1	5	1	bosWC	phlSP	1	P
1	4	phlSP	2	5	1	bosWC	bosWC	44	PU
1	4	phlSP	3	5	1	bosWC	bosWC	13	A
1	4	phlSP	4	5	1	bosWC	bosWC	21	LG
1	5	bosWC	1	6	1	phlSP	bosWC	43	P
1	5	bosWC	2	6	1	phlSP	phlSP	7	PU
1	5	bosWC	3	6	1	phlSP	phlSP	13	
1	5	bosWC	4	6	1	phlSP	phlSP	23	
1	5	bosWC	5	6	1	phlSP	phlSP	27	
1	5	bosWC	6	6	1	phlSP	phlSP	25	
1	5	bosWC	7	6	1	phlSP	phlSP	14	
1	5	bosWC	8	6	1	phlSP	phlSP	25	
1	5	bosWC	9	6	1	phlSP	phlSP		TO
1	5	bosWC	10	6	1	phlSP	phlSP	7	PU
