game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-06-15_bosWC-at-phlSP	bosWC-1	markette	7	0.91	2	5	23	21	23	0	0	bosWC	1
2014-06-15_bosWC-at-phlSP	bosWC-21	graham	5	0.94	3	2	18	17	20	2	1	bosWC	21
2014-06-15_bosWC-at-phlSP	bosWC-9	nixon	4	1	4	0	6	6	10	0	0	bosWC	9
2014-06-15_bosWC-at-phlSP	bosWC-13	malacek	4	0.85	2	2	39	33	35	0	0	bosWC	13
2014-06-15_bosWC-at-phlSP	bosWC-12	simmons	3	1	0	3	14	14	5	1	0	bosWC	12
2014-06-15_bosWC-at-phlSP	bosWC-27	hatchett	2	1	1	1	5	5	6	1	0	bosWC	27
2014-06-15_bosWC-at-phlSP	bosWC-44	?name?	2	1	1	1	9	9	7	0	0	bosWC	44
2014-06-15_bosWC-at-phlSP	bosWC-00	taylor	2	0.88	0	2	24	21	12	2	1	bosWC	00
2014-06-15_bosWC-at-phlSP	bosWC-11	foster	1	0.75	1	0	4	3	5	0	0	bosWC	11
2014-06-15_bosWC-at-phlSP	bosWC-3	zid	1	0.5	1	0	6	3	7	0	0	bosWC	3
2014-06-15_bosWC-at-phlSP	bosWC-43	hirschberger	1	1	1	0	1	1	2	0	0	bosWC	43
2014-06-15_bosWC-at-phlSP	bosWC-6	roth	1	1	1	0	1	1	2	0	0	bosWC	6
2014-06-15_bosWC-at-phlSP	bosWC-8	cooper	1	0.82	1	0	11	9	7	0	1	bosWC	8
2014-06-15_bosWC-at-phlSP	bosWC-29	stevens	1	1	0	1	2	2	2	1	0	bosWC	29
2014-06-15_bosWC-at-phlSP	bosWC-64	farnsworth	1	1	0	1	10	10	10	0	0	bosWC	64
2014-06-15_bosWC-at-phlSP	bosWC-	?name?	0	NA	0	0	0	0	0	0	0	bosWC	bosWC
2014-06-15_bosWC-at-phlSP	bosWC-14	montgomery-butler	0	0.83	0	0	6	5	5	0	0	bosWC	14
2014-06-15_bosWC-at-phlSP	bosWC-18	browar-jarus	0	0.4	0	0	5	2	5	0	0	bosWC	18
2014-06-15_bosWC-at-phlSP	bosWC-5	doherty	0	1	0	0	2	2	2	0	0	bosWC	5
2014-06-15_bosWC-at-phlSP	bosWC-88	meyers	0	1	0	0	1	1	0	0	0	bosWC	88
2014-06-15_bosWC-at-phlSP	phlSP-13	brandolph	5	0.92	4	1	39	36	35	0	1	phlSP	13
2014-06-15_bosWC-at-phlSP	phlSP-42	ranii-dropcho	5	0.93	1	4	14	13	15	1	0	phlSP	42
2014-06-15_bosWC-at-phlSP	phlSP-25	katzenbach	4	0.92	2	2	24	22	26	0	0	phlSP	25
2014-06-15_bosWC-at-phlSP	phlSP-14	glazer	3	1	2	1	13	13	15	0	0	phlSP	14
2014-06-15_bosWC-at-phlSP	phlSP-3	earles	3	1	2	1	8	8	10	0	0	phlSP	3
2014-06-15_bosWC-at-phlSP	phlSP-22	paparone	3	1	1	2	7	7	7	0	0	phlSP	22
2014-06-15_bosWC-at-phlSP	phlSP-76	dillon	2	1	2	0	9	9	11	2	0	phlSP	76
2014-06-15_bosWC-at-phlSP	phlSP-10	casey	2	0.75	2	0	4	3	4	0	0	phlSP	10
2014-06-15_bosWC-at-phlSP	phlSP-2	colton	2	1	0	2	9	9	6	0	0	phlSP	2
2014-06-15_bosWC-at-phlSP	phlSP-20	baer	2	1	0	2	44	44	35	0	0	phlSP	20
2014-06-15_bosWC-at-phlSP	phlSP-23	thorne	2	1	0	2	18	18	18	0	0	phlSP	23
2014-06-15_bosWC-at-phlSP	phlSP-6	chou	1	1	1	0	7	7	7	1	0	phlSP	6
2014-06-15_bosWC-at-phlSP	phlSP-11	esser	1	1	1	0	1	1	2	0	0	phlSP	11
2014-06-15_bosWC-at-phlSP	phlSP-27	rainwater	1	0.88	1	0	24	21	25	0	1	phlSP	27
2014-06-15_bosWC-at-phlSP	phlSP-33	ward	1	1	1	0	4	4	4	0	0	phlSP	33
2014-06-15_bosWC-at-phlSP	phlSP-4	damiano	1	0.5	1	0	2	1	2	0	0	phlSP	4
2014-06-15_bosWC-at-phlSP	phlSP-1	peters	1	0.8	0	1	10	8	5	0	0	phlSP	1
2014-06-15_bosWC-at-phlSP	phlSP-21	panna	1	0.78	0	1	9	7	7	0	0	phlSP	21
2014-06-15_bosWC-at-phlSP	phlSP-38	wisch	1	0.92	0	1	13	12	10	0	0	phlSP	38
2014-06-15_bosWC-at-phlSP	phlSP-8	furfari	1	1	0	1	2	2	2	0	0	phlSP	8
2014-06-15_bosWC-at-phlSP	phlSP-16	shull	0	1	0	0	9	9	9	3	0	phlSP	16
2014-06-15_bosWC-at-phlSP	phlSP-31	lindsey	0	0.83	0	0	6	5	6	1	1	phlSP	31
2014-06-15_bosWC-at-phlSP	phlSP-7	hirannet	0	0.9	0	0	21	19	16	1	0	phlSP	7
2014-06-15_bosWC-at-phlSP	phlSP-	?name?	0	NA	0	0	0	0	0	0	0	phlSP	phlSP
2014-06-15_bosWC-at-phlSP	phlSP-28	baer	0	0.8	0	0	5	4	5	0	0	phlSP	28
