point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Portland Stags	1	10:00:00	9:36:00
2	Vancouver Nighthawks	1	9:36:00	8:44:00
3	Vancouver Nighthawks	1	8:44:00	6:58:00
4	Portland Stags	1	6:58:00	6:20:00
5	Vancouver Nighthawks	1	6:20:00	5:54:00
6	Portland Stags	1	5:54:00	3:23:00
7	Vancouver Nighthawks	1	3:23:00	1:38:00
8	Vancouver Nighthawks	1	1:38:00	1:18:00
9	Vancouver Nighthawks	1	1:18:00	0:52:00
10	Portland Stags	1	0:52:00	0:17:04
11	Vancouver Nighthawks	1	0:17:04	0:00:00
12	Vancouver Nighthawks	2	10:00:00	7:53:00
13	Portland Stags	2	7:53:00	6:56:00
14	Portland Stags	2	6:56:00	6:07:00
15	Vancouver Nighthawks	2	6:07:00	5:14:00
16	Portland Stags	2	5:14:00	2:26:00
17	Portland Stags	2	2:26:00	1:10:00
18	Vancouver Nighthawks	2	1:10:00	0:45:00
19	Portland Stags	2	0:45:00	0:10:04
20	Vancouver Nighthawks	2	0:10:04	0:00:00
21	Portland Stags	3	10:00:00	9:12:00
22	Vancouver Nighthawks	3	9:12:00	7:54:00
23	Portland Stags	3	7:54:00	6:59:00
24	Portland Stags	3	6:59:00	6:05:00
25	Portland Stags	3	6:05:00	5:09:00
26	Vancouver Nighthawks	3	5:09:00	4:43:00
27	Portland Stags	3	4:43:00	4:27:00
28	Vancouver Nighthawks	3	4:27:00	2:44:00
29	Vancouver Nighthawks	3	2:44:00	2:25:00
30	Portland Stags	3	2:25:00	0:00:00
31	Vancouver Nighthawks	4	10:00:00	7:09:00
32	Portland Stags	4	7:09:00	6:09:00
33	Portland Stags	4	6:09:00	5:37:00
34	Vancouver Nighthawks	4	5:37:00	3:49:00
35	Vancouver Nighthawks	4	3:49:00	3:20:00
36	Portland Stags	4	3:20:00	2:17:00
37	Portland Stags	4	2:17:00	1:54:00
38	Vancouver Nighthawks	4	1:54:00	1:30:00
39	Portland Stags	4	1:30:00	1:10:00
40	Vancouver Nighthawks	4	1:10:00	0:10:03
41	Vancouver Nighthawks	4	0:10:03	0:00:00
