point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	8	P		
1	2			5	PU
1	3			89	
1	4			22	
1	5			98	
1	6			72	
1	7			10	
1	8			21	
1	9			98	G
2	1	81	P		
2	2			9	PU
2	3			24	
2	4			9	
2	5			24	
2	6			73	
2	7			42	
2	8			2	
2	9			6	
2	10			73	
2	11			2	
2	12	11	D		
2	13	45	PU		
2	14	81	G		
3	1	8	P		
3	2			?	PU
3	3			24	
3	4			73	
3	5			7	
3	6			73	
3	7			24	
3	8			7	
3	9			42	
3	10			9	
3	11			24	
3	12			?	
3	13			24	
3	14			73	
3	15			7	
3	16			73	
3	17			24	
3	18			7	
3	19	8	F		
3	20			24	
3	21			42	
3	22			24	
3	23			42	
3	24			24	
3	25			42	
3	26			73	
3	27			24	
3	28			42	
3	29			24	
3	30			6	
3	31			24	G
4	1	88	P		
4	2			89	PU
4	3			5	
4	4			10	
4	5			21	
4	6			98	
4	7			5	
4	8			21	
4	9			10	
4	10			72	
4	11			98	G
5	1	8	P		
5	2			73	PU
5	3			9	
5	4			24	
5	5			?	
5	6			6	
5	7			73	
5	8			6	
5	9			73	
5	10			24	LG
6	1	8	P		
6	2			5	PU
6	3			89	
6	4			5	
6	5			98	
6	6			89	
6	7			21	
6	8			22	
6	9			72	
6	10			10	
6	11			22	
6	12			89	
6	13			98	
6	14			10	
6	15			21	
6	16	12	D		
6	17	?	PU		
6	18	14	TD		
6	19			89	PU
6	20			5	
6	21			10	
6	22	?	D		
6	23	88	PU		
6	24			98	D
6	25			89	PU
6	26			5	
6	27			72	G
7	1	8	P		
7	2			9	PU
7	3			24	
7	4			9	
7	5			6	
7	6			2	
7	7			24	
7	8			73	
7	9			24	
7	10	24	HB		
7	11	45	PU		
7	12	8			
7	13	24			
7	14			24	PU
7	15			24	VST
7	16	45	PU		
7	17	8			
7	18	31	G		
8	1	8	P		
8	2			9	PU
8	3			24	
8	4			7	
8	5	8	PU		
8	6	45			
8	7	8			
8	8	24	G		
9	1	49	P		
9	2			7	PU
9	3			73	
9	4			7	
9	5			24	
9	6			42	
9	7			9	
9	8			24	
9	9			7	LG
10	1	8	P		
10	2			5	PU
10	3			89	
10	4			10	
10	5			22	
10	6			98	
10	7			5	
10	8			10	
10	9	3	F		
10	10			5	
10	11			98	G
11	1	8	P		
11	2			73	PU
11	3			24	
11	4			42	
11	5			24	
12	1	81	P		
12	2			7	PU
12	3			24	
12	4			73	
12	5			24	
12	6			9	
12	7			73	
12	8			24	
12	9			73	
12	10			24	
12	11			73	
12	12			24	
12	13			7	
12	14			2	
12	15			7	
12	16			42	
12	17			6	
12	18			73	
12	19			24	
12	20			7	
12	21			24	
12	22			7	
12	23	8	F		
12	24			24	
12	25			6	
12	26			2	
12	27			24	
12	28			7	
12	29			24	
12	30			73	
12	31			24	
12	32			42	
12	33			2	
12	34			24	
12	35			6	G
13	1	88	P		
13	2			89	PU
13	3			5	
13	4			89	
13	5			5	
13	6			21	
13	7			10	
13	8			5	
13	9	8	D		
13	10	8			
13	11	4			
13	12	21			
13	13			21	D
13	14			21	
13	15	4	D		
13	16	4			
13	17	8			
13	18	16	G		
14	1	88	P		
14	2			89	PU
14	3	21	D		
14	4	21			
14	5			89	PU
14	6			13	
14	7			22	
14	8	5	F		
14	9			10	
14	10			89	
14	11			5	
14	12			10	LG
15	1	8	P		
15	2			7	PU
15	3			24	
15	4			7	
15	5			24	
15	6			9	
15	7			24	
15	8			42	
15	9			24	
15	10			7	
15	11			6	
15	12			2	
15	13			24	
15	14			7	
15	15			6	
15	16			42	L
15	17			9	G
16	1	88	P		
16	2			5	PU
16	3			89	
16	4			5	
16	5			22	
16	6			98	TD
16	7	8	PU		
16	8	21			
16	9	88			
16	10			89	F
16	11	?	TO		
16	12	24	PU		
16	13	73			
16	14	9			
16	15	73			
16	16	24			
16	17	73			
16	18			24	PU
16	19			4	
16	20			8	TD
16	21	?	PU		
16	22	9			
16	23	2			
16	24			7	PU
16	25			?	TO
16	26			89	PU
16	27			22	
16	28			98	
16	29			10	
16	30	3	F		
16	31			89	
16	32			21	
16	33			98	
16	34			22	
16	35	3	D		
16	36	3			
16	37	8			
16	38	21			
16	39	88			
16	40	3	LG		
17	1	8	P		
17	2			5	PU
17	3			89	
17	4			21	
17	5			98	
17	6			22	
17	7			10	
17	8			89	
17	9			5	
17	10			72	
17	11			5	
17	12			89	
17	13			5	
17	14			21	
17	15			5	
17	16			89	
17	17			21	
17	18			89	
17	19			5	G
18	1	81	P		
18	2			7	PU
18	3			24	
18	4			73	
18	5			9	
18	6			6	
18	7			42	
18	8			24	
18	9			2	LG
19	1	88	P		
19	2			5	PU
19	3			89	
19	4			10	
19	5			89	
19	6			5	
19	7			10	
19	8			72	
19	9			89	
19	10			22	G
20	1	8	P		
20	2			73	PU
20	3	4	D		
20	4	4			
20	5	10	G		
21	1	88	P		
21	2			5	PU
21	3			89	
21	4			21	
21	5	5	D		
21	6	5			
21	7	21			
21	8	7			
21	9	8			
21	10	7			
21	11	88			
21	12	3	TD		
21	13			5	PU
21	14			98	LG
22	1	8	P		
22	2			73	PU
22	3			9	
22	4			73	
22	5			9	
22	6			24	
22	7			2	
22	8			9	
22	9			6	
22	10			73	
22	11			16	
22	12			42	
22	13			24	
22	14			6	
22	15			24	
22	16			6	
22	17			24	
22	18			42	
22	19			24	
22	20			9	
22	21			16	
22	22			6	G
23	1	88	P		
23	2			89	PU
23	3			5	
23	4			21	
23	5			72	
23	6	8	PU		
23	7	88			
23	8	7			
23	9	88			
23	10	21			
23	11	88			
23	12	7			
23	13	17			
23	14	21			
23	15	5	LG		
24	1	8	P		
