period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
1	1	pdxST	9	1	1	vanNH	vanNH	98	G	9	FALSE	TRUE	vanNH	o_line	G	G
1	2	vanNH	12	2	1	pdxST	vanNH	11	D	12	FALSE	FALSE	NA	o_line	D	def +
1	2	vanNH	14	3	2	vanNH	vanNH	81	G	2	FALSE	TRUE	vanNH	d_line	G	G
1	3	vanNH	31	4	1	pdxST	pdxST	24	G	31	FALSE	TRUE	pdxST	o_line	G	G
1	4	pdxST	11	5	1	vanNH	vanNH	98	G	11	FALSE	TRUE	vanNH	o_line	G	G
1	5	vanNH	10	6	1	pdxST	pdxST	24	LG	10	TRUE	TRUE	pdxST	o_line	G	G
1	6	pdxST	16	7	1	vanNH	pdxST	12	D	16	FALSE	FALSE	NA	o_line	D	def +
1	6	pdxST	18	8	2	pdxST	pdxST	14	TD	2	FALSE	FALSE	NA	d_line	TD	off -
1	6	pdxST	22	9	3	vanNH	pdxST	?	D	4	FALSE	FALSE	NA	o_line	D	def +
1	6	pdxST	24	10	4	pdxST	vanNH	98	D	2	FALSE	FALSE	NA	d_line	D	def +
1	6	pdxST	27	11	5	vanNH	vanNH	72	G	3	FALSE	TRUE	vanNH	o_line	G	G
1	7	vanNH	10	12	1	pdxST	vanNH	24	HB	10	FALSE	FALSE	NA	o_line	D	def +
1	7	vanNH	13	13	2	vanNH	vanNH	24	TA	3	FALSE	FALSE	NA	d_line	TA	off -
1	7	vanNH	15	14	3	pdxST	pdxST	24	VST	2	FALSE	FALSE	NA	o_line	VST	off -
1	7	vanNH	18	15	4	vanNH	vanNH	31	G	3	FALSE	TRUE	vanNH	d_line	G	G
1	8	vanNH	4	16	1	pdxST	pdxST	7	TA	4	FALSE	FALSE	NA	o_line	TA	off -
1	8	vanNH	8	17	2	vanNH	vanNH	24	G	4	FALSE	TRUE	vanNH	d_line	G	G
1	9	vanNH	9	18	1	pdxST	pdxST	7	LG	9	TRUE	TRUE	pdxST	o_line	G	G
1	10	pdxST	11	19	1	vanNH	vanNH	98	G	11	FALSE	TRUE	vanNH	o_line	G	G
