poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr
1	1	1	2	3	ao	0	O-PU	vanNH-5		O-CTH	vanNH-89
1	1	1	3	4	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-22
1	1	1	4	5	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-98
1	1	1	5	6	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-72
1	1	1	6	7	ao	0	O-CTH	vanNH-72		O-CTH	vanNH-10
1	1	1	7	8	ao	0	O-CTH	vanNH-10		O-CTH	vanNH-21
1	1	1	8	9	ao	0	O-CTH	vanNH-21		O-G	vanNH-98
2	1	2	2	3	ao	0	O-PU	pdxST-9		O-CTH	pdxST-24
2	1	2	3	4	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-9
2	1	2	4	5	ao	0	O-CTH	pdxST-9		O-CTH	pdxST-24
2	1	2	5	6	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-73
2	1	2	6	7	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-42
2	1	2	7	8	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-2
2	1	2	8	9	ao	0	O-CTH	pdxST-2		O-CTH	pdxST-6
2	1	2	9	10	ao	0	O-CTH	pdxST-6		O-CTH	pdxST-73
2	1	2	10	11	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-2
2	1	2	11	12	ao	0	O-CTH	pdxST-2		D-D	vanNH-11
3	2	2	13	14	ao	0	O-PU	vanNH-45		O-G	vanNH-81
4	1	3	2	3	ao	0	O-PU	pdxST-?		O-CTH	pdxST-24
4	1	3	3	4	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-73
4	1	3	4	5	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-7
4	1	3	5	6	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-73
4	1	3	6	7	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-24
4	1	3	7	8	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-7
4	1	3	8	9	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-42
4	1	3	9	10	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-9
4	1	3	10	11	ao	0	O-CTH	pdxST-9		O-CTH	pdxST-24
4	1	3	11	12	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-?
4	1	3	12	13	ao	0	O-CTH	pdxST-?		O-CTH	pdxST-24
4	1	3	13	14	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-73
4	1	3	14	15	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-7
4	1	3	15	16	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-73
4	1	3	16	17	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-24
4	1	3	17	18	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-7
4	1	3	18	20	ao	1	O-CTH	pdxST-7	D-F	O-CTH	pdxST-24
4	1	3	20	21	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-42
4	1	3	21	22	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-24
4	1	3	22	23	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-42
4	1	3	23	24	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-24
4	1	3	24	25	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-42
4	1	3	25	26	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-73
4	1	3	26	27	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-24
4	1	3	27	28	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-42
4	1	3	28	29	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-24
4	1	3	29	30	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-6
4	1	3	30	31	ao	0	O-CTH	pdxST-6		O-G	pdxST-24
5	1	4	2	3	ao	0	O-PU	vanNH-89		O-CTH	vanNH-5
5	1	4	3	4	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-10
5	1	4	4	5	ao	0	O-CTH	vanNH-10		O-CTH	vanNH-21
5	1	4	5	6	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-98
5	1	4	6	7	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-5
5	1	4	7	8	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-21
5	1	4	8	9	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-10
5	1	4	9	10	ao	0	O-CTH	vanNH-10		O-CTH	vanNH-72
5	1	4	10	11	ao	0	O-CTH	vanNH-72		O-G	vanNH-98
6	1	5	2	3	ao	0	O-PU	pdxST-73		O-CTH	pdxST-9
6	1	5	3	4	ao	0	O-CTH	pdxST-9		O-CTH	pdxST-24
6	1	5	4	5	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-?
6	1	5	5	6	ao	0	O-CTH	pdxST-?		O-CTH	pdxST-6
6	1	5	6	7	ao	0	O-CTH	pdxST-6		O-CTH	pdxST-73
6	1	5	7	8	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-6
6	1	5	8	9	ao	0	O-CTH	pdxST-6		O-CTH	pdxST-73
6	1	5	9	10	ao	0	O-CTH	pdxST-73		O-G	pdxST-24
7	1	6	2	3	ao	0	O-PU	vanNH-5		O-CTH	vanNH-89
7	1	6	3	4	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-5
7	1	6	4	5	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-98
7	1	6	5	6	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-89
7	1	6	6	7	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-21
7	1	6	7	8	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-22
7	1	6	8	9	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-72
7	1	6	9	10	ao	0	O-CTH	vanNH-72		O-CTH	vanNH-10
7	1	6	10	11	ao	0	O-CTH	vanNH-10		O-CTH	vanNH-22
7	1	6	11	12	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-89
7	1	6	12	13	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-98
7	1	6	13	14	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-10
7	1	6	14	15	ao	0	O-CTH	vanNH-10		O-CTH	vanNH-21
7	1	6	15	16	ao	0	O-CTH	vanNH-21		D-D	pdxST-12
8	2	6	17	18	ao	0	O-PU	pdxST-?		O-TD	pdxST-14
9	3	6	19	20	ao	0	O-PU	vanNH-89		O-CTH	vanNH-5
9	3	6	20	21	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-10
9	3	6	21	22	ao	0	O-CTH	vanNH-10		D-D	pdxST-?
10	4	6	23	24	ao	0	O-PU	pdxST-88		D-D	vanNH-98
11	5	6	25	26	ao	0	O-PU	vanNH-89		O-CTH	vanNH-5
11	5	6	26	27	ao	0	O-CTH	vanNH-5		O-G	vanNH-72
12	1	7	2	3	ao	0	O-PU	pdxST-9		O-CTH	pdxST-24
12	1	7	3	4	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-9
12	1	7	4	5	ao	0	O-CTH	pdxST-9		O-CTH	pdxST-6
12	1	7	5	6	ao	0	O-CTH	pdxST-6		O-CTH	pdxST-2
12	1	7	6	7	ao	0	O-CTH	pdxST-2		O-CTH	pdxST-24
12	1	7	7	8	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-73
12	1	7	8	9	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-24
12	1	7	9	10	ao	0	O-CTH	pdxST-24		D-D	vanNH-24
13	2	7	11	12	ao	0	O-PU	vanNH-45		O-CTH	vanNH-8
13	2	7	12	13	ao	0	O-CTH	vanNH-8		O-CTH	vanNH-24
13	2	7	13	13	an	-1	O-CTH	vanNH-24		NA	vanNH-24
14	3	7	14	15	ao	0	O-PU	pdxST-24		O-OV	pdxST-24
