game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-06-15_pdxST-at-vanNH	pdxST-6	Bjorklund	6	1	4	2	23	23	27	0	0	pdxST	6
2014-06-15_pdxST-at-vanNH	pdxST-24	Norden	6	0.93	2	4	76	71	71	1	0	pdxST	24
2014-06-15_pdxST-at-vanNH	pdxST-16	Burton	3	1	2	1	7	7	9	0	0	pdxST	16
2014-06-15_pdxST-at-vanNH	pdxST-2	Allison-Hall	3	0.91	2	1	23	21	25	0	0	pdxST	2
2014-06-15_pdxST-at-vanNH	pdxST-3	Ferrea	3	1	1	2	4	4	4	1	0	pdxST	3
2014-06-15_pdxST-at-vanNH	pdxST-42	Lohre	3	0.94	1	2	32	30	33	0	0	pdxST	42
2014-06-15_pdxST-at-vanNH	pdxST-17	Hayes	2	1	2	0	2	2	4	0	0	pdxST	17
2014-06-15_pdxST-at-vanNH	pdxST-21	McGinn	2	0.78	1	1	9	7	8	1	0	pdxST	21
2014-06-15_pdxST-at-vanNH	pdxST-9	Hancock	2	1	1	1	30	30	27	0	0	pdxST	9
2014-06-15_pdxST-at-vanNH	pdxST-8	Davis	2	1	0	2	10	10	7	1	0	pdxST	8
2014-06-15_pdxST-at-vanNH	pdxST-5	Woodside	1	1	1	0	1	1	1	1	0	pdxST	5
2014-06-15_pdxST-at-vanNH	pdxST-7	Friedman	1	0.96	1	0	28	27	24	1	0	pdxST	7
2014-06-15_pdxST-at-vanNH	pdxST-73	King	1	0.93	0	1	46	43	39	0	0	pdxST	73
2014-06-15_pdxST-at-vanNH	pdxST-88	Suppnick	1	0.83	0	1	12	10	9	0	1	pdxST	88
2014-06-15_pdxST-at-vanNH	pdxST-?	?name?	0	0.8	0	0	5	4	3	1	1	pdxST	?
2014-06-15_pdxST-at-vanNH	pdxST-12	Bui	0	NA	0	0	0	0	0	1	0	pdxST	12
2014-06-15_pdxST-at-vanNH	pdxST-4	Blackman	0	1	0	0	2	2	1	1	0	pdxST	4
2014-06-15_pdxST-at-vanNH	pdxST-1	Cable	0	1	0	0	1	1	1	0	0	pdxST	1
2014-06-15_pdxST-at-vanNH	pdxST-14	Adamson	0	NA	0	0	0	0	0	0	0	pdxST	14
2014-06-15_pdxST-at-vanNH	vanNH-98	wong	7	0.92	7	0	13	12	20	1	0	vanNH	98
2014-06-15_pdxST-at-vanNH	vanNH-5	norris	7	0.93	2	5	46	43	33	0	0	vanNH	5
2014-06-15_pdxST-at-vanNH	vanNH-89	underhill	5	0.98	0	5	45	44	32	0	0	vanNH	89
2014-06-15_pdxST-at-vanNH	vanNH-22	berezan	3	0.87	2	1	15	13	17	0	1	vanNH	22
2014-06-15_pdxST-at-vanNH	vanNH-21	loach	3	0.82	1	2	17	14	17	1	0	vanNH	21
2014-06-15_pdxST-at-vanNH	vanNH-8	hibbert	3	0.92	1	2	12	11	12	1	0	vanNH	8
2014-06-15_pdxST-at-vanNH	vanNH-10	chatha	2	0.89	2	0	18	16	20	0	0	vanNH	10
2014-06-15_pdxST-at-vanNH	vanNH-4	doyle	2	0.67	1	1	3	2	2	1	1	vanNH	4
2014-06-15_pdxST-at-vanNH	vanNH-72	leduc	2	0.75	1	1	8	6	9	0	0	vanNH	72
2014-06-15_pdxST-at-vanNH	vanNH-11	greer	2	1	0	2	7	7	6	1	0	vanNH	11
2014-06-15_pdxST-at-vanNH	vanNH-24	yu	1	0.75	1	0	4	3	3	2	0	vanNH	24
2014-06-15_pdxST-at-vanNH	vanNH-31	saito	1	1	1	0	1	1	2	0	0	vanNH	31
2014-06-15_pdxST-at-vanNH	vanNH-81	tejpar	1	NA	1	0	0	0	1	0	0	vanNH	81
2014-06-15_pdxST-at-vanNH	vanNH-45	cowan	1	1	0	1	5	5	2	0	0	vanNH	45
2014-06-15_pdxST-at-vanNH	vanNH-14	eyrich	0	NA	0	0	0	0	0	1	0	vanNH	14
2014-06-15_pdxST-at-vanNH	vanNH-?	?name?	0	NA	0	0	0	0	2	0	0	vanNH	?
2014-06-15_pdxST-at-vanNH	vanNH-13	tessarolo	0	1	0	0	2	2	2	0	0	vanNH	13
2014-06-15_pdxST-at-vanNH	vanNH-27	davis	0	1	0	0	1	1	1	0	0	vanNH	27
2014-06-15_pdxST-at-vanNH	vanNH-7	dandurand	0	1	0	0	1	1	0	0	0	vanNH	7
