period	point	event	pl_team	pl_pnum	pl_code	poss_team
1	1	1	pdxST	8	P	vanNH
1	1	2	vanNH	5	PU	vanNH
1	1	3	vanNH	89		vanNH
1	1	4	vanNH	22		vanNH
1	1	5	vanNH	98		vanNH
1	1	6	vanNH	72		vanNH
1	1	7	vanNH	10		vanNH
1	1	8	vanNH	21	A	vanNH
1	1	9	vanNH	98	G	vanNH
1	2	1	vanNH	81	P	pdxST
1	2	2	pdxST	9	PU	pdxST
1	2	3	pdxST	24		pdxST
1	2	4	pdxST	9		pdxST
1	2	5	pdxST	24		pdxST
1	2	6	pdxST	73		pdxST
1	2	7	pdxST	42		pdxST
1	2	8	pdxST	2		pdxST
1	2	9	pdxST	6		pdxST
1	2	10	pdxST	73		pdxST
1	2	11	pdxST	2		pdxST
1	2	12	vanNH	11	D	pdxST
1	2	13	vanNH	45	PUA	vanNH
1	2	14	vanNH	81	G	vanNH
1	3	1	vanNH	8	P	pdxST
1	3	2	pdxST	?	PU	pdxST
1	3	3	pdxST	24		pdxST
1	3	4	pdxST	73		pdxST
1	3	5	pdxST	7		pdxST
1	3	6	pdxST	73		pdxST
1	3	7	pdxST	24		pdxST
1	3	8	pdxST	7		pdxST
1	3	9	pdxST	42		pdxST
1	3	10	pdxST	9		pdxST
1	3	11	pdxST	24		pdxST
1	3	12	pdxST	?		pdxST
1	3	13	pdxST	24		pdxST
1	3	14	pdxST	73		pdxST
1	3	15	pdxST	7		pdxST
1	3	16	pdxST	73		pdxST
1	3	17	pdxST	24		pdxST
1	3	18	pdxST	7		pdxST
1	3	19	vanNH	8	F	pdxST
1	3	20	pdxST	24		pdxST
1	3	21	pdxST	42		pdxST
1	3	22	pdxST	24		pdxST
1	3	23	pdxST	42		pdxST
1	3	24	pdxST	24		pdxST
1	3	25	pdxST	42		pdxST
1	3	26	pdxST	73		pdxST
1	3	27	pdxST	24		pdxST
1	3	28	pdxST	42		pdxST
1	3	29	pdxST	24		pdxST
1	3	30	pdxST	6	A	pdxST
1	3	31	pdxST	24	G	pdxST
1	4	1	pdxST	88	P	vanNH
1	4	2	vanNH	89	PU	vanNH
1	4	3	vanNH	5		vanNH
1	4	4	vanNH	10		vanNH
1	4	5	vanNH	21		vanNH
1	4	6	vanNH	98		vanNH
1	4	7	vanNH	5		vanNH
1	4	8	vanNH	21		vanNH
1	4	9	vanNH	10		vanNH
1	4	10	vanNH	72	A	vanNH
1	4	11	vanNH	98	G	vanNH
1	5	1	vanNH	8	P	pdxST
1	5	2	pdxST	73	PU	pdxST
1	5	3	pdxST	9		pdxST
1	5	4	pdxST	24		pdxST
1	5	5	pdxST	?		pdxST
1	5	6	pdxST	6		pdxST
1	5	7	pdxST	73		pdxST
1	5	8	pdxST	6		pdxST
1	5	9	pdxST	73	A	pdxST
1	5	10	pdxST	24	LG	pdxST
1	6	1	pdxST	8	P	vanNH
1	6	2	vanNH	5	PU	vanNH
1	6	3	vanNH	89		vanNH
1	6	4	vanNH	5		vanNH
1	6	5	vanNH	98		vanNH
1	6	6	vanNH	89		vanNH
1	6	7	vanNH	21		vanNH
1	6	8	vanNH	22		vanNH
1	6	9	vanNH	72		vanNH
1	6	10	vanNH	10		vanNH
1	6	11	vanNH	22		vanNH
1	6	12	vanNH	89		vanNH
1	6	13	vanNH	98		vanNH
1	6	14	vanNH	10		vanNH
1	6	15	vanNH	21		vanNH
1	6	16	pdxST	12	D	vanNH
1	6	17	pdxST	?	PU	pdxST
1	6	18	pdxST	14	TD	pdxST
1	6	19	vanNH	89	PU	vanNH
1	6	20	vanNH	5		vanNH
1	6	21	vanNH	10		vanNH
1	6	22	pdxST	?	D	vanNH
1	6	23	pdxST	88	PU	pdxST
1	6	24	vanNH	98	D	pdxST
1	6	25	vanNH	89	PU	vanNH
1	6	26	vanNH	5	A	vanNH
1	6	27	vanNH	72	G	vanNH
1	7	1	vanNH	8	P	pdxST
1	7	2	pdxST	9	PU	pdxST
1	7	3	pdxST	24		pdxST
1	7	4	pdxST	9		pdxST
1	7	5	pdxST	6		pdxST
1	7	6	pdxST	2		pdxST
1	7	7	pdxST	24		pdxST
1	7	8	pdxST	73		pdxST
1	7	9	pdxST	24		pdxST
1	7	10	vanNH	24	HB	pdxST
1	7	11	vanNH	45	PU	vanNH
1	7	12	vanNH	8		vanNH
1	7	13	vanNH	24		vanNH
1	7	14	pdxST	24	PU	pdxST
1	7	15	pdxST	24	VST	pdxST
1	7	16	vanNH	45	PU	vanNH
1	7	17	vanNH	8	A	vanNH
1	7	18	vanNH	31	G	vanNH
1	8	1	vanNH	8	P	pdxST
1	8	2	pdxST	9	PU	pdxST
1	8	3	pdxST	24		pdxST
1	8	4	pdxST	7		pdxST
1	8	5	pdxST	7	F	pdxST
1	8	6	vanNH	8	PU	vanNH
1	8	7	vanNH	45		vanNH
1	8	8	vanNH	8	A	vanNH
1	8	9	vanNH	24	G	vanNH
1	9	1	vanNH	49	P	pdxST
1	9	2	pdxST	7	PU	pdxST
1	9	3	pdxST	73		pdxST
1	9	4	pdxST	7		pdxST
1	9	5	pdxST	24		pdxST
1	9	6	pdxST	42		pdxST
1	9	7	pdxST	9		pdxST
1	9	8	pdxST	24	A	pdxST
1	9	9	pdxST	7	LG	pdxST
1	10	1	pdxST	8	P	vanNH
1	10	2	vanNH	5	PU	vanNH
1	10	3	vanNH	89		vanNH
1	10	4	vanNH	10		vanNH
1	10	5	vanNH	22		vanNH
1	10	6	vanNH	98		vanNH
1	10	7	vanNH	5		vanNH
1	10	8	vanNH	10		vanNH
1	10	9	pdxST	3	F	vanNH
1	10	10	vanNH	5	A	vanNH
1	10	11	vanNH	98	G	vanNH
1	11	1	vanNH	8	P	pdxST
1	11	2	pdxST	73	PU	pdxST
1	11	3	pdxST	24		pdxST
1	11	4	pdxST	42		pdxST
1	11	5	pdxST	24		pdxST
2	12	1	vanNH	81	P	pdxST
2	12	2	pdxST	7	PU	pdxST
2	12	3	pdxST	24		pdxST
2	12	4	pdxST	73		pdxST
2	12	5	pdxST	24		pdxST
2	12	6	pdxST	9		pdxST
2	12	7	pdxST	73		pdxST
2	12	8	pdxST	24		pdxST
2	12	9	pdxST	73		pdxST
2	12	10	pdxST	24		pdxST
2	12	11	pdxST	73		pdxST
2	12	12	pdxST	24		pdxST
2	12	13	pdxST	7		pdxST
2	12	14	pdxST	2		pdxST
2	12	15	pdxST	7		pdxST
2	12	16	pdxST	42		pdxST
2	12	17	pdxST	6		pdxST
2	12	18	pdxST	73		pdxST
2	12	19	pdxST	24		pdxST
2	12	20	pdxST	7		pdxST
2	12	21	pdxST	24		pdxST
2	12	22	pdxST	7		pdxST
2	12	23	vanNH	8	F	pdxST
2	12	24	pdxST	24		pdxST
2	12	25	pdxST	6		pdxST
2	12	26	pdxST	2		pdxST
2	12	27	pdxST	24		pdxST
2	12	28	pdxST	7		pdxST
2	12	29	pdxST	24		pdxST
2	12	30	pdxST	73		pdxST
2	12	31	pdxST	24		pdxST
2	12	32	pdxST	42		pdxST
2	12	33	pdxST	2		pdxST
2	12	34	pdxST	24	A	pdxST
2	12	35	pdxST	6	G	pdxST
2	13	1	pdxST	88	P	vanNH
2	13	2	vanNH	89	PU	vanNH
2	13	3	vanNH	5		vanNH
2	13	4	vanNH	89		vanNH
2	13	5	vanNH	5		vanNH
2	13	6	vanNH	21		vanNH
2	13	7	vanNH	10		vanNH
2	13	8	vanNH	5		vanNH
2	13	9	pdxST	8	D	vanNH
2	13	10	pdxST	8		pdxST
2	13	11	pdxST	4		pdxST
2	13	12	pdxST	21		pdxST
2	13	13	vanNH	21	D	pdxST
2	13	14	vanNH	21		vanNH
2	13	15	pdxST	4	D	vanNH
2	13	16	pdxST	4		pdxST
2	13	17	pdxST	8	A	pdxST
2	13	18	pdxST	16	G	pdxST
2	14	1	pdxST	88	P	vanNH
2	14	2	vanNH	89	PU	vanNH
2	14	3	pdxST	21	D	vanNH
2	14	4	pdxST	21		pdxST
2	14	5	vanNH	89	PU	vanNH
2	14	6	vanNH	13		vanNH
2	14	7	vanNH	22		vanNH
2	14	8	pdxST	5	F	vanNH
2	14	9	vanNH	10		vanNH
2	14	10	vanNH	89		vanNH
2	14	11	vanNH	5	A	vanNH
2	14	12	vanNH	10	LG	vanNH
2	15	1	vanNH	8	P	pdxST
2	15	2	pdxST	7	PU	pdxST
2	15	3	pdxST	24		pdxST
2	15	4	pdxST	7		pdxST
2	15	5	pdxST	24		pdxST
2	15	6	pdxST	9		pdxST
2	15	7	pdxST	24		pdxST
2	15	8	pdxST	42		pdxST
2	15	9	pdxST	24		pdxST
2	15	10	pdxST	7		pdxST
2	15	11	pdxST	6		pdxST
2	15	12	pdxST	2		pdxST
2	15	13	pdxST	24		pdxST
2	15	14	pdxST	7		pdxST
2	15	15	pdxST	6		pdxST
2	15	16	pdxST	42	LA	pdxST
2	15	17	pdxST	9	G	pdxST
2	16	1	pdxST	88	P	vanNH
2	16	2	vanNH	5	PU	vanNH
2	16	3	vanNH	89		vanNH
2	16	4	vanNH	5		vanNH
2	16	5	vanNH	22		vanNH
2	16	6	vanNH	98	TD	vanNH
2	16	7	pdxST	8	PU	pdxST
2	16	8	pdxST	21		pdxST
2	16	9	pdxST	88		pdxST
2	16	10	vanNH	89	F	pdxST
2	16	11	pdxST	?	TO	pdxST
2	16	12	pdxST	24	PU	pdxST
2	16	13	pdxST	73		pdxST
2	16	14	pdxST	9		pdxST
2	16	15	pdxST	73		pdxST
2	16	16	pdxST	24		pdxST
2	16	17	pdxST	73		pdxST
2	16	18	vanNH	24	PU	vanNH
2	16	19	vanNH	4		vanNH
2	16	20	vanNH	8	TD	vanNH
2	16	21	pdxST	?	PU	pdxST
2	16	22	pdxST	9		pdxST
2	16	23	pdxST	2		pdxST
2	16	24	vanNH	7	PU	vanNH
2	16	25	vanNH	?	TO	vanNH
2	16	26	vanNH	89	PU	vanNH
2	16	27	vanNH	22		vanNH
2	16	28	vanNH	98		vanNH
2	16	29	vanNH	10		vanNH
2	16	30	pdxST	3	F	vanNH
2	16	31	vanNH	89		vanNH
2	16	32	vanNH	21		vanNH
2	16	33	vanNH	98		vanNH
2	16	34	vanNH	22		vanNH
2	16	35	pdxST	3	D	vanNH
2	16	36	pdxST	3		pdxST
2	16	37	pdxST	8		pdxST
2	16	38	pdxST	21		pdxST
2	16	39	pdxST	88	A	pdxST
2	16	40	pdxST	3	LG	pdxST
2	17	1	pdxST	8	P	vanNH
2	17	2	vanNH	5	PU	vanNH
2	17	3	vanNH	89		vanNH
2	17	4	vanNH	21		vanNH
2	17	5	vanNH	98		vanNH
2	17	6	vanNH	22		vanNH
2	17	7	vanNH	10		vanNH
2	17	8	vanNH	89		vanNH
2	17	9	vanNH	5		vanNH
2	17	10	vanNH	72		vanNH
2	17	11	vanNH	5		vanNH
2	17	12	vanNH	89		vanNH
2	17	13	vanNH	5		vanNH
2	17	14	vanNH	21		vanNH
2	17	15	vanNH	5		vanNH
2	17	16	vanNH	89		vanNH
2	17	17	vanNH	21		vanNH
2	17	18	vanNH	89	A	vanNH
2	17	19	vanNH	5	G	vanNH
2	18	1	vanNH	81	P	pdxST
2	18	2	pdxST	7	PU	pdxST
2	18	3	pdxST	24		pdxST
2	18	4	pdxST	73		pdxST
2	18	5	pdxST	9		pdxST
2	18	6	pdxST	6		pdxST
2	18	7	pdxST	42		pdxST
2	18	8	pdxST	24	A	pdxST
2	18	9	pdxST	2	LG	pdxST
2	19	1	pdxST	88	P	vanNH
2	19	2	vanNH	5	PU	vanNH
2	19	3	vanNH	89		vanNH
2	19	4	vanNH	10		vanNH
2	19	5	vanNH	89		vanNH
2	19	6	vanNH	5		vanNH
2	19	7	vanNH	10		vanNH
2	19	8	vanNH	72		vanNH
2	19	9	vanNH	89	A	vanNH
2	19	10	vanNH	22	G	vanNH
2	20	1	vanNH	8	P	pdxST
2	20	2	pdxST	73	PU	pdxST
2	20	3	vanNH	4	D	pdxST
2	20	4	vanNH	4	A	vanNH
2	20	5	vanNH	10	G	vanNH
3	21	1	pdxST	88	P	vanNH
3	21	2	vanNH	5	PU	vanNH
3	21	3	vanNH	89		vanNH
3	21	4	vanNH	21		vanNH
3	21	5	pdxST	5	D	vanNH
3	21	6	pdxST	5		pdxST
3	21	7	pdxST	21		pdxST
3	21	8	pdxST	7		pdxST
3	21	9	pdxST	8		pdxST
3	21	10	pdxST	7		pdxST
3	21	11	pdxST	88		pdxST
3	21	12	pdxST	3	TD	pdxST
3	21	13	vanNH	5	PUA	vanNH
3	21	14	vanNH	98	LG	vanNH
3	22	1	vanNH	8	P	pdxST
3	22	2	pdxST	73	PU	pdxST
3	22	3	pdxST	9		pdxST
3	22	4	pdxST	73		pdxST
3	22	5	pdxST	9		pdxST
3	22	6	pdxST	24		pdxST
3	22	7	pdxST	2		pdxST
3	22	8	pdxST	9		pdxST
3	22	9	pdxST	6		pdxST
3	22	10	pdxST	73		pdxST
3	22	11	pdxST	16		pdxST
3	22	12	pdxST	42		pdxST
3	22	13	pdxST	24		pdxST
3	22	14	pdxST	6		pdxST
