point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	11	P		
1	2			6	PU
1	3			14	
1	4			18	
1	5			4	
1	6			14	
1	7			44	
1	8			6	G
2	1	81	P		
2	2			00	PU
2	3			13	
2	4			7	
2	5			21	
2	6			1	
2	7	82	D		
2	8	24	PU		
2	9	47			
2	10	24			
2	11	47			
2	12	5			
2	13	24			
2	14	27			
2	15	21			
2	16	81			
2	17			77	F
2	18	5			
2	19	47			
2	20	82			
2	21			7	PU
2	22			13	
2	23			64	
2	24			21	
2	25			77	L
2	26	27	F		
2	27			7	
2	28			1	
2	29			13	
2	30			7	G
3	1	43	P		
3	2			4	PU
3	3			6	
3	4			33	
3	5			18	
3	6			6	
3	7			18	
3	8			6	
3	9			4	
3	10			6	G
4	1	27	P		
4	2			7	PU
4	3			13	
4	4			21	TD
4	5	47	PU		
4	6	9			
4	7	47			
4	8	89	G		
5	1	82	OBP		
5	2			00	PU
5	3			13	
5	4			64	
5	5			1	
5	6			00	
5	7			17	
5	8			21	
5	9			00	
5	10			17	G
6	1	11	P		
6	2			6	PU
6	3			14	
6	4			19	
6	5			1	
6	6			19	
6	7	11	D		
6	8	14	PU		
6	9	10			
6	10	11			
6	11	29			
6	12	88			
6	13			19	PU
6	14			6	
6	15			26	
6	16			6	
6	17			19	
6	18	14	PU		
6	19	88			
6	20	14			
6	21	27			
6	22	5			
6	23	10			
6	24			6	D
6	25			6	PU
6	26			19	
6	27			26	
6	28			14	
6	29			26	
6	30			14	TD
6	31	14	PU		
6	32	11			
6	33	88			
6	34	5			
6	35			19	D
6	36			19	PU
6	37			33	
6	38				TO
6	39			6	PU
6	40			14	
6	41			18	
6	42			1	
6	43			26	
6	44			14	
6	45			1	
6	46	43	PU		
6	47	25			
6	48	8			
6	49	25			
6	50	6			
6	51			1	D
6	52			1	PU
6	53			4	
6	54			14	
6	55			26	
6	56			1	
6	57			18	
6	58		TO		
6	59	13	PU		
6	60	3	TD		
6	61			47	PU
6	62			21	G
7	1	81	P		
7	2			17	PU
7	3			13	
7	4			21	
7	5			77	
7	6			1	
7	7			21	
7	8			43	G
8	1	11	P		
8	2			19	PU
9	1	81	P		
9	2			13	PU
9	3			7	
9	4			21	
9	5	27	F		
9	6			77	L
9	7			3	G
10	1	11	P		
10	2			4	PU
10	3			6	
10	4			19	
10	5			18	
10	6			19	
10	7			44	
10	8			33	VTT
10	9	10	PU		
10	10	14			
10	11	88			
10	12	14			
10	13	10			
10	14	11			
10	15	10			
10	16	29			
10	17	11			
10	18	88	TD		
10	19			19	PU
10	20			4	
10	21			44	
10	22	14	D		
10	23	14	PU		
10	24	27			
10	25	11			
10	26			19	PU
10	27	27	D		
10	28	14	PU		
10	29	11	LG		
11	1	43	P		
11	2			26	PU
11	3			47	
11	4			1	
11	5			47	
11	6			21	
11	7			27	TD
11	8	43	PU		
11	9			1	D
11	10			47	PU
11	11	17	D		
11	12		TO		
11	13	7	PU		
11	14	1			
11	15	7			
11	16	1			
11	17	13			
11	18	21			
11	19	1			
11	20	21	TD		
11	21			47	PU
11	22			21	
11	23			82	
11	24			27	
11	25			21	
11	26			82	LG
12	1	81	P		
12	2			8	PU
12	3			13	
12	4			12	
12	5			17	
12	6			21	
12	7			17	
12	8			21	
12	9			8	G
13	1	11	P		
13	2			6	PU
13	3			1	
13	4	9	F		
13	5			44	G
14	1	21	P		
14	2			1	PU
14	3			13	
14	4			17	
14	5			13	
14	6			1	
14	7			21	
14	8			7	
14	9			21	L
14	10			1	G
15	1	43	P		
15	2			6	PU
15	3			18	G
16	1	81	P		
16	2			13	PU
16	3			7	
16	4			21	
16	5			13	
16	6			21	
16	7			1	
16	8	27	D		
16	9	10	PU		
16	10	15			
16	11	47			
16	12	81			
16	13			13	PU
16	14			21	
16	15			1	
16	16			7	
16	17			17	L
16	18			13	
16	19			77	TD
16	20	15	PU		
16	21	47			
16	22	21			
16	23	81	TD		
16	24			21	PU
16	25			77	
16	26			17	
16	27			21	
16	28			3	G
17	1	11	P		
17	2			19	PU
17	3			33	
17	4			19	
17	5			1	
17	6			18	
17	7			19	
17	8			33	
17	9			19	
17	10			18	TD
17	11	27	SO		
17	12			33	SO
17	13	21	SI		
17	14			21	SI
17	15	14	PU		
17	16	29	L		
17	17	5	G		
18	1	43	P		
18	2			19	PU
18	3			6	
18	4	14	F		
18	5			19	
18	6			6	
18	7			19	
18	8	77	D		
19	1	11	P		
19	2			4	PU
19	3			6	
19	4			4	
19	5			14	
19	6			26	
19	7	14	PU		
19	8	29			
19	9	88			
19	10	27			
19	11	11	G		
20	1	43	P		
20	2			6	PU
20	3			81	
20	4			89	
20	5			6	
20	6			89	G
21	1	47	P		
21	2			13	PU
21	3			7	
21	4			13	
21	5			7	
21	6			77	
21	7			21	
21	8			13	TD
21	9	21	PU		
21	10	47			
21	11	89			
21	12	47			
21	13	89			
21	14	21			
21	15			13	F
21	16	24			
21	17	47			
21	18	24			
21	19	27			
21	20	47			
21	21	89	TD		
21	22			7	PU
21	23			77	
21	24			21	
21	25			77	
21	26			21	
21	27			1	
21	28			64	
21	29			21	
21	30			7	G
22	1	11	P		
22	2			26	PU
22	3			6	
22	4			18	
22	5			1	
22	6			14	
22	7			4	
22	8			1	G
23	1	81	P		
23	2			7	PU
23	3			13	
23	4	15	PU		
23	5	27			
23	6			17	G
24	1	81	P		
24	2			7	PU
24	3			13	
24	4			21	
24	5			77	
24	6	82	D		
24	7	27	PU		
24	8	21	LG		
25	1	45	P		
25	2			13	PU
25	3			7	
25	4	9	D		
25	5	9	PU		
25	6	10			
25	7	15			
25	8	10			
25	9	45			
25	10	15			
25	11	10			
25	12	24			
25	13			13	F
25	14	47			
25	15	10			
25	16	15			
25	17	47			
25	18	10			
25	19	47			
25	20	9			
25	21	24			
25	22	89	G		
26	1	45	P		
26	2			12	PU
26	3			10	
26	4			8	
26	5			43	
26	6			8	
26	7			10	
26	8			12	
26	9			27	
26	10			12	
26	11			8	
26	12			10	
26	13			29	
26	14			12	
26	15			11	
26	16			27	
26	17			43	G
27	1	11	P		
27	2			4	PU
27	3			14	
27	4			4	
27	5			33	L
27	6			6	G
28	1	81	P		
28	2			7	PU
28	3			13	
28	4			64	
28	5			77	
28	6			1	
28	7			7	
28	8			21	
28	9			1	
28	10			64	
28	11			17	
28	12			13	G
29	1	43	P		
29	2			26	PU
29	3			6	
29	4			1	
29	5			14	
29	6			18	LG
30	1	81	P		
30	2			13	PU
30	3			7	
30	4			1	
30	5			17	
30	6			64	
30	7			3	L
30	8			13	G
31	1	11	P		
31	2			4	PU
31	3			19	
31	4			4	
31	5			14	
31	6	5	F		
31	7			4	
31	8			44	
31	9			14	
31	10	27	D		
31	11	27			
31	12	10			
31	13	27			
31	14	5			
31	15			44	D
31	16			44	PU
31	17			18	
31	18			1	
31	19			14	
31	20			19	
31	21			4	TD
31	22	14	PU		
31	23	11			
31	24	88			
31	25	11			
31	26	29			
31	27	88	G		
32	1	43	P		
32	2			26	PU
32	3			47	
32	4			26	
32	5			82	
33	1	81	P		
33	2			13	PU
33	3			7	
33	4			1	
33	5			17	
33	6			77	
33	7			21	
33	8			7	
33	9			77	
33	10			3	
33	11			13	
33	12			7	
33	13			21	
33	14			1	
33	15			7	G
34	1	11	P		
34	2			4	PU
34	3			6	
34	4			44	
34	5			6	
34	6			1	
34	7			4	
34	8			26	
34	9			4	
34	10			6	
34	11	11	F		
34	12			1	
34	13			4	
34	14			1	G
35	1	47	P		
35	2			7	PU
35	3			13	
35	4			21	
35	5			7	
35	6			1	
35	7			13	
35	8			64	
35	9			1	
35	10	89	D		
35	11	47	PU		
35	12	24			
35	13	47			
35	14	15			
35	15	45			
35	16	15			
35	17	47			
35	18	15			
35	19	89			
35	20	15			
35	21	45			
35	22		TO		
35	23	19	PU		
35	24	4			
35	25	18			
35	26			29	D
35	27			14	PU
35	28			88	
35	29			14	
35	30			27	
35	31			10	
35	32				TO
35	33			1	PU
35	34			7	
