period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	bosWC	1	1	1	nykRM	bosWC	11	P
1	1	bosWC	2	1	1	nykRM	nykRM	6	PU
1	1	bosWC	3	1	1	nykRM	nykRM	14	
1	1	bosWC	4	1	1	nykRM	nykRM	18	
1	1	bosWC	5	1	1	nykRM	nykRM	4	
1	1	bosWC	6	1	1	nykRM	nykRM	14	
1	1	bosWC	7	1	1	nykRM	nykRM	44	A
1	1	bosWC	8	1	1	nykRM	nykRM	6	G
1	2	nykRM	1	2	1	bosWC	nykRM	81	P
1	2	nykRM	2	2	1	bosWC	bosWC	00	PU
1	2	nykRM	3	2	1	bosWC	bosWC	13	
1	2	nykRM	4	2	1	bosWC	bosWC	7	
1	2	nykRM	5	2	1	bosWC	bosWC	21	
1	2	nykRM	6	2	1	bosWC	bosWC	1	
1	2	nykRM	7	2	1	bosWC	nykRM	82	D
1	2	nykRM	8	3	2	nykRM	nykRM	24	PU
1	2	nykRM	9	3	2	nykRM	nykRM	47	
1	2	nykRM	10	3	2	nykRM	nykRM	24	
1	2	nykRM	11	3	2	nykRM	nykRM	47	
1	2	nykRM	12	3	2	nykRM	nykRM	5	
1	2	nykRM	13	3	2	nykRM	nykRM	24	
1	2	nykRM	14	3	2	nykRM	nykRM	27	
1	2	nykRM	15	3	2	nykRM	nykRM	21	
1	2	nykRM	16	3	2	nykRM	nykRM	81	
1	2	nykRM	17	3	2	nykRM	bosWC	77	F
1	2	nykRM	18	3	2	nykRM	nykRM	5	
1	2	nykRM	19	3	2	nykRM	nykRM	47	
1	2	nykRM	20	3	2	nykRM	nykRM	82	
1	2	nykRM	21	4	3	bosWC	bosWC	7	PU
1	2	nykRM	22	4	3	bosWC	bosWC	13	
1	2	nykRM	23	4	3	bosWC	bosWC	64	
1	2	nykRM	24	4	3	bosWC	bosWC	21	
1	2	nykRM	25	4	3	bosWC	bosWC	77	L
1	2	nykRM	26	4	3	bosWC	nykRM	27	F
1	2	nykRM	27	4	3	bosWC	bosWC	7	
1	2	nykRM	28	4	3	bosWC	bosWC	1	
1	2	nykRM	29	4	3	bosWC	bosWC	13	A
1	2	nykRM	30	4	3	bosWC	bosWC	7	G
1	3	bosWC	1	5	1	nykRM	bosWC	43	P
1	3	bosWC	2	5	1	nykRM	nykRM	4	PU
1	3	bosWC	3	5	1	nykRM	nykRM	6	
1	3	bosWC	4	5	1	nykRM	nykRM	33	
1	3	bosWC	5	5	1	nykRM	nykRM	18	
1	3	bosWC	6	5	1	nykRM	nykRM	6	
1	3	bosWC	7	5	1	nykRM	nykRM	18	
1	3	bosWC	8	5	1	nykRM	nykRM	6	
1	3	bosWC	9	5	1	nykRM	nykRM	4	A
