period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
1	1	bosWC	8	1	1	nykRM	nykRM	6	G	8	FALSE	TRUE	nykRM	o_line	G	G
1	2	nykRM	7	2	1	bosWC	nykRM	82	D	7	FALSE	FALSE	NA	o_line	D	def +
1	2	nykRM	20	3	2	nykRM	nykRM	82	TA	13	FALSE	FALSE	NA	d_line	TA	off -
1	2	nykRM	30	4	3	bosWC	bosWC	7	G	10	TRUE	TRUE	bosWC	o_line	G	G
1	3	bosWC	10	5	1	nykRM	nykRM	6	G	10	FALSE	TRUE	nykRM	o_line	G	G
1	4	nykRM	4	6	1	bosWC	bosWC	21	TD	4	FALSE	FALSE	NA	o_line	TD	off -
1	4	nykRM	8	7	2	nykRM	nykRM	89	G	4	FALSE	TRUE	nykRM	d_line	G	G
1	5	nykRM	10	8	1	bosWC	bosWC	17	G	10	FALSE	TRUE	bosWC	o_line	G	G
1	6	bosWC	7	9	1	nykRM	bosWC	11	D	7	FALSE	FALSE	NA	o_line	D	def +
1	6	bosWC	12	10	2	bosWC	bosWC	88	TA	5	FALSE	FALSE	NA	d_line	TA	off -
1	6	bosWC	17	11	3	nykRM	nykRM	19	TA	5	FALSE	FALSE	NA	o_line	TA	off -
1	6	bosWC	24	12	4	bosWC	nykRM	6	D	7	FALSE	FALSE	NA	d_line	D	def +
1	6	bosWC	30	13	5	nykRM	nykRM	14	TD	6	FALSE	FALSE	NA	o_line	TD	off -
1	6	bosWC	35	14	6	bosWC	nykRM	19	D	5	FALSE	FALSE	NA	d_line	D	def +
1	6	bosWC	45	15	7	nykRM	nykRM	1	TA	10	FALSE	FALSE	NA	o_line	TA	off -
1	6	bosWC	51	16	8	bosWC	nykRM	1	D	6	FALSE	FALSE	NA	d_line	D	def +
1	6	bosWC	57	17	9	nykRM	nykRM	18	TA	6	FALSE	FALSE	NA	o_line	TA	off -
1	6	bosWC	60	18	10	bosWC	bosWC	3	TD	3	FALSE	FALSE	NA	d_line	TD	off -
1	6	bosWC	62	19	11	nykRM	nykRM	21	G	2	FALSE	TRUE	nykRM	o_line	G	G
1	7	nykRM	8	20	1	bosWC	bosWC	43	G	8	FALSE	TRUE	bosWC	o_line	G	G
1	8	bosWC	2	21	1	nykRM	nykRM	19	eop	2	FALSE	FALSE	NA	o_line	eop	eop
2	9	nykRM	7	22	1	bosWC	bosWC	3	G	7	TRUE	TRUE	bosWC	o_line	G	G
2	10	bosWC	8	23	1	nykRM	nykRM	33	VTT	8	FALSE	FALSE	NA	o_line	VTT	off -
2	10	bosWC	18	24	2	bosWC	bosWC	88	TD	10	FALSE	FALSE	NA	d_line	TD	off -
2	10	bosWC	22	25	3	nykRM	bosWC	14	D	4	FALSE	FALSE	NA	o_line	D	def +
2	10	bosWC	25	26	4	bosWC	bosWC	11	TA	3	FALSE	FALSE	NA	d_line	TA	off -
2	10	bosWC	27	27	5	nykRM	bosWC	27	D	2	FALSE	FALSE	NA	o_line	D	def +
2	10	bosWC	29	28	6	bosWC	bosWC	11	LG	2	TRUE	TRUE	bosWC	d_line	G	G
2	11	bosWC	7	29	1	nykRM	nykRM	27	TD	7	FALSE	FALSE	NA	o_line	TD	off -
2	11	bosWC	9	30	2	bosWC	nykRM	1	D	2	FALSE	FALSE	NA	d_line	D	def +
