point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Portland Stags	1	10:00:00	5:25:00
2	Seattle Rainmakers	1	5:25:00	4:22:00
3	Seattle Rainmakers	1	4:22:00	3:12:00
4	Portland Stags	1	3:12:00	2:31:00
5	Portland Stags	1	2:31:00	0:29:00
6	Portland Stags	1	0:29:00	0:00:00
7	Seattle Rainmakers	2	10:00:00	9:36:00
8	Portland Stags	2	9:36:00	8:30:00
9	Portland Stags	2	8:30:00	6:40:00
10	Portland Stags	2	6:40:00	5:22:00
11	Seattle Rainmakers	2	5:22:00	4:06:00
12	Portland Stags	2	4:06:00	0:15:00
13	Portland Stags	2	0:15:00	0:00:00
14	Portland Stags	3	10:00:00	9:34:00
15	Seattle Rainmakers	3	9:34:00	6:41:00
16	Seattle Rainmakers	3	6:41:00	5:28:00
17	Seattle Rainmakers	3	5:28:00	1:58:00
18	Portland Stags	3	1:58:00	1:28:00
19	Seattle Rainmakers	3	1:28:00	0:21:00
20	Seattle Rainmakers	3	0:21:00	0:05:00
21	Portland Stags	3	0:05:00	0:00:00
22	Seattle Rainmakers	4	10:00:00	8:45:00
23	Portland Stags	4	8:45:00	5:56:00
24	Portland Stags	4	5:56:00	5:39:00
25	Seattle Rainmakers	4	5:39:00	3:23:00
26	Seattle Rainmakers	4	3:23:00	2:16:00
27	Seattle Rainmakers	4	2:16:00	1:51:00
28	Portland Stags	4	1:51:00	0:00:00
