period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	pdxST	1	1	1	seaRM	pdxST	73	P
1	1	pdxST	2	1	1	seaRM	seaRM	00	PU
1	1	pdxST	3	2	2	pdxST	pdxST	7	PU
1	1	pdxST	4	2	2	pdxST	pdxST	73	
1	1	pdxST	5	2	2	pdxST	pdxST	7	
1	1	pdxST	6	3	3	seaRM	seaRM	00	PU
1	1	pdxST	7	3	3	seaRM	seaRM	21	
1	1	pdxST	8	3	3	seaRM	seaRM	6	
1	1	pdxST	9	3	3	seaRM	seaRM	00	
1	1	pdxST	10	3	3	seaRM	seaRM	1	
1	1	pdxST	11	3	3	seaRM	seaRM	00	
1	1	pdxST	12	3	3	seaRM	seaRM	77	
1	1	pdxST	13	3	3	seaRM	seaRM	1	
1	1	pdxST	14	3	3	seaRM	seaRM	21	
1	1	pdxST	15	3	3	seaRM	seaRM	00	
1	1	pdxST	16	3	3	seaRM	seaRM	6	
1	1	pdxST	17	3	3	seaRM	seaRM	00	
1	1	pdxST	18	4	4	pdxST	pdxST	73	PU
1	1	pdxST	19	4	4	pdxST	pdxST	88	
1	1	pdxST	20	4	4	pdxST	pdxST	42	
1	1	pdxST	21	4	4	pdxST	pdxST	4	
1	1	pdxST	22	4	4	pdxST	pdxST	73	
1	1	pdxST	23	4	4	pdxST	pdxST	88	
1	1	pdxST	24	4	4	pdxST	seaRM	1	HB
1	1	pdxST	25	5	5	seaRM	seaRM	1	PU
1	1	pdxST	26	5	5	seaRM	seaRM	21	
1	1	pdxST	27	6	6	pdxST	pdxST	7	PU
1	1	pdxST	28	6	6	pdxST	pdxST	4	
1	1	pdxST	29	6	6	pdxST	pdxST	42	
1	1	pdxST	30	6	6	pdxST	pdxST	22	
1	1	pdxST	31	6	6	pdxST	pdxST	88	
1	1	pdxST	32	6	6	pdxST	pdxST	22	
1	1	pdxST	33	6	6	pdxST	pdxST	88	
1	1	pdxST	34	6	6	pdxST	pdxST	4	
1	1	pdxST	35	6	6	pdxST	pdxST	88	
1	1	pdxST	36	6	6	pdxST	pdxST	73	
1	1	pdxST	37	7	7	seaRM	seaRM	00	PU
1	1	pdxST	38	7	7	seaRM	seaRM	1	
1	1	pdxST	39	7	7	seaRM	seaRM	00	
1	1	pdxST	40	7	7	seaRM	seaRM	77	
1	1	pdxST	41	7	7	seaRM	seaRM	1	
1	1	pdxST	42	7	7	seaRM	seaRM	6	
1	1	pdxST	43	7	7	seaRM	seaRM	00	
1	1	pdxST	44	7	7	seaRM	seaRM	6	
1	1	pdxST	45	7	7	seaRM	seaRM	21	
1	1	pdxST	46	7	7	seaRM	seaRM	00	
1	1	pdxST	47	7	7	seaRM	seaRM		TO
1	1	pdxST	48	7	7	seaRM	seaRM	00	PU
1	1	pdxST	49	7	7	seaRM	seaRM	1	
1	1	pdxST	50	7	7	seaRM	seaRM	21	
1	1	pdxST	51	7	7	seaRM	seaRM	99	
1	1	pdxST	52	7	7	seaRM	seaRM	00	
1	1	pdxST	53	7	7	seaRM	seaRM	1	
1	1	pdxST	54	7	7	seaRM	seaRM	77	
1	1	pdxST	55	7	7	seaRM	seaRM	1	
1	1	pdxST	56	7	7	seaRM	seaRM	99	
1	1	pdxST	57	7	7	seaRM	seaRM	5	A
1	1	pdxST	58	7	7	seaRM	seaRM	21	LG
1	2	pdxST	1	8	1	pdxST	pdxST	24	PU
1	2	pdxST	2	8	1	pdxST	pdxST	21	
1	2	pdxST	3	8	1	pdxST	pdxST	11	
1	2	pdxST	4	8	1	pdxST	pdxST	17	
1	2	pdxST	5	8	1	pdxST	pdxST	21	
1	2	pdxST	6	8	1	pdxST	pdxST	2	
1	2	pdxST	7	8	1	pdxST	pdxST	6	
1	2	pdxST	8	9	2	seaRM	seaRM	24	PU
1	2	pdxST	9	10	3	pdxST	pdxST	11	PU
1	2	pdxST	10	10	3	pdxST	pdxST	2	TD
1	2	pdxST	11	11	4	seaRM	seaRM	29	PUA
1	2	pdxST	12	11	4	seaRM	seaRM	12	G
1	3	pdxST	1	12	1	pdxST	pdxST	10	PU
1	3	pdxST	2	12	1	pdxST	pdxST	9	
