poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	2	an	-1	O-PU	seaRM-00		NA	seaRM-00	TRUE	taway
2	2	1	3	4	ao	0	O-PU	pdxST-7		O-CTH	pdxST-73	TRUE	compl
2	2	1	4	5	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-7	TRUE	compl
2	2	1	5	5	an	-1	O-CTH	pdxST-7		NA	pdxST-7	TRUE	taway
3	3	1	6	7	ao	0	O-PU	seaRM-00		O-CTH	seaRM-21	TRUE	compl
3	3	1	7	8	ao	0	O-CTH	seaRM-21		O-CTH	seaRM-6	TRUE	compl
3	3	1	8	9	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-00	TRUE	compl
3	3	1	9	10	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-1	TRUE	compl
3	3	1	10	11	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-00	TRUE	compl
3	3	1	11	12	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-77	TRUE	compl
3	3	1	12	13	ao	0	O-CTH	seaRM-77		O-CTH	seaRM-1	TRUE	compl
3	3	1	13	14	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-21	TRUE	compl
3	3	1	14	15	ao	0	O-CTH	seaRM-21		O-CTH	seaRM-00	TRUE	compl
3	3	1	15	16	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-6	TRUE	compl
3	3	1	16	17	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-00	TRUE	compl
3	3	1	17	17	an	-1	O-CTH	seaRM-00		NA	seaRM-00	TRUE	taway
4	4	1	18	19	ao	0	O-PU	pdxST-73		O-CTH	pdxST-88	TRUE	compl
4	4	1	19	20	ao	0	O-CTH	pdxST-88		O-CTH	pdxST-42	TRUE	compl
4	4	1	20	21	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-4	TRUE	compl
4	4	1	21	22	ao	0	O-CTH	pdxST-4		O-CTH	pdxST-73	TRUE	compl
4	4	1	22	23	ao	0	O-CTH	pdxST-73		O-CTH	pdxST-88	TRUE	compl
4	4	1	23	24	ao	0	O-CTH	pdxST-88		D-D	seaRM-1	TRUE	defd
5	5	1	25	26	ao	0	O-PU	seaRM-1		O-CTH	seaRM-21	TRUE	compl
5	5	1	26	26	an	-1	O-CTH	seaRM-21		NA	seaRM-21	TRUE	taway
6	6	1	27	28	ao	0	O-PU	pdxST-7		O-CTH	pdxST-4	TRUE	compl
6	6	1	28	29	ao	0	O-CTH	pdxST-4		O-CTH	pdxST-42	TRUE	compl
6	6	1	29	30	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-22	TRUE	compl
6	6	1	30	31	ao	0	O-CTH	pdxST-22		O-CTH	pdxST-88	TRUE	compl
6	6	1	31	32	ao	0	O-CTH	pdxST-88		O-CTH	pdxST-22	TRUE	compl
6	6	1	32	33	ao	0	O-CTH	pdxST-22		O-CTH	pdxST-88	TRUE	compl
6	6	1	33	34	ao	0	O-CTH	pdxST-88		O-CTH	pdxST-4	TRUE	compl
6	6	1	34	35	ao	0	O-CTH	pdxST-4		O-CTH	pdxST-88	TRUE	compl
6	6	1	35	36	ao	0	O-CTH	pdxST-88		O-CTH	pdxST-73	TRUE	compl
6	6	1	36	36	an	-1	O-CTH	pdxST-73		NA	pdxST-73	TRUE	taway
7	7	1	37	38	ao	0	O-PU	seaRM-00		O-CTH	seaRM-1	TRUE	compl
7	7	1	38	39	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-00	TRUE	compl
7	7	1	39	40	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-77	TRUE	compl
7	7	1	40	41	ao	0	O-CTH	seaRM-77		O-CTH	seaRM-1	TRUE	compl
7	7	1	41	42	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-6	TRUE	compl
7	7	1	42	43	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-00	TRUE	compl
7	7	1	43	44	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-6	TRUE	compl
7	7	1	44	45	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-21	TRUE	compl
7	7	1	45	46	ao	0	O-CTH	seaRM-21		O-CTH	seaRM-00	TRUE	compl
7	7	1	46	47	ao	0	O-CTH	seaRM-00		O-TO	seaRM-	TRUE	nopass
7	7	1	48	49	ao	0	O-PU	seaRM-00		O-CTH	seaRM-1	TRUE	compl
7	7	1	49	50	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-21	TRUE	compl
7	7	1	50	51	ao	0	O-CTH	seaRM-21		O-CTH	seaRM-99	TRUE	compl
7	7	1	51	52	ao	0	O-CTH	seaRM-99		O-CTH	seaRM-00	TRUE	compl
7	7	1	52	53	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-1	TRUE	compl
7	7	1	53	54	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-77	TRUE	compl
7	7	1	54	55	ao	0	O-CTH	seaRM-77		O-CTH	seaRM-1	TRUE	compl
7	7	1	55	56	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-99	TRUE	compl
7	7	1	56	57	ao	0	O-CTH	seaRM-99		O-CTH	seaRM-5	TRUE	compl
7	7	1	57	58	ao	0	O-CTH	seaRM-5		O-G	seaRM-21	TRUE	compl
8	1	2	2	3	ao	0	O-PU	pdxST-24		O-CTH	pdxST-21	TRUE	compl
8	1	2	3	4	ao	0	O-CTH	pdxST-21		O-CTH	pdxST-11	TRUE	compl
8	1	2	4	5	ao	0	O-CTH	pdxST-11		O-CTH	pdxST-17	TRUE	compl
8	1	2	5	6	ao	0	O-CTH	pdxST-17		O-CTH	pdxST-21	TRUE	compl
8	1	2	6	7	ao	0	O-CTH	pdxST-21		O-CTH	pdxST-2	TRUE	compl
