game	player	points	goals	assists	Ds
2014-06-21_seaRM-at-pdxST	pdxST-6-Bjorklund	4	2	2	0
2014-06-21_seaRM-at-pdxST	pdxST-5-Woodside	3	3	0	0
2014-06-21_seaRM-at-pdxST	pdxST-88-Suppnick	3	1	2	1
2014-06-21_seaRM-at-pdxST	pdxST-10-Strout	3	0	3	0
2014-06-21_seaRM-at-pdxST	pdxST-21-McGinn	2	2	0	1
2014-06-21_seaRM-at-pdxST	pdxST-11-Kenton	2	1	1	0
2014-06-21_seaRM-at-pdxST	pdxST-16-Burton	2	1	1	0
2014-06-21_seaRM-at-pdxST	pdxST-1-Cable	1	1	0	0
2014-06-21_seaRM-at-pdxST	pdxST-14-Adamson	1	1	0	0
2014-06-21_seaRM-at-pdxST	pdxST-7-Friedman	1	1	0	0
2014-06-21_seaRM-at-pdxST	pdxST-15-Thornton	1	0	1	0
2014-06-21_seaRM-at-pdxST	pdxST-22-Cole	1	0	1	0
2014-06-21_seaRM-at-pdxST	pdxST-24-Norden	1	0	1	0
2014-06-21_seaRM-at-pdxST	pdxST-42-Lohre	1	0	1	0
2014-06-21_seaRM-at-pdxST	pdxST-2-Allison-Hall	0	0	0	1
2014-06-21_seaRM-at-pdxST	pdxST-20-Beach-Rehner	0	0	0	1
2014-06-21_seaRM-at-pdxST	seaRM-99-el-salaam	7	5	2	0
2014-06-21_seaRM-at-pdxST	seaRM-77-trotter	3	1	2	0
2014-06-21_seaRM-at-pdxST	seaRM-24-duffel	2	2	0	0
2014-06-21_seaRM-at-pdxST	seaRM-1-mckibben	2	1	1	1
2014-06-21_seaRM-at-pdxST	seaRM-12-gallagher	2	1	1	1
2014-06-21_seaRM-at-pdxST	seaRM-21-phan	2	1	1	0
2014-06-21_seaRM-at-pdxST	seaRM-29-feeley	2	0	2	0
2014-06-21_seaRM-at-pdxST	seaRM-18-uhrig-fox	1	1	0	1
2014-06-21_seaRM-at-pdxST	seaRM-23-sliva	1	0	1	2
2014-06-21_seaRM-at-pdxST	seaRM-2-bubernak	1	0	1	0
2014-06-21_seaRM-at-pdxST	seaRM-5-chu	1	0	1	0
2014-06-21_seaRM-at-pdxST	seaRM-4-schneider	0	0	0	2
2014-06-21_seaRM-at-pdxST	seaRM-00-rupp	0	0	0	1
2014-06-21_seaRM-at-pdxST	seaRM-15-beehner	0	0	0	1
