point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Vancouver Nighthawks	1	10:00:00	9:24:00
2	Vancouver Nighthawks	1	9:24:00	8:24:00
3	Vancouver Nighthawks	1	8:24:00	6:51:00
4	Vancouver Nighthawks	1	6:51:00	4:56:00
5	San Francisco Dogfish	1	4:56:00	4:22:00
6	San Francisco Dogfish	1	4:22:00	4:05:00
7	Vancouver Nighthawks	1	4:05:00	3:06:00
8	San Francisco Dogfish	1	3:06:00	2:30:00
9	San Francisco Dogfish	1	2:30:00	0:02:00
10	Vancouver Nighthawks	1	0:02:00	0:00:00
11	San Francisco Dogfish	2	10:00:00	9:02:00
12	San Francisco Dogfish	2	9:02:00	5:26:00
13	San Francisco Dogfish	2	5:26:00	4:43:00
14	San Francisco Dogfish	2	4:43:00	2:05:00
15	San Francisco Dogfish	2	2:05:00	0:23:00
16	Vancouver Nighthawks	2	0:23:00	0:01:00
17	Vancouver Nighthawks	2	0:01:00	0:00:00
18	Vancouver Nighthawks	3	10:00:00	8:57:00
19	Vancouver Nighthawks	3	8:57:00	8:33:00
20	San Francisco Dogfish	3	8:33:00	6:08:00
21	San Francisco Dogfish	3	6:08:00	4:38:00
22	Vancouver Nighthawks	3	4:38:00	4:08:00
23	Vancouver Nighthawks	3	4:08:00	3:40:00
24	San Francisco Dogfish	3	3:40:00	1:26:00
25	Vancouver Nighthawks	3	1:26:00	0:59:00
26	San Francisco Dogfish	3	0:59:00	0:36:00
27	Vancouver Nighthawks	3	0:36:00	0:00:00
28	San Francisco Dogfish	4	10:00:00	8:25:00
29	Vancouver Nighthawks	4	8:25:00	7:51:00
30	San Francisco Dogfish	4	7:51:00	7:27:00
31	Vancouver Nighthawks	4	7:27:00	3:15:00
32	Vancouver Nighthawks	4	3:15:00	2:41:00
33	Vancouver Nighthawks	4	2:41:00	2:11:00
34	San Francisco Dogfish	4	2:11:00	1:25:00
35	San Francisco Dogfish	4	1:25:00	0:47:00
36	Vancouver Nighthawks	4	0:47:00	0:00:00
