point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	8	P		
1	2			8	PU
1	3			13	
1	4			8	
1	5			13	
1	6			8	
1	7			40	
1	8			8	
1	9			40	
1	10			8	
1	11	31	D		
1	12	27	PU		
1	13	8			
1	14	27			
1	15	11			
1	16	45			
1	17	24	G		
2	1	8	P		
2	2			25	PU
2	3			16	
2	4	7	D		
2	5	24	PU		
2	6	14			
2	7	8			
2	8	39			
2	9	8			
2	10	13	TD		
2	11			12	PU
2	12	17	PU		
2	13	7			
2	14	39			
2	15	37	G		
3	1	11	P		
3	2			13	PU
3	3			88	
3	4			8	
3	5			88	
3	6			13	
3	7			40	
3	8			13	
3	9			24	
3	10			8	
3	11			21	
3	12			8	
3	13			88	
3	14	31	D		
3	15	11	PU		
3	16	27			
3	17	7			
3	18			13	PU
3	19			21	
3	20	4	HB		
3	21	45	PU		
3	22	4			
3	23	13			
3	24	27	G		
4	1	39	P		
4	2			17	PU
4	3			5	
4	4			17	
4	5			5	
4	6			85	TD
4	7	89	PU		
4	8			17	D
4	9			17	PU
4	10	5	PU		
4	11			10	D
4	12			5	PU
4	13			17	
4	14			18	
4	15			17	
4	16			12	G
5	1	23	P		
5	2			89	PU
5	3			5	
5	4			22	
5	5			10	
5	6			22	TD
5	7	23	PU		
5	8	13			
5	9	22	L		
5	10	11	G		
6	1	16	P		
6	2			89	PU
6	3			19	
6	4			21	
6	5			13	
6	6			5	G
7	1	8	P		
7	2			8	PU
7	3			13	
7	4			8	
7	5			88	
7	6			8	
7	7			88	
7	8			8	
7	9			88	
7	10			8	
7	11			13	
7	12			8	
7	13			13	
7	14			40	
7	15			88	
7	16			13	
7	17			23	
7	18			21	LG
8	1	16	P		
8	2			5	PU
8	3			89	
8	4			22	
8	5			72	
8	6			5	TD
8	7	16	PU		
8	8	18	L		
8	9	10			
8	10	25	G		
9	1	23	P		
9	2			5	PU
9	3			22	TD
9	4	83	PU		
9	5	83	VTT		
9	6			89	PU
9	7	23	PU		
9	8	83			
9	9	23			
9	10			5	PU
9	11	13	HB		
9	12	23	PU		
9	13	83			
9	14			22	D
9	15			89	PU
9	16			10	
9	17			19	
9	18			98	
9	19			22	
9	20			98	G
10	1	8	P		
10	2			16	PU
11	1	12	P		
11	2			89	PU
11	3			19	
11	4			98	
11	5			19	
11	6			22	
11	7			19	
11	8			89	
11	9			19	
11	10			89	
11	11			5	
11	12			19	
11	13			22	
11	14			21	TD
11	15	5	PU		
11	16	18			
11	17	5			
11	18	85			
11	19	57	G		
12	1	13	P		
12	2			5	PU
12	3	21	D		
12	4	13	PU		
12	5	8	TD		
12	6			19	PU
12	7			98	
12	8			22	
12	9			5	
12	10			10	
12	11			98	
12	12			5	
12	13			72	TD
12	14	23	PU		
12	15			5	PU
12	16			89	
12	17	88	F		
12	18			5	
12	19	13	PU		
12	20	8			
12	21	13			
12	22	40			
12	23			72	HB
12	24			10	PU
12	25			89	VTT
12	26	23	PU		
12	27			98	D
12	28			98	
12	29	8	PU		
12	30	13			
12	31	40			
12	32	23			
12	33			5	PU
12	34			89	
12	35			22	TD
12	36	8	PU		
12	37	?	TO		
12	38	8	PU		
12	39	13			
12	40	88			
12	41	40	G		
13	1	16	P		
13	2			19	PU
13	3			5	
13	4			89	
13	5			10	TD
13	6	16	PU		
13	7	10	G		
14	1	8	P		
14	2			24	PU
14	3	57	PU		
14	4			37	PU
14	5			45	TD
14	6	8	PU		
14	7	21			
14	8	19			
14	9	8			
14	10	21			
14	11	?	TO		
14	12	23	PU		
14	13			24	PU
14	14			39	
14	15			24	
14	16	40	D		
14	17	40	PU		
14	18	8			
14	19	23			
14	20	88			
14	21			45	PU
14	22	23	D		
14	23	8	PU		
14	24	24	G		
15	1	16	P		
15	2			5	PU
15	3			22	
15	4	7	D		
15	5	16	PU		
15	6	85			
15	7	83			
15	8	18			
15	9	14			
15	10	18	TD		
15	11			11	PU
15	12	16	PU		
15	13			89	PU
15	14			22	
15	15			98	
15	16			22	
15	17			11	L
15	18			?	TO
15	19			5	PU
15	20			98	G
16	1	8	P		
16	2			8	PU
16	3			13	
16	4			8	
16	5	24	PU		
16	6	?	TO		
16	7	5	PU		
16	8	98	G		
17	1	8	P		
17	2			88	PU
17	3	13	D		
18	1	8	P		
18	2			8	PU
18	3			13	
18	4			23	
18	5			40	
18	6			23	
18	7			24	
18	8			23	
18	9			40	
18	10			23	
18	11	31	D		
18	12	24	PU		
18	13	45			
18	14	8			
18	15	24			
18	16	31	G		
19	1	8	P		
19	2			16	PU
19	3			46	
19	4			25	
19	5			12	
19	6			85	L
19	7			25	G
20	1	23	P		
20	2			89	PU
20	3			10	TD
20	4	23	PU		
20	5			5	PU
20	6			89	
20	7			22	
20	8			19	
20	9			10	
20	10			72	
20	11			10	
20	12	13	PU		
20	13	22			
20	14	23			
20	15	13			
20	16	19			
20	17			22	HB
