poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	sfoDF-8		O-CTH	sfoDF-13	TRUE	compl
1	1	1	3	4	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-8	TRUE	compl
1	1	1	4	5	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-13	TRUE	compl
1	1	1	5	6	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-8	TRUE	compl
1	1	1	6	7	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-40	TRUE	compl
1	1	1	7	8	ao	0	O-CTH	sfoDF-40		O-CTH	sfoDF-8	TRUE	compl
1	1	1	8	9	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-40	TRUE	compl
1	1	1	9	10	ao	0	O-CTH	sfoDF-40		O-CTH	sfoDF-8	TRUE	compl
1	1	1	10	11	ao	0	O-CTH	sfoDF-8		D-D	vanNH-31	TRUE	defd
2	2	1	12	13	ao	0	O-PU	vanNH-27		O-CTH	vanNH-8	TRUE	compl
2	2	1	13	14	ao	0	O-CTH	vanNH-8		O-CTH	vanNH-27	TRUE	compl
2	2	1	14	15	ao	0	O-CTH	vanNH-27		O-CTH	vanNH-11	TRUE	compl
2	2	1	15	16	ao	0	O-CTH	vanNH-11		O-CTH	vanNH-45	TRUE	compl
2	2	1	16	17	ao	0	O-CTH	vanNH-45		O-G	vanNH-24	TRUE	compl
3	1	2	2	3	ao	0	O-PU	sfoDF-25		O-CTH	sfoDF-16	TRUE	compl
3	1	2	3	4	ao	0	O-CTH	sfoDF-16		D-D	vanNH-7	TRUE	defd
4	2	2	5	6	ao	0	O-PU	vanNH-24		O-CTH	vanNH-14	TRUE	compl
4	2	2	6	7	ao	0	O-CTH	vanNH-14		O-CTH	vanNH-8	TRUE	compl
4	2	2	7	8	ao	0	O-CTH	vanNH-8		O-CTH	vanNH-39	TRUE	compl
4	2	2	8	9	ao	0	O-CTH	vanNH-39		O-CTH	vanNH-8	TRUE	compl
4	2	2	9	10	ao	0	O-CTH	vanNH-8		O-TD	vanNH-13	TRUE	drop
5	3	2	11	11	an	-1	O-PU	sfoDF-12		NA	sfoDF-12	TRUE	taway
6	4	2	12	13	ao	0	O-PU	vanNH-17		O-CTH	vanNH-7	TRUE	compl
6	4	2	13	14	ao	0	O-CTH	vanNH-7		O-CTH	vanNH-39	TRUE	compl
6	4	2	14	15	ao	0	O-CTH	vanNH-39		O-G	vanNH-37	TRUE	compl
7	1	3	2	3	ao	0	O-PU	sfoDF-13		O-CTH	sfoDF-88	TRUE	compl
7	1	3	3	4	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-8	TRUE	compl
7	1	3	4	5	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-88	TRUE	compl
7	1	3	5	6	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-13	TRUE	compl
7	1	3	6	7	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-40	TRUE	compl
7	1	3	7	8	ao	0	O-CTH	sfoDF-40		O-CTH	sfoDF-13	TRUE	compl
7	1	3	8	9	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-24	TRUE	compl
7	1	3	9	10	ao	0	O-CTH	sfoDF-24		O-CTH	sfoDF-8	TRUE	compl
7	1	3	10	11	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-21	TRUE	compl
7	1	3	11	12	ao	0	O-CTH	sfoDF-21		O-CTH	sfoDF-8	TRUE	compl
7	1	3	12	13	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-88	TRUE	compl
7	1	3	13	14	ao	0	O-CTH	sfoDF-88		D-D	vanNH-31	TRUE	defd
8	2	3	15	16	ao	0	O-PU	vanNH-11		O-CTH	vanNH-27	TRUE	compl
8	2	3	16	17	ao	0	O-CTH	vanNH-27		O-CTH	vanNH-7	TRUE	compl
8	2	3	17	17	an	-1	O-CTH	vanNH-7		NA	vanNH-7	TRUE	taway
9	3	3	18	19	ao	0	O-PU	sfoDF-13		O-CTH	sfoDF-21	TRUE	compl
9	3	3	19	20	ao	0	O-CTH	sfoDF-21		D-D	vanNH-4	TRUE	defd
10	4	3	21	22	ao	0	O-PU	vanNH-45		O-CTH	vanNH-4	TRUE	compl
10	4	3	22	23	ao	0	O-CTH	vanNH-4		O-CTH	vanNH-13	TRUE	compl
10	4	3	23	24	ao	0	O-CTH	vanNH-13		O-G	vanNH-27	TRUE	compl
11	1	4	2	3	ao	0	O-PU	sfoDF-17		O-CTH	sfoDF-5	TRUE	compl
11	1	4	3	4	ao	0	O-CTH	sfoDF-5		O-CTH	sfoDF-17	TRUE	compl
11	1	4	4	5	ao	0	O-CTH	sfoDF-17		O-CTH	sfoDF-5	TRUE	compl
11	1	4	5	6	ao	0	O-CTH	sfoDF-5		O-TD	sfoDF-85	TRUE	drop
12	2	4	7	8	ao	0	O-PU	vanNH-89		D-D	sfoDF-17	TRUE	defd
13	3	4	9	9	an	-1	O-PU	sfoDF-17		NA	sfoDF-17	TRUE	taway
14	4	4	10	11	ao	0	O-PU	vanNH-5		D-D	sfoDF-10	TRUE	defd
15	5	4	12	13	ao	0	O-PU	sfoDF-5		O-CTH	sfoDF-17	TRUE	compl
15	5	4	13	14	ao	0	O-CTH	sfoDF-17		O-CTH	sfoDF-18	TRUE	compl
15	5	4	14	15	ao	0	O-CTH	sfoDF-18		O-CTH	sfoDF-17	TRUE	compl
15	5	4	15	16	ao	0	O-CTH	sfoDF-17		O-G	sfoDF-12	TRUE	compl
16	1	5	2	3	ao	0	O-PU	vanNH-89		O-CTH	vanNH-5	TRUE	compl
16	1	5	3	4	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-22	TRUE	compl
16	1	5	4	5	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-10	TRUE	compl
16	1	5	5	6	ao	0	O-CTH	vanNH-10		O-TD	vanNH-22	TRUE	drop
17	2	5	7	8	ao	0	O-PU	sfoDF-23		O-CTH	sfoDF-13	TRUE	compl
17	2	5	8	9	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-22	TRUE	compl
17	2	5	9	10	ao	0	O-CTH	sfoDF-22		O-G	sfoDF-11	TRUE	compl
18	1	6	2	3	ao	0	O-PU	vanNH-89		O-CTH	vanNH-19	TRUE	compl
18	1	6	3	4	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-21	TRUE	compl
18	1	6	4	5	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-13	TRUE	compl
18	1	6	5	6	ao	0	O-CTH	vanNH-13		O-G	vanNH-5	TRUE	compl
19	1	7	2	3	ao	0	O-PU	sfoDF-8		O-CTH	sfoDF-13	TRUE	compl
19	1	7	3	4	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-8	TRUE	compl
19	1	7	4	5	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-88	TRUE	compl
19	1	7	5	6	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-8	TRUE	compl
19	1	7	6	7	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-88	TRUE	compl
19	1	7	7	8	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-8	TRUE	compl
19	1	7	8	9	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-88	TRUE	compl
19	1	7	9	10	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-8	TRUE	compl
19	1	7	10	11	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-13	TRUE	compl
19	1	7	11	12	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-8	TRUE	compl
19	1	7	12	13	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-13	TRUE	compl
19	1	7	13	14	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-40	TRUE	compl
