point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Philadelphia Spinners	1	10:00:00	9:21:00
2	Philadelphia Spinners	1	9:21:00	8:08:00
3	Washington DC Current	1	8:08:00	7:07:00
4	Washington DC Current	1	7:07:00	6:38:00
5	Philadelphia Spinners	1	6:38:00	5:10:00
6	Philadelphia Spinners	1	5:10:00	4:52:00
7	Washington DC Current	1	4:52:00	4:36:00
8	Washington DC Current	1	4:36:00	2:58:00
9	Philadelphia Spinners	1	2:58:00	1:52:00
10	Philadelphia Spinners	1	1:52:00	1:05:00
11	Washington DC Current	1	1:05:00	0:00:00
12	Washington DC Current	2	10:00:00	8:26:00
13	Philadelphia Spinners	2	8:26:00	6:38:00
14	Philadelphia Spinners	2	6:38:00	4:19:00
15	Washington DC Current	2	4:19:00	2:50:00
16	Washington DC Current	2	2:50:00	0:00:00
17	Philadelphia Spinners	2	0:00:00	0:44:00
18	Washington DC Current	2	0:44:00	0:29:00
19	Philadelphia Spinners	2	0:29:00	0:00:00
20	Philadelphia Spinners	3	10:00:00	7:40:00
21	Washington DC Current	3	7:40:00	5:45:00
22	Philadelphia Spinners	3	5:45:00	5:08:00
23	Philadelphia Spinners	3	5:08:00	4:51:00
24	Washington DC Current	3	4:51:00	3:21:00
25	Washington DC Current	3	3:21:00	2:37:00
26	Philadelphia Spinners	3	2:37:00	2:12:00
27	Washington DC Current	3	2:12:00	0:33:00
28	Washington DC Current	3	0:33:00	0:00:00
29	Washington DC Current	4	10:00:00	9:49:00
30	Philadelphia Spinners	4	9:49:00	8:48:00
31	Washington DC Current	4	8:48:00	8:27:00
32	Philadelphia Spinners	4	8:27:00	6:26:00
33	Philadelphia Spinners	4	6:26:00	6:09:00
34	Washington DC Current	4	6:09:00	6:00:00
35	Philadelphia Spinners	4	6:00:00	5:30:00
36	Washington DC Current	4	5:30:00	3:52:00
37	Washington DC Current	4	3:52:00	3:09:00
38	Philadelphia Spinners	4	3:09:00	2:59:00
39	Washington DC Current	4	2:59:00	1:37:00
40	Washington DC Current	4	1:37:00	1:14:00
41	Philadelphia Spinners	4	1:14:00	0:31:00
42	Washington DC Current	4	0:31:00	0:07:00
43	Philadelphia Spinners	4	0:07:00	0:00:00
