point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	1	P		
1	2			21	PU
1	3			23	
1	4			12	
1	5			23	
1	6			21	
1	7			9	
1	8			6	TD
1	9	31	PU		
1	10	11			
1	11	64			
1	12	2			
1	13	16			
1	14	2			
1	15	76			
1	16	16	G		
2	1	6	P		
2	2			88	PU
2	3			90	
2	4			88	
2	5			90	
2	6			49	
2	7			90	
2	8	3	PU		
2	9	38			
2	10	3			
2	11			88	D
2	12			88	
2	13			90	
2	14			5	
2	15			7	
2	16			5	
2	17			1	LG
3	1	14	P		
3	2			7	PU
3	3	99	PU		
3	4	14			
3	5	99			
3	6	27			
3	7	3			
3	8	14			
3	9	27			
3	10	99			
3	11	27			
3	12	99			
3	13			13	F
3	14	14			
3	15	99	G		
4	1	2	P		
4	2			25	PU
4	3			33	
4	4			25	
4	5			33	
4	6			64	
4	7			3	
4	8			33	
4	9			42	
4	10			3	LG
5	1	1	P		
5	2			88	PU
5	3			90	
5	4	10	PU		
5	5	76			
5	6	22			
5	7	1			
5	8	16			
5	9			90	D
5	10			90	
5	11			45	
5	12			90	
5	13			5	
5	14			7	
5	15			88	
5	16			45	
5	17			1	
5	18			45	
5	19	1	PU		
5	20	76	L		
5	21	10	G		
6	1	3	P		
6	2			3	PU
6	3			99	
6	4			27	
6	5			80	
6	6			20	
6	7			31	G
7	1	2	P		
7	2			7	PU
7	3			13	
7	4	4	D		
7	5	12	PU		
7	6	9	G		
8	1	90	P		
8	2			7	PU
8	3			23	
8	4			13	
8	5			23	
8	6			7	
8	7			23	
8	8			25	
8	9			23	
8	10			14	
8	11			11	
8	12			42	
8	13			25	
8	14			7	
8	15			25	TO
8	16			13	PU
8	17			25	
8	18			14	
8	19			13	
8	20			7	
8	21			25	
8	22			13	
8	23			25	
8	24			14	
8	25			25	
8	26			11	G
9	1	1	P		
9	2			14	PU
9	3			99	
9	4			80	
9	5			99	
9	6			19	
9	7	1	D		
9	8	64	PU		
9	9	76			
9	10	64			
9	11	76			
9	12	2			
9	13	31			
9	14	16			
9	15	2			
9	16	64			
9	17	2			
9	18	16			
9	19	22			
9	20	31	G		
10	1	3	P		
10	2			12	PU
10	3			23	
10	4			2	
10	5			4	
10	6			23	
10	7			2	
10	8			25	
10	9			9	
10	10			6	
10	11			12	
10	12			9	
10	13			2	G
11	1	90	P		
11	2			7	PU
11	3			4	
11	4			25	
11	5			7	
11	6			25	
11	7			23	
11	8			4	
11	9			23	
11	10			14	
11	11			25	
11	12			14	
11	13			42	
11	14			7	
11	15		TO		
11	16	2	PU		
11	17	99			
11	18	2			
11	19	5			
12	1	19	P		
12	2			23	PU
12	3			13	
12	4			25	
12	5			42	
12	6			13	
12	7			25	
12	8	19	D		
12	9	19	PU		
12	10	27			
12	11	3			
12	12	80			
12	13	3			
12	14	42			
12	15			11	D
12	16			11	PU
12	17			7	
12	18			13	
12	19			7	
12	20			13	
12	21			7	
12	22			14	
12	23			42	
12	24			25	
12	25			13	
12	26			23	
12	27			42	
12	28			11	G
13	1	1	P		
13	2			12	PU
13	3			2	
13	4			9	
13	5			12	
13	6			6	
13	7			21	
13	8			12	
13	9	2	D		
13	10	2	PU		
13	11	22	TD		
13	12			2	PU
13	13			25	
13	14			6	
13	15			2	
13	16			4	
13	17			2	
13	18			6	
13	19	76	PU		
13	20	16	LG		
