point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	phlSP	wdcCT	pt_dur	pt_dur_txt
1	1	10:00:00	9:21:00	phlSP	2	phlSP	break	1	0	39	00:39
2	1	9:21:00	8:08:00	phlSP	3	wdcCT	hold	1	1	73	01:13
3	1	8:08:00	7:07:00	wdcCT	2	wdcCT	break	1	2	61	01:01
4	1	7:07:00	6:38:00	wdcCT	1	phlSP	hold	2	2	29	00:29
5	1	6:38:00	5:10:00	phlSP	4	phlSP	break	3	2	88	01:28
6	1	5:10:00	4:52:00	phlSP	1	wdcCT	hold	3	3	18	00:18
7	1	4:52:00	4:36:00	wdcCT	2	wdcCT	break	3	4	16	00:16
8	1	4:36:00	2:58:00	wdcCT	1	phlSP	hold	4	4	98	01:38
9	1	2:58:00	1:52:00	phlSP	2	phlSP	break	5	4	66	01:06
10	1	1:52:00	1:05:00	phlSP	1	wdcCT	hold	5	5	47	00:47
11	1	1:05:00	0:00:00	wdcCT	NA	NA	NA	5	5	65	01:05
12	2	10:00:00	8:26:00	wdcCT	3	phlSP	hold	6	5	94	01:34
13	2	8:26:00	6:38:00	phlSP	4	phlSP	break	7	5	108	01:48
14	2	6:38:00	4:19:00	phlSP	5	wdcCT	hold	7	6	139	02:19
15	2	4:19:00	2:50:00	wdcCT	2	wdcCT	break	7	7	89	01:29
16	2	2:50:00	0:00:00	wdcCT	3	phlSP	hold	8	7	170	02:50
17	2	0:00:00	0:44:00	phlSP	1	wdcCT	hold	8	8	-44	-1:16
18	2	0:44:00	0:29:00	wdcCT	1	phlSP	hold	9	8	15	00:15
19	2	0:29:00	0:00:00	phlSP	NA	NA	NA	9	8	29	00:29
20	3	10:00:00	7:40:00	phlSP	5	wdcCT	hold	9	9	140	02:20
21	3	7:40:00	5:45:00	wdcCT	3	phlSP	hold	10	9	115	01:55
22	3	5:45:00	5:08:00	phlSP	2	phlSP	break	11	9	37	00:37
23	3	5:08:00	4:51:00	phlSP	1	wdcCT	hold	11	10	17	00:17
24	3	4:51:00	3:21:00	wdcCT	4	wdcCT	break	11	11	90	01:30
25	3	3:21:00	2:37:00	wdcCT	1	phlSP	hold	12	11	44	00:44
26	3	2:37:00	2:12:00	phlSP	1	wdcCT	hold	12	12	25	00:25
27	3	2:12:00	0:33:00	wdcCT	4	wdcCT	break	12	13	99	01:39
28	3	0:33:00	0:00:00	wdcCT	NA	NA	NA	12	13	33	00:33
29	4	10:00:00	9:49:00	wdcCT	1	phlSP	hold	13	13	11	00:11
30	4	9:49:00	8:48:00	phlSP	1	wdcCT	hold	13	14	61	01:01
31	4	8:48:00	8:27:00	wdcCT	1	phlSP	hold	14	14	21	00:21
32	4	8:27:00	6:26:00	phlSP	4	phlSP	break	15	14	121	02:01
33	4	6:26:00	6:09:00	phlSP	1	wdcCT	hold	15	15	17	00:17
34	4	6:09:00	6:00:00	wdcCT	1	phlSP	hold	16	15	9	00:09
35	4	6:00:00	5:30:00	phlSP	1	wdcCT	hold	16	16	30	00:30
36	4	5:30:00	3:52:00	wdcCT	2	wdcCT	break	16	17	98	01:38
37	4	3:52:00	3:09:00	wdcCT	1	phlSP	hold	17	17	43	00:43
38	4	3:09:00	2:59:00	phlSP	1	wdcCT	hold	17	18	10	00:10
39	4	2:59:00	1:37:00	wdcCT	2	wdcCT	break	17	19	82	01:22
40	4	1:37:00	1:14:00	wdcCT	1	phlSP	hold	18	19	23	00:23
41	4	1:14:00	0:31:00	phlSP	1	wdcCT	hold	18	20	43	00:43
42	4	0:31:00	0:07:00	wdcCT	1	phlSP	hold	19	20	24	00:24
43	4	0:07:00	0:00:00	phlSP	1	wdcCT	hold	19	21	7	00:07
