period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	bosWC	1	1	1	wdcCT	bosWC	18	P
1	1	bosWC	2	1	1	wdcCT	wdcCT	88	PU
1	1	bosWC	3	1	1	wdcCT	wdcCT	99	
1	1	bosWC	4	1	1	wdcCT	wdcCT	8	
1	1	bosWC	5	1	1	wdcCT	wdcCT	99	
1	1	bosWC	6	1	1	wdcCT	wdcCT	8	
1	1	bosWC	7	1	1	wdcCT	wdcCT	88	
1	1	bosWC	8	1	1	wdcCT	wdcCT	9	
1	1	bosWC	9	1	1	wdcCT	wdcCT	45	
1	1	bosWC	10	1	1	wdcCT	wdcCT	8	
1	1	bosWC	11	1	1	wdcCT	wdcCT	88	TD
1	1	bosWC	12	2	2	bosWC	bosWC	18	PU
1	1	bosWC	13	2	2	bosWC	bosWC	12	
1	1	bosWC	14	2	2	bosWC	bosWC	5	
1	1	bosWC	15	2	2	bosWC	bosWC	18	
1	1	bosWC	16	2	2	bosWC	wdcCT	8	D
1	1	bosWC	17	3	3	wdcCT	wdcCT	99	PU
1	1	bosWC	18	3	3	wdcCT	wdcCT	90	
1	1	bosWC	19	3	3	wdcCT	wdcCT	99	
1	1	bosWC	20	3	3	wdcCT	wdcCT	88	
1	1	bosWC	21	3	3	wdcCT	wdcCT	2	
1	1	bosWC	22	3	3	wdcCT	wdcCT	45	
1	1	bosWC	23	3	3	wdcCT	wdcCT	99	
1	1	bosWC	24	3	3	wdcCT	bosWC	25	D
1	1	bosWC	25	4	4	bosWC	bosWC	12	PU
1	1	bosWC	26	4	4	bosWC	wdcCT	99	D
1	1	bosWC	27	5	5	wdcCT	wdcCT	99	
1	1	bosWC	28	5	5	wdcCT	wdcCT	90	
1	1	bosWC	29	5	5	wdcCT	wdcCT	2	
1	1	bosWC	30	5	5	wdcCT	wdcCT	45	
1	1	bosWC	31	5	5	wdcCT	wdcCT	2	
1	1	bosWC	32	5	5	wdcCT	bosWC	5	F
1	1	bosWC	33	5	5	wdcCT	bosWC	12	D
1	1	bosWC	34	6	6	bosWC	bosWC	12	PU
1	1	bosWC	35	6	6	bosWC	bosWC	12	VST
1	1	bosWC	36	7	7	wdcCT	wdcCT	99	PUA
1	1	bosWC	37	7	7	wdcCT	wdcCT	90	G
1	2	wdcCT	1	8	1	bosWC	wdcCT	22	P
1	2	wdcCT	2	8	1	bosWC	bosWC	7	PU
1	2	wdcCT	3	8	1	bosWC	bosWC	21	
1	2	wdcCT	4	8	1	bosWC	bosWC	77	
1	2	wdcCT	5	8	1	bosWC	bosWC	1	
1	2	wdcCT	6	8	1	bosWC	bosWC	17	
1	2	wdcCT	7	8	1	bosWC	bosWC	7	TD
1	2	wdcCT	8	9	2	wdcCT	wdcCT	12	PU
1	2	wdcCT	9	9	2	wdcCT	wdcCT	32	
1	2	wdcCT	10	9	2	wdcCT	wdcCT	22	A
1	2	wdcCT	11	9	2	wdcCT	wdcCT	19	G
1	3	wdcCT	1	10	1	bosWC	wdcCT	21	P
1	3	wdcCT	2	10	1	bosWC	bosWC	13	PU
1	3	wdcCT	3	10	1	bosWC	bosWC	7	
1	3	wdcCT	4	10	1	bosWC	bosWC	21	
1	3	wdcCT	5	10	1	bosWC	bosWC	7	A
1	3	wdcCT	6	10	1	bosWC	bosWC	64	LG
1	4	bosWC	1	11	1	wdcCT	bosWC	18	P
1	4	bosWC	2	11	1	wdcCT	wdcCT	14	PU
1	4	bosWC	3	11	1	wdcCT	wdcCT	2	
1	4	bosWC	4	11	1	wdcCT	wdcCT	45	
