game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-06-28_bosWC-at-wdcCT	bosWC-13	malacek	6	0.9	3	3	40	36	34	0	2	bosWC	13
2014-06-28_bosWC-at-wdcCT	bosWC-77	clark	4	0.94	3	1	17	16	20	0	0	bosWC	77
2014-06-28_bosWC-at-wdcCT	bosWC-1	markette	4	0.92	0	4	38	35	33	0	0	bosWC	1
2014-06-28_bosWC-at-wdcCT	bosWC-7	brecher	4	0.97	0	4	36	35	31	0	0	bosWC	7
2014-06-28_bosWC-at-wdcCT	bosWC-9	nixon	3	1	3	0	3	3	6	0	0	bosWC	9
2014-06-28_bosWC-at-wdcCT	bosWC-64	farnsworth	2	0.83	2	0	6	5	7	3	0	bosWC	64
2014-06-28_bosWC-at-wdcCT	bosWC-12	simmons	2	0.92	1	1	12	11	6	2	0	bosWC	12
2014-06-28_bosWC-at-wdcCT	bosWC-21	graham	2	1	1	1	33	33	31	0	0	bosWC	21
2014-06-28_bosWC-at-wdcCT	bosWC-27	hatchett	2	1	0	2	3	3	3	1	0	bosWC	27
2014-06-28_bosWC-at-wdcCT	bosWC-17	foster	1	0.83	1	0	12	10	13	2	1	bosWC	17
2014-06-28_bosWC-at-wdcCT	bosWC-25	mcdonnell	1	1	1	0	1	1	2	1	0	bosWC	25
2014-06-28_bosWC-at-wdcCT	bosWC-43	hirschberger	1	0	1	0	1	0	2	1	0	bosWC	43
2014-06-28_bosWC-at-wdcCT	bosWC-35	macnaughton	1	0.8	1	0	10	8	11	0	0	bosWC	35
2014-06-28_bosWC-at-wdcCT	bosWC-11	foster	1	1	0	1	4	4	6	1	0	bosWC	11
2014-06-28_bosWC-at-wdcCT	bosWC-5	doherty	0	1	0	0	4	4	3	1	0	bosWC	5
2014-06-28_bosWC-at-wdcCT	bosWC-6	roth	0	0.5	0	0	2	1	1	1	0	bosWC	6
2014-06-28_bosWC-at-wdcCT	bosWC-	?name?	0	NA	0	0	0	0	0	0	0	bosWC	bosWC
2014-06-28_bosWC-at-wdcCT	bosWC-00	taylor	0	0.91	0	0	11	10	8	0	0	bosWC	00
2014-06-28_bosWC-at-wdcCT	bosWC-18	browar-jarus	0	0.75	0	0	4	3	2	0	0	bosWC	18
2014-06-28_bosWC-at-wdcCT	bosWC-29	stevens	0	0.67	0	0	3	2	3	0	0	bosWC	29
2014-06-28_bosWC-at-wdcCT	bosWC-3	zid	0	1	0	0	2	2	2	0	0	bosWC	3
2014-06-28_bosWC-at-wdcCT	bosWC-8	cooper	0	1	0	0	11	11	9	0	0	bosWC	8
2014-06-28_bosWC-at-wdcCT	bosWC-88	meyers	0	0.75	0	0	4	3	3	0	0	bosWC	88
