point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Vancouver Nighthawks	1	10:00:00	9:30:00
2	Vancouver Nighthawks	1	9:30:00	7:36:00
3	Vancouver Nighthawks	1	7:36:00	1:43:00
4	Vancouver Nighthawks	1	1:43:00	0:00:00
5	Portland Stags	2	10:00:00	9:28:00
6	Vancouver Nighthawks	2	9:28:00	8:16:00
7	Portland Stags	2	8:16:00	7:48:00
8	Portland Stags	2	7:48:00	7:10:00
9	Portland Stags	2	7:10:00	6:49:00
10	Portland Stags	2	6:49:00	5:30:00
11	Vancouver Nighthawks	2	5:30:00	4:58:00
12	Vancouver Nighthawks	2	4:58:00	2:06:00
13	Portland Stags	2	2:06:00	1:15:00
14	Vancouver Nighthawks	2	1:15:00	0:05:00
15	Portland Stags	2	0:05:00	0:00:00
16	Vancouver Nighthawks	3	10:00:00	9:49:00
17	Portland Stags	3	9:49:00	9:09:00
18	Portland Stags	3	9:09:00	8:38:00
19	Vancouver Nighthawks	3	8:38:00	7:19:00
20	Portland Stags	3	7:19:00	3:54:00
21	Vancouver Nighthawks	3	3:54:00	3:19:00
22	Vancouver Nighthawks	3	3:19:00	1:40:00
23	Vancouver Nighthawks	3	1:40:00	1:03:00
24	Portland Stags	3	1:03:00	0:00:00
25	Portland Stags	4	10:00:00	7:38:00
26	Portland Stags	4	7:38:00	6:33:00
27	Vancouver Nighthawks	4	6:33:00	4:36:00
28	Portland Stags	4	4:36:00	1:52:00
29	Portland Stags	4	1:52:00	1:34:00
30	Vancouver Nighthawks	4	1:34:00	0:49:00
31	Vancouver Nighthawks	4	0:49:00	0:00:00
