point	event	pullNum	pullCode	recvNum	recvCode
1	1	8	P		
1	2			11	PU
1	3			24	
1	4			10	
1	5			2	
1	6			11	
1	7			7	
1	8			13	
1	9			11	
1	10			10	TD
1	11	24	PU		
1	12	45			
1	13	31	G		
2	1	8	P		
2	2			10	PU
2	3			24	
2	4			10	
2	5			2	
2	6			13	
2	7			24	
2	8			7	
2	9			24	
2	10			10	
2	11			24	
2	12			11	
2	13			2	
2	14			7	
2	15			24	
2	16			7	
2	17			24	
2	18			7	
2	19			13	
2	20			6	
2	21			7	
2	22			24	
2	23			6	
2	24	17	PU		
2	25	11			
2	26	18			
2	27	8			
2	28	11			
2	29	7			
2	30	4	G		
3	1	33	P		
3	2			11	PU
3	3			7	
3	4			73	
3	5			7	
3	6			6	
3	7			7	
3	8			16	
3	9			7	
3	10			8	
3	11			11	
3	12			8	
3	13			7	
3	14			8	
3	15			16	
3	16			8	
3	17			11	
3	18			88	
3	19	13	D		
3	20	45	PU		
3	21	13			
3	22	37			
3	23			7	PU
3	24			11	
3	25			6	
3	26			11	
3	27			7	
3	28	33	PU		
3	29	31			
3	30	45			
3	31		TO		
3	32	89	PU		
3	33	22			
3	34	21			
3	35	98			
3	36	89			
3	37	19			
3	38	89			
3	39	5			
3	40			17	D
3	41			21	PU
3	42			16	
3	43	19	PU		
3	44	98			
3	45	89			
3	46	12			
3	47	5			
3	48			88	D
3	49			88	
3	50			8	
3	51			88	
3	52			5	L
3	53	89	D		
3	54	89			
3	55	98			
3	56	19			
3	57	21	F		
3	58			88	PU
3	59			21	
3	60			88	
3	61			8	
3	62			22	
3	63			8	
3	64	19	D		
3	65	19	PU		
3	66	89			
3	67	22			
3	68	72			
3	69	22			
3	70	98			
3	71	22			
3	72	5			
3	73	72			
3	74	22	G		
4	1	8	P		
4	2			24	PU
4	3			2	
4	4			11	
4	5			24	
4	6	24	PU		
4	7	11			
4	8	8			
4	9	81	L		
4	10	6			
4	11			10	D
4	12			7	PU
4	13			24	
4	14	11	D		
4	15	45	PU		
4	16	11			
4	17	8			
4	18			11	D
4	19			11	PU
4	20	45	D		
4	21	45			
4	22			13	D
4	23			13	
4	24	24	D		
4	25	24			
5	1	88	P		
5	2			5	PU
5	3			22	
5	4			89	
5	5	22	F		
5	6			8	
5	7			98	
5	8			10	G
6	1	8	P		
6	2			10	PU
6	3			24	
6	4			7	
6	5			11	
6	6			6	
6	7			10	
6	8			7	
6	9			2	
6	10			24	
6	11			10	
6	12			11	
6	13			10	
6	14			24	
6	15			10	
6	16			24	
6	17			6	
6	18			24	
6	19			10	
6	20			7	
6	21			10	
6	22			2	LG
7	1	88	P		
7	2			89	PU
7	3			5	
7	4			89	
7	5			10	
7	6	88			
7	7	16			
7	8	21			
7	9	8	LG		
8	1	88	P		
8	2			19	PU
8	3			89	
8	4			19	
8	5			98	
8	6			89	
8	7			98	
8	8			89	
8	9	8			
8	10	4			
8	11	88			
8	12	25	L		
8	13	4	G		
9	1	88	P		
9	2			19	PU
9	3			5	
9	4			8	
9	5	21	PU		
9	6	5	G		
10	1	88	P		
10	2			89	PU
10	3			5	
10	4			89	
10	5			22	
10	6			21	
10	7	7	PU		
10	8	88			
10	9	8			
10	10	?	TO		
10	11	24	PU		
10	12	2	TD		
10	13			24	PU
10	14			11	
10	15			8	
10	16			7	
10	17			24	
10	18			7	
10	19			24	
10	20			8	
10	21			81	
10	22			4	G
11	1	8	P		
11	2			24	PU
11	3			10	
11	4			11	
11	5			10	
11	6			11	
11	7			6	
11	8			11	
11	9			6	
11	10			7	
11	11	45	PU		
11	12	8	G		
12	1	8	OBP		
12	2			88	PU
12	3			73	
12	4			6	
12	5			73	
12	6			88	
12	7			9	
12	8			16	
12	9	8	F		
12	10			9	
12	11			88	
12	12			73	
12	13			9	
12	14			73	
12	15	45	PU		
12	16	81			
12	17	45			
12	18	37			
12	19	33			
12	20	8			
12	21	27			
12	22			9	F
12	23	45			
12	24	37			
12	25	81			
12	26	27			
12	27	8			
12	28	13			
12	29			8	
12	30			6	
12	31			88	
12	32			16	
12	33			8	
12	34			22	
12	35			16	
12	36			6	G
13	1	7	P		
13	2			5	PU
13	3			89	
13	4			22	
13	5			?	VP
13	6			22	PU
13	7			10	
13	8			89	
13	9			5	
13	10			10	L
13	11			98	G
14	1	8	P		
14	2			24	PU
14	3			10	
14	4			88	
14	5			10	
14	6			24	
14	7			7	
14	8			24	
14	9			7	
14	10			24	
14	11			2	
14	12			88	
14	13			24	
14	14			11	
14	15			24	
14	16			11	
14	17			2	
14	18			24	
14	19			11	
14	20			2	
14	21			7	
14	22			11	
14	23			7	
14	24			24	
14	25			6	
14	26	8	F		
14	27			24	
14	28			11	
14	29			88	
14	30	45	F		
14	31			10	G
15	1	88	P		
15	2			19	PU
15	3			5	
15	4	5	PU		
16	1	8	P		
16	2			11	PU
16	3			10	
16	4			11	
16	5			16	
16	6			13	LG
17	1	88	P		
17	2			19	PU
17	3			5	
17	4			19	
17	5			10	
17	6	8	PU		
17	7	88			
17	8	4			
17	9	88			
17	10	5	LG		
18	1	88	P		
18	2			19	PU
18	3			89	
18	4			5	
18	5			98	
18	6			5	
18	7			10	
18	8			89	
18	9			6	
18	10			10	
18	11			98	G
19	1	8	P		
19	2			11	PU
19	3			10	
19	4			24	
19	5			10	
19	6			24	
19	7			7	
19	8			2	
19	9			24	
19	10			11	
19	11			24	
19	12	8	D		
19	13	81	PU		
19	14	24			
19	15	8			
19	16	11			
19	17	24			
19	18	11	TD		
19	19			24	PU
19	20			10	
19	21			6	G
20	1	88	P		
20	2			5	PU
20	3			89	
20	4			5	
20	5			10	
20	6			6	
20	7			89	
20	8			22	
20	9			19	
20	10			98	
20	11	88	PU		
20	12	8			
20	13	5	L		
20	14	21			
20	15	22	TD		
20	16			5	PU
20	17	88	PU		
20	18	25			
20	19	8			
20	20	16			
20	21	22			
20	22	25			
20	23	8			
20	24	88			
20	25	21			
20	26	88			
20	27			89	PU
20	28			98	
20	29			10	
20	30			89	
20	31			6	
20	32			89	
20	33			19	
20	34			5	
20	35			89	
20	36			19	
20	37			10	G
21	1	8	P		
21	2			24	PU
21	3			10	
21	4			11	
21	5			24	TD
21	6	24	PU		
21	7	8			
21	8			11	PU
21	9			10	
21	10			6	
21	11	24	D		
21	12	24			
21	13	4	G		
22	1	8	P		
22	2			11	PU
22	3			10	
22	4			11	
22	5			7	
22	6			11	
22	7			10	
22	8			9	
22	9	11	PU		
22	10	27			
22	11	7			
22	12	8			
22	13	81			
22	14			13	F
22	15	11			
22	16			13	F
22	17	8	PU		
22	18	11			
22	19	8			
22	20	11	G		
23	1	8	P		
23	2			7	PU
23	3			11	
23	4			88	
23	5			16	
23	6			25	
23	7			11	
23	8			16	
23	9			25	
23	10			16	
23	11			88	G
24	1	88	P		
24	2			19	PU
24	3			89	
24	4			10	
24	5			98	TD
24	6	8	PU		
24	7	88			
24	8	8			
24	9	5			
24	10	?	TO		
24	11	88	PU		
24	12	8			
24	13	21			
24	14	8			
24	15	88			
24	16			13	D
25	1	88	P		
25	2			19	PU
25	3			89	
25	4			10	
25	5			89	
25	6			19	
25	7			72	TD
25	8	7	PU		
25	9	88			
25	10	7			
25	11	4			
25	12	7			
25	13	25			
25	14	7			
25	15	8			
25	16	7			
25	17	22			
25	18	25	TD		
25	19			89	PU
25	20			10	
25	21	25	F		
25	22			19	
25	23			5	
25	24			89	
25	25			19	
25	26			22	
25	27			98	
25	28	22	D		
25	29	88	PU		
25	30	21			
25	31	7	L		
25	32	4	G		
26	1	8	P		
26	2			19	PU
26	3			89	
26	4			10	
26	5			11	
26	6			8	
26	7	21	PU		
26	8	9			
26	9	16			
26	10			19	PU
26	11			89	
26	12			8	
26	13			89	
26	14			27	
26	15			11	G
27	1	8	P		
27	2			11	PU
27	3			10	
27	4			88	
27	5			11	
27	6			7	TD
27	7	45	PU		
27	8	18			
27	9	4			
27	10	45			
27	11	18			
27	12	24			
27	13	18			
27	14	8			
27	15	81			
27	16		TO		
27	17	89	PU		
27	18	98			
27	19	19			
27	20	89			
27	21	10			
27	22	19			
27	23	89	VTT		
27	24			8	PU
27	25			88	
27	26			5	L
27	27			6	
27	28			22	
27	29			8	
27	30			21	G
28	1	8	P		
28	2			19	PU
28	3			89	
28	4			10	
28	5			89	
28	6			8	
28	7			19	
28	8			10	
28	9			19	
28	10			89	
28	11			19	
28	12	7	PU		
28	13	10			
28	14	7			
28	15	8			
28	16	21			
28	17	13			
28	18	21			
28	19	8			
28	20	16			
28	21	7			
28	22	10			
28	23			19	F
28	24	7			
28	25	10			
28	26			19	F
28	27	7			
28	28	21			
28	29	7			
28	30	10			
28	31	8			
28	32	22			
28	33	10			
28	34	8			
28	35	13	G		
29	1	88	P		
29	2			19	PU
29	3			5	
29	4			98	
29	5			6	
29	6			5	
29	7			22	LG
30	1	8	P		
30	2			24	PU
30	3			10	
30	4			11	
30	5			7	
30	6			6	
30	7			7	
30	8			6	
30	9			2	
30	10			7	
30	11			11	
30	12			24	
30	13			11	
30	14	11	D		
30	15	5	PU		
30	16	89	G		
31	1	8	P		
31	2			24	PU
31	3			10	
31	4			11	
31	5			10	
31	6			24	
31	7			10	
31	8			6	
31	9			10	
31	10	81	PU		
31	11	24			
31	12	11			
31	13	24			
