period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	vanNH	1	1	1	pdxST	vanNH	8	P
1	1	vanNH	2	1	1	pdxST	pdxST	11	PU
1	1	vanNH	3	1	1	pdxST	pdxST	24	
1	1	vanNH	4	1	1	pdxST	pdxST	10	
1	1	vanNH	5	1	1	pdxST	pdxST	2	
1	1	vanNH	6	1	1	pdxST	pdxST	11	
1	1	vanNH	7	1	1	pdxST	pdxST	7	
1	1	vanNH	8	1	1	pdxST	pdxST	13	
1	1	vanNH	9	1	1	pdxST	pdxST	11	
1	1	vanNH	10	1	1	pdxST	pdxST	10	TD
1	1	vanNH	11	2	2	vanNH	vanNH	24	PU
1	1	vanNH	12	2	2	vanNH	vanNH	45	A
1	1	vanNH	13	2	2	vanNH	vanNH	31	G
1	2	vanNH	1	3	1	pdxST	vanNH	8	P
1	2	vanNH	2	3	1	pdxST	pdxST	10	PU
1	2	vanNH	3	3	1	pdxST	pdxST	24	
1	2	vanNH	4	3	1	pdxST	pdxST	10	
1	2	vanNH	5	3	1	pdxST	pdxST	2	
1	2	vanNH	6	3	1	pdxST	pdxST	13	
1	2	vanNH	7	3	1	pdxST	pdxST	24	
1	2	vanNH	8	3	1	pdxST	pdxST	7	
1	2	vanNH	9	3	1	pdxST	pdxST	24	
1	2	vanNH	10	3	1	pdxST	pdxST	10	
1	2	vanNH	11	3	1	pdxST	pdxST	24	
1	2	vanNH	12	3	1	pdxST	pdxST	11	
1	2	vanNH	13	3	1	pdxST	pdxST	2	
1	2	vanNH	14	3	1	pdxST	pdxST	7	
1	2	vanNH	15	3	1	pdxST	pdxST	24	
1	2	vanNH	16	3	1	pdxST	pdxST	7	
1	2	vanNH	17	3	1	pdxST	pdxST	24	
1	2	vanNH	18	3	1	pdxST	pdxST	7	
1	2	vanNH	19	3	1	pdxST	pdxST	13	
1	2	vanNH	20	3	1	pdxST	pdxST	6	
1	2	vanNH	21	3	1	pdxST	pdxST	7	
1	2	vanNH	22	3	1	pdxST	pdxST	24	
1	2	vanNH	23	3	1	pdxST	pdxST	6	
1	2	vanNH	24	4	2	vanNH	vanNH	17	PU
1	2	vanNH	25	4	2	vanNH	vanNH	11	
1	2	vanNH	26	4	2	vanNH	vanNH	18	
1	2	vanNH	27	4	2	vanNH	vanNH	8	
1	2	vanNH	28	4	2	vanNH	vanNH	11	
1	2	vanNH	29	4	2	vanNH	vanNH	7	A
1	2	vanNH	30	4	2	vanNH	vanNH	4	G
1	3	vanNH	1	5	1	pdxST	vanNH	33	P
1	3	vanNH	2	5	1	pdxST	pdxST	11	PU
1	3	vanNH	3	5	1	pdxST	pdxST	7	
1	3	vanNH	4	5	1	pdxST	pdxST	73	
1	3	vanNH	5	5	1	pdxST	pdxST	7	
1	3	vanNH	6	5	1	pdxST	pdxST	6	
1	3	vanNH	7	5	1	pdxST	pdxST	7	
1	3	vanNH	8	5	1	pdxST	pdxST	16	
1	3	vanNH	9	5	1	pdxST	pdxST	7	
1	3	vanNH	10	5	1	pdxST	pdxST	8	
1	3	vanNH	11	5	1	pdxST	pdxST	11	
1	3	vanNH	12	5	1	pdxST	pdxST	8	
1	3	vanNH	13	5	1	pdxST	pdxST	7	
1	3	vanNH	14	5	1	pdxST	pdxST	8	
1	3	vanNH	15	5	1	pdxST	pdxST	16	
1	3	vanNH	16	5	1	pdxST	pdxST	8	
1	3	vanNH	17	5	1	pdxST	pdxST	11	
1	3	vanNH	18	5	1	pdxST	pdxST	88	
1	3	vanNH	19	5	1	pdxST	vanNH	13	D
1	3	vanNH	20	6	2	vanNH	vanNH	45	PU
1	3	vanNH	21	6	2	vanNH	vanNH	31	
