point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	pdxST	vanNH
1	1	10:00:00	9:30:00	vanNH	2	vanNH	break	0	1
2	1	9:30:00	7:36:00	vanNH	2	vanNH	break	0	2
3	1	7:36:00	1:43:00	vanNH	10	vanNH	break	0	3
4	1	1:43:00	0:00:00	vanNH	NA	NA	NA	0	3
5	2	10:00:00	9:28:00	pdxST	1	vanNH	hold	0	4
6	2	9:28:00	8:16:00	vanNH	1	pdxST	hold	1	4
7	2	8:16:00	7:48:00	pdxST	2	pdxST	break	2	4
8	2	7:48:00	7:10:00	pdxST	2	pdxST	break	3	4
9	2	7:10:00	6:49:00	pdxST	2	pdxST	break	4	4
10	2	6:49:00	5:30:00	pdxST	3	vanNH	hold	4	5
11	2	5:30:00	4:58:00	vanNH	2	vanNH	break	4	6
12	2	4:58:00	2:06:00	vanNH	3	pdxST	hold	5	6
13	2	2:06:00	1:15:00	pdxST	1	vanNH	hold	5	7
14	2	1:15:00	0:05:00	vanNH	1	pdxST	hold	6	7
15	2	0:05:00	0:00:00	pdxST	NA	NA	NA	6	7
16	3	10:00:00	9:49:00	vanNH	1	pdxST	hold	7	7
17	3	9:49:00	9:09:00	pdxST	2	pdxST	break	8	7
18	3	9:09:00	8:38:00	pdxST	1	vanNH	hold	8	8
19	3	8:38:00	7:19:00	vanNH	3	pdxST	hold	9	8
20	3	7:19:00	3:54:00	pdxST	5	vanNH	hold	9	9
21	3	3:54:00	3:19:00	vanNH	4	vanNH	break	9	10
22	3	3:19:00	1:40:00	vanNH	2	vanNH	break	9	11
23	3	1:40:00	1:03:00	vanNH	1	pdxST	hold	10	11
24	3	1:03:00	0:00:00	pdxST	NA	NA	NA	10	11
25	4	10:00:00	7:38:00	pdxST	4	pdxST	break	11	11
26	4	7:38:00	6:33:00	pdxST	3	vanNH	hold	11	12
27	4	6:33:00	4:36:00	vanNH	3	pdxST	hold	12	12
28	4	4:36:00	1:52:00	pdxST	2	pdxST	break	13	12
29	4	1:52:00	1:34:00	pdxST	1	vanNH	hold	13	13
30	4	1:34:00	0:49:00	vanNH	2	vanNH	break	13	14
31	4	0:49:00	0:00:00	vanNH	NA	NA	NA	13	14
