period	point	event	pl_team	pl_pnum	pl_code	poss_team
1	1	1	vanNH	8	P	pdxST
1	1	2	pdxST	11	PU	pdxST
1	1	3	pdxST	24		pdxST
1	1	4	pdxST	10		pdxST
1	1	5	pdxST	2		pdxST
1	1	6	pdxST	11		pdxST
1	1	7	pdxST	7		pdxST
1	1	8	pdxST	13		pdxST
1	1	9	pdxST	11		pdxST
1	1	10	pdxST	10	TD	pdxST
1	1	11	vanNH	24	PU	vanNH
1	1	12	vanNH	45	A	vanNH
1	1	13	vanNH	31	G	vanNH
1	2	1	vanNH	8	P	pdxST
1	2	2	pdxST	10	PU	pdxST
1	2	3	pdxST	24		pdxST
1	2	4	pdxST	10		pdxST
1	2	5	pdxST	2		pdxST
1	2	6	pdxST	13		pdxST
1	2	7	pdxST	24		pdxST
1	2	8	pdxST	7		pdxST
1	2	9	pdxST	24		pdxST
1	2	10	pdxST	10		pdxST
1	2	11	pdxST	24		pdxST
1	2	12	pdxST	11		pdxST
1	2	13	pdxST	2		pdxST
1	2	14	pdxST	7		pdxST
1	2	15	pdxST	24		pdxST
1	2	16	pdxST	7		pdxST
1	2	17	pdxST	24		pdxST
1	2	18	pdxST	7		pdxST
1	2	19	pdxST	13		pdxST
1	2	20	pdxST	6		pdxST
1	2	21	pdxST	7		pdxST
1	2	22	pdxST	24		pdxST
1	2	23	pdxST	6		pdxST
1	2	24	vanNH	17	PU	vanNH
1	2	25	vanNH	11		vanNH
1	2	26	vanNH	18		vanNH
1	2	27	vanNH	8		vanNH
1	2	28	vanNH	11		vanNH
1	2	29	vanNH	7	A	vanNH
1	2	30	vanNH	4	G	vanNH
1	3	1	vanNH	33	P	pdxST
1	3	2	pdxST	11	PU	pdxST
1	3	3	pdxST	7		pdxST
1	3	4	pdxST	73		pdxST
1	3	5	pdxST	7		pdxST
1	3	6	pdxST	6		pdxST
1	3	7	pdxST	7		pdxST
1	3	8	pdxST	16		pdxST
1	3	9	pdxST	7		pdxST
1	3	10	pdxST	8		pdxST
1	3	11	pdxST	11		pdxST
1	3	12	pdxST	8		pdxST
1	3	13	pdxST	7		pdxST
1	3	14	pdxST	8		pdxST
1	3	15	pdxST	16		pdxST
1	3	16	pdxST	8		pdxST
1	3	17	pdxST	11		pdxST
1	3	18	pdxST	88		pdxST
1	3	19	vanNH	13	D	pdxST
1	3	20	vanNH	45	PU	vanNH
1	3	21	vanNH	13		vanNH
1	3	22	vanNH	37		vanNH
1	3	23	pdxST	7	PU	pdxST
1	3	24	pdxST	11		pdxST
1	3	25	pdxST	6		pdxST
1	3	26	pdxST	11		pdxST
1	3	27	pdxST	7		pdxST
1	3	28	vanNH	33	PU	vanNH
1	3	29	vanNH	31		vanNH
1	3	30	vanNH	45		vanNH
1	3	31	pdxST			pdxST
1	3	32	vanNH	89	PU	vanNH
1	3	33	vanNH	22		vanNH
1	3	34	vanNH	21		vanNH
1	3	35	vanNH	98		vanNH
1	3	36	vanNH	89		vanNH
1	3	37	vanNH	19		vanNH
1	3	38	vanNH	89		vanNH
1	3	39	vanNH	5		vanNH
1	3	40	pdxST	17	D	vanNH
1	3	41	pdxST	21	PU	pdxST
1	3	42	pdxST	16		pdxST
1	3	43	vanNH	19	PU	vanNH
1	3	44	vanNH	98		vanNH
1	3	45	vanNH	89		vanNH
1	3	46	vanNH	12		vanNH
1	3	47	vanNH	5		vanNH
1	3	48	pdxST	88	D	vanNH
1	3	49	pdxST	88		pdxST
1	3	50	pdxST	8		pdxST
1	3	51	pdxST	88		pdxST
1	3	52	pdxST	5	L	pdxST
1	3	53	vanNH	89	D	pdxST
1	3	54	vanNH	89		vanNH
1	3	55	vanNH	98		vanNH
1	3	56	vanNH	19		vanNH
1	3	57	vanNH	21	F	vanNH
1	3	58	pdxST	88	PU	pdxST
1	3	59	pdxST	21		pdxST
1	3	60	pdxST	88		pdxST
1	3	61	pdxST	8		pdxST
1	3	62	pdxST	22		pdxST
1	3	63	pdxST	8		pdxST
1	3	64	vanNH	19	D	pdxST
1	3	65	vanNH	19	PU	vanNH
1	3	66	vanNH	89		vanNH
1	3	67	vanNH	22		vanNH
1	3	68	vanNH	72		vanNH
1	3	69	vanNH	22		vanNH
1	3	70	vanNH	98		vanNH
1	3	71	vanNH	22		vanNH
1	3	72	vanNH	5		vanNH
1	3	73	vanNH	72	A	vanNH
1	3	74	vanNH	22	G	vanNH
1	4	1	vanNH	8	P	pdxST
1	4	2	pdxST	24	PU	pdxST
1	4	3	pdxST	2		pdxST
1	4	4	pdxST	11		pdxST
1	4	5	pdxST	24		pdxST
1	4	6	vanNH	24	PU	vanNH
1	4	7	vanNH	11		vanNH
1	4	8	vanNH	8		vanNH
1	4	9	vanNH	81	L	vanNH
1	4	10	vanNH	6		vanNH
1	4	11	pdxST	10	D	vanNH
1	4	12	pdxST	7	PU	pdxST
1	4	13	pdxST	24		pdxST
1	4	14	vanNH	11	D	pdxST
1	4	15	vanNH	45	PU	vanNH
1	4	16	vanNH	11		vanNH
1	4	17	vanNH	8		vanNH
1	4	18	pdxST	11	D	vanNH
1	4	19	pdxST	11	PU	pdxST
1	4	20	vanNH	45	D	pdxST
1	4	21	vanNH	45		vanNH
1	4	22	pdxST	13	D	vanNH
1	4	23	pdxST	13		pdxST
1	4	24	vanNH	24	D	pdxST
1	4	25	vanNH	24		vanNH
2	5	1	pdxST	88	P	vanNH
2	5	2	vanNH	5	PU	vanNH
2	5	3	vanNH	22		vanNH
2	5	4	vanNH	89		vanNH
2	5	5	pdxST	22	F	vanNH
2	5	6	vanNH	8		vanNH
2	5	7	vanNH	98	A	vanNH
2	5	8	vanNH	10	G	vanNH
2	6	1	vanNH	8	P	pdxST
2	6	2	pdxST	10	PU	pdxST
2	6	3	pdxST	24		pdxST
2	6	4	pdxST	7		pdxST
2	6	5	pdxST	11		pdxST
2	6	6	pdxST	6		pdxST
2	6	7	pdxST	10		pdxST
2	6	8	pdxST	7		pdxST
2	6	9	pdxST	2		pdxST
2	6	10	pdxST	24		pdxST
