point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	61	P		
1	2			19	PU
1	3			89	
1	4	61	PU		
1	5	7			
1	6	5			
1	7	19			
1	8	43			
1	9	19			
1	10	32			
1	11	6			
1	12	7	G		
2	1	22	P		
2	2			8	PU
2	3			91	
2	4			5	
2	5			10	
2	6			98	
2	7			11	
2	8			5	VST
2	9	27	PU		
2	10			89	F
2	11	6			
2	12	27			
2	13	4			
2	14	22			
2	15	4			
2	16	25	G		
3	1	32	P		
3	2			19	PU
3	3			89	
3	4			10	
3	5			89	
3	6			19	
3	7			10	
3	8	23	F		
3	9			89	
3	10			19	
3	11			11	
3	12			8	
3	13			10	G
4	1	8	P		
4	2			88	PU
4	3			2	
4	4			90	
4	5			88	
4	6			8	
4	7			9	
4	8			45	
4	9			8	
4	10			88	
4	11			2	
4	12			9	
4	13			2	
4	14			90	G
5	1	22	P		
5	2			19	PU
5	3			5	
5	4			19	
5	5			5	
5	6			98	
5	7			10	
5	8	1	D		
5	9	1	PU		
5	10	22			
5	11	17			
5	12	22			
5	13	25			
5	14	21			
5	15	27			
5	16	17	G		
6	1	61	P		
6	2			19	PU
6	3			91	
6	4			62	
6	5			6	
6	6			98	
6	7			10	
6	8			5	
6	9			6	
6	10			10	
6	11			19	
6	12	23	F		
6	13	32	PU		
6	14	23			
6	15	32			
6	16	61			
6	17	32			
6	18			?	F
6	19	5			
6	20	23			
6	21	61	G		
7	1	4	P		
7	2			5	PU
7	3			89	
7	4			5	
7	5			89	
7	6			22	
7	7			5	
7	8			89	
7	9	1	D		
7	10	1	PU		
7	11	27			
7	12	21	G		
8	1	61	P		
8	2			91	PU
8	3			18	
8	4			98	
8	5			91	
8	6			19	
8	7			91	
8	8			6	L
8	9			98	G
9	1	8	P		
9	2			14	PU
9	3			88	
9	4			2	
9	5			88	
9	6			90	
9	7			8	LG
10	1	22	P		
10	2			19	PU
10	3			89	
10	4			10	
10	5			91	
10	6	4	D		
10	7	4	PU		
10	8	31			
10	9	4			
10	10	6			
10	11	1			
10	12	31	LG		
11	1	5	P		
11	2			33	PU
12	1	8	P		
12	2			14	PU
12	3			88	
12	4			2	
12	5			45	LG
13	1	32	P		
13	2			91	PU
13	3			89	
13	4			91	
13	5			6	
13	6			10	
13	7			98	
13	8			6	
13	9			89	
13	10			91	
13	11			10	TD
13	12	21	PU		
13	13	5			
13	14			91	D
13	15			19	
13	16	23	F		
13	17			89	
13	18			19	
13	19			10	
13	20			?	PU
13	21		TO		
13	22	2	PU		
13	23			11	D
13	24			4	
13	25			14	
13	26			45	TD
13	27	2	PU		
13	28	14	G		
14	1	22	P		
14	2			89	PU
14	3			19	
14	4			10	
14	5			6	
14	6			91	
14	7			89	
14	8			91	
14	9	17	D		
14	10	27	PU		
14	11	6			
14	12	25			
14	13	27			
14	14	22	TD		
14	15			19	PU
14	16			72	
14	17			98	
14	18			6	LG
15	1	8	P		
15	2			88	PU
15	3			90	
15	4			2	
15	5			90	
15	6			2	
15	7			90	
15	8			9	
15	9			88	
15	10			45	
15	11			9	
15	12	18	PU		
15	13	33			
15	14	18			
15	15	24			
15	16	18			
15	17	8			
15	18	11			
15	19			90	PU
15	20			80	L
15	21			45	
15	22			80	G
16	1	61	P		
16	2			89	PU
16	3			91	
16	4			6	
16	5			19	
16	6			91	
16	7			89	
16	8			19	
16	9			91	
16	10			10	LG
17	1	8	P		
17	2			14	PU
17	3			2	
17	4			88	
17	5			2	
17	6			90	
17	7	45	PU		
17	8	8			
17	9			88	D
17	10			88	PU
17	11			2	
17	12			90	
17	13			88	
17	14			8	
17	15			88	
17	16			45	G
18	1	22	P		
18	2			89	PU
18	3			91	
18	4	22	D		
18	5	17	PU		
18	6	22			
18	7	25			
18	8	4			
18	9	22			
18	10	17			
18	11	4			
18	12	1			
18	13	27			
18	14	1			
18	15	27			
18	16	25	G		
19	1	32	P		
19	2			5	PU
19	3			18	
19	4			5	
19	5	32	PU		
19	6	5			
19	7	42			
19	8	5			
19	9	23			
19	10	32			
19	11	42			
19	12	5			
19	13			18	D
