period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	wdcCT	1	1	1	vanNH	wdcCT	61	P
1	1	wdcCT	2	1	1	vanNH	vanNH	19	PU
1	1	wdcCT	3	1	1	vanNH	vanNH	89	
1	1	wdcCT	4	2	2	wdcCT	wdcCT	61	PU
1	1	wdcCT	5	2	2	wdcCT	wdcCT	7	
1	1	wdcCT	6	2	2	wdcCT	wdcCT	5	
1	1	wdcCT	7	2	2	wdcCT	wdcCT	19	
1	1	wdcCT	8	2	2	wdcCT	wdcCT	43	
1	1	wdcCT	9	2	2	wdcCT	wdcCT	19	
1	1	wdcCT	10	2	2	wdcCT	wdcCT	32	
1	1	wdcCT	11	2	2	wdcCT	wdcCT	6	A
1	1	wdcCT	12	2	2	wdcCT	wdcCT	7	G
1	2	wdcCT	1	3	1	vanNH	wdcCT	22	P
1	2	wdcCT	2	3	1	vanNH	vanNH	8	PU
1	2	wdcCT	3	3	1	vanNH	vanNH	91	
1	2	wdcCT	4	3	1	vanNH	vanNH	5	
1	2	wdcCT	5	3	1	vanNH	vanNH	10	
1	2	wdcCT	6	3	1	vanNH	vanNH	98	
1	2	wdcCT	7	3	1	vanNH	vanNH	11	
1	2	wdcCT	8	3	1	vanNH	vanNH	5	VST
1	2	wdcCT	9	4	2	wdcCT	wdcCT	27	PU
1	2	wdcCT	10	4	2	wdcCT	vanNH	89	F
1	2	wdcCT	11	4	2	wdcCT	wdcCT	6	
1	2	wdcCT	12	4	2	wdcCT	wdcCT	27	
1	2	wdcCT	13	4	2	wdcCT	wdcCT	4	
1	2	wdcCT	14	4	2	wdcCT	wdcCT	22	
1	2	wdcCT	15	4	2	wdcCT	wdcCT	4	A
1	2	wdcCT	16	4	2	wdcCT	wdcCT	25	G
1	3	wdcCT	1	5	1	vanNH	wdcCT	32	P
1	3	wdcCT	2	5	1	vanNH	vanNH	19	PU
1	3	wdcCT	3	5	1	vanNH	vanNH	89	
1	3	wdcCT	4	5	1	vanNH	vanNH	10	
1	3	wdcCT	5	5	1	vanNH	vanNH	89	
1	3	wdcCT	6	5	1	vanNH	vanNH	19	
1	3	wdcCT	7	5	1	vanNH	vanNH	10	
1	3	wdcCT	8	5	1	vanNH	wdcCT	23	F
1	3	wdcCT	9	5	1	vanNH	vanNH	89	
1	3	wdcCT	10	5	1	vanNH	vanNH	19	
1	3	wdcCT	11	5	1	vanNH	vanNH	11	
1	3	wdcCT	12	5	1	vanNH	vanNH	8	A
1	3	wdcCT	13	5	1	vanNH	vanNH	10	G
1	4	vanNH	1	6	1	wdcCT	vanNH	8	P
1	4	vanNH	2	6	1	wdcCT	wdcCT	88	PU
1	4	vanNH	3	6	1	wdcCT	wdcCT	2	
1	4	vanNH	4	6	1	wdcCT	wdcCT	90	
1	4	vanNH	5	6	1	wdcCT	wdcCT	88	
1	4	vanNH	6	6	1	wdcCT	wdcCT	8	
1	4	vanNH	7	6	1	wdcCT	wdcCT	9	
1	4	vanNH	8	6	1	wdcCT	wdcCT	45	
1	4	vanNH	9	6	1	wdcCT	wdcCT	8	
1	4	vanNH	10	6	1	wdcCT	wdcCT	88	
1	4	vanNH	11	6	1	wdcCT	wdcCT	2	
1	4	vanNH	12	6	1	wdcCT	wdcCT	9	
1	4	vanNH	13	6	1	wdcCT	wdcCT	2	A
1	4	vanNH	14	6	1	wdcCT	wdcCT	90	G
1	5	wdcCT	1	7	1	vanNH	wdcCT	22	P
1	5	wdcCT	2	7	1	vanNH	vanNH	19	PU
1	5	wdcCT	3	7	1	vanNH	vanNH	5	
1	5	wdcCT	4	7	1	vanNH	vanNH	19	
1	5	wdcCT	5	7	1	vanNH	vanNH	5	
1	5	wdcCT	6	7	1	vanNH	vanNH	98	
1	5	wdcCT	7	7	1	vanNH	vanNH	10	
1	5	wdcCT	8	7	1	vanNH	wdcCT	1	D
1	5	wdcCT	9	8	2	wdcCT	wdcCT	1	PU
1	5	wdcCT	10	8	2	wdcCT	wdcCT	22	
1	5	wdcCT	11	8	2	wdcCT	wdcCT	17	
1	5	wdcCT	12	8	2	wdcCT	wdcCT	22	
1	5	wdcCT	13	8	2	wdcCT	wdcCT	25	
1	5	wdcCT	14	8	2	wdcCT	wdcCT	21	
1	5	wdcCT	15	8	2	wdcCT	wdcCT	27	A
1	5	wdcCT	16	8	2	wdcCT	wdcCT	17	G
1	6	wdcCT	1	9	1	vanNH	wdcCT	61	P
1	6	wdcCT	2	9	1	vanNH	vanNH	19	PU
1	6	wdcCT	3	9	1	vanNH	vanNH	91	
1	6	wdcCT	4	9	1	vanNH	vanNH	62	
1	6	wdcCT	5	9	1	vanNH	vanNH	6	
1	6	wdcCT	6	9	1	vanNH	vanNH	98	
1	6	wdcCT	7	9	1	vanNH	vanNH	10	
1	6	wdcCT	8	9	1	vanNH	vanNH	5	
1	6	wdcCT	9	9	1	vanNH	vanNH	6	
1	6	wdcCT	10	9	1	vanNH	vanNH	10	
1	6	wdcCT	11	9	1	vanNH	vanNH	19	
1	6	wdcCT	12	9	1	vanNH	wdcCT	23	F
1	6	wdcCT	13	10	2	wdcCT	wdcCT	32	PU
1	6	wdcCT	14	10	2	wdcCT	wdcCT	23	
1	6	wdcCT	15	10	2	wdcCT	wdcCT	32	
1	6	wdcCT	16	10	2	wdcCT	wdcCT	61	
1	6	wdcCT	17	10	2	wdcCT	wdcCT	32	
1	6	wdcCT	18	10	2	wdcCT	vanNH	?	F
1	6	wdcCT	19	10	2	wdcCT	wdcCT	5	
1	6	wdcCT	20	10	2	wdcCT	wdcCT	23	A
1	6	wdcCT	21	10	2	wdcCT	wdcCT	61	G
1	7	wdcCT	1	11	1	vanNH	wdcCT	4	P
1	7	wdcCT	2	11	1	vanNH	vanNH	5	PU
1	7	wdcCT	3	11	1	vanNH	vanNH	89	
1	7	wdcCT	4	11	1	vanNH	vanNH	5	
1	7	wdcCT	5	11	1	vanNH	vanNH	89	
1	7	wdcCT	6	11	1	vanNH	vanNH	22	
1	7	wdcCT	7	11	1	vanNH	vanNH	5	
1	7	wdcCT	8	11	1	vanNH	vanNH	89	
1	7	wdcCT	9	11	1	vanNH	wdcCT	1	D
1	7	wdcCT	10	12	2	wdcCT	wdcCT	1	PU
1	7	wdcCT	11	12	2	wdcCT	wdcCT	27	A
1	7	wdcCT	12	12	2	wdcCT	wdcCT	21	G
1	8	wdcCT	1	13	1	vanNH	wdcCT	61	P
1	8	wdcCT	2	13	1	vanNH	vanNH	91	PU
1	8	wdcCT	3	13	1	vanNH	vanNH	18	
1	8	wdcCT	4	13	1	vanNH	vanNH	98	
1	8	wdcCT	5	13	1	vanNH	vanNH	91	
1	8	wdcCT	6	13	1	vanNH	vanNH	19	
1	8	wdcCT	7	13	1	vanNH	vanNH	91	
1	8	wdcCT	8	13	1	vanNH	vanNH	6	LA
1	8	wdcCT	9	13	1	vanNH	vanNH	98	G
1	9	vanNH	1	14	1	wdcCT	vanNH	8	P
1	9	vanNH	2	14	1	wdcCT	wdcCT	14	PU
1	9	vanNH	3	14	1	wdcCT	wdcCT	88	
1	9	vanNH	4	14	1	wdcCT	wdcCT	2	
1	9	vanNH	5	14	1	wdcCT	wdcCT	88	
1	9	vanNH	6	14	1	wdcCT	wdcCT	90	A
1	9	vanNH	7	14	1	wdcCT	wdcCT	8	LG
1	10	wdcCT	1	15	1	vanNH	wdcCT	22	P
1	10	wdcCT	2	15	1	vanNH	vanNH	19	PU
1	10	wdcCT	3	15	1	vanNH	vanNH	89	
1	10	wdcCT	4	15	1	vanNH	vanNH	10	
1	10	wdcCT	5	15	1	vanNH	vanNH	91	
1	10	wdcCT	6	15	1	vanNH	wdcCT	4	D
1	10	wdcCT	7	16	2	wdcCT	wdcCT	4	PU
1	10	wdcCT	8	16	2	wdcCT	wdcCT	31	
1	10	wdcCT	9	16	2	wdcCT	wdcCT	4	
1	10	wdcCT	10	16	2	wdcCT	wdcCT	6	
1	10	wdcCT	11	16	2	wdcCT	wdcCT	1	A
1	10	wdcCT	12	16	2	wdcCT	wdcCT	31	LG
1	11	wdcCT	1	17	1	vanNH	wdcCT	5	P
1	11	wdcCT	2	17	1	vanNH	vanNH	33	PU
2	12	vanNH	1	18	1	wdcCT	vanNH	8	P
2	12	vanNH	2	18	1	wdcCT	wdcCT	14	PU
2	12	vanNH	3	18	1	wdcCT	wdcCT	88	
2	12	vanNH	4	18	1	wdcCT	wdcCT	2	A
2	12	vanNH	5	18	1	wdcCT	wdcCT	45	LG
2	13	wdcCT	1	19	1	vanNH	wdcCT	32	P
2	13	wdcCT	2	19	1	vanNH	vanNH	91	PU
2	13	wdcCT	3	19	1	vanNH	vanNH	89	
2	13	wdcCT	4	19	1	vanNH	vanNH	91	
2	13	wdcCT	5	19	1	vanNH	vanNH	6	
2	13	wdcCT	6	19	1	vanNH	vanNH	10	
2	13	wdcCT	7	19	1	vanNH	vanNH	98	
2	13	wdcCT	8	19	1	vanNH	vanNH	6	
2	13	wdcCT	9	19	1	vanNH	vanNH	89	
2	13	wdcCT	10	19	1	vanNH	vanNH	91	
2	13	wdcCT	11	19	1	vanNH	vanNH	10	TD
2	13	wdcCT	12	20	2	wdcCT	wdcCT	21	PU
2	13	wdcCT	13	20	2	wdcCT	wdcCT	5	
2	13	wdcCT	14	20	2	wdcCT	vanNH	91	D
2	13	wdcCT	15	21	3	vanNH	vanNH	19	
2	13	wdcCT	16	21	3	vanNH	wdcCT	23	F
2	13	wdcCT	17	21	3	vanNH	vanNH	89	
2	13	wdcCT	18	21	3	vanNH	vanNH	19	
2	13	wdcCT	19	21	3	vanNH	vanNH	10	
2	13	wdcCT	20	21	3	vanNH	vanNH	?	PU
2	13	wdcCT	21	22	4	wdcCT	wdcCT		TO
2	13	wdcCT	22	22	4	wdcCT	wdcCT	2	PU
2	13	wdcCT	23	22	4	wdcCT	vanNH	11	D
2	13	wdcCT	24	23	5	vanNH	vanNH	4	
2	13	wdcCT	25	23	5	vanNH	vanNH	14	
2	13	wdcCT	26	23	5	vanNH	vanNH	45	TD
2	13	wdcCT	27	24	6	wdcCT	wdcCT	2	PUA
2	13	wdcCT	28	24	6	wdcCT	wdcCT	14	G
2	14	wdcCT	1	25	1	vanNH	wdcCT	22	P
2	14	wdcCT	2	25	1	vanNH	vanNH	89	PU
2	14	wdcCT	3	25	1	vanNH	vanNH	19	
2	14	wdcCT	4	25	1	vanNH	vanNH	10	
2	14	wdcCT	5	25	1	vanNH	vanNH	6	
2	14	wdcCT	6	25	1	vanNH	vanNH	91	
2	14	wdcCT	7	25	1	vanNH	vanNH	89	
2	14	wdcCT	8	25	1	vanNH	vanNH	91	
2	14	wdcCT	9	25	1	vanNH	wdcCT	17	D
2	14	wdcCT	10	26	2	wdcCT	wdcCT	27	PU
2	14	wdcCT	11	26	2	wdcCT	wdcCT	6	
2	14	wdcCT	12	26	2	wdcCT	wdcCT	25	
2	14	wdcCT	13	26	2	wdcCT	wdcCT	27	
2	14	wdcCT	14	26	2	wdcCT	wdcCT	22	TD
2	14	wdcCT	15	27	3	vanNH	vanNH	19	PU
2	14	wdcCT	16	27	3	vanNH	vanNH	72	
2	14	wdcCT	17	27	3	vanNH	vanNH	98	A
2	14	wdcCT	18	27	3	vanNH	vanNH	6	LG
2	15	vanNH	1	28	1	wdcCT	vanNH	8	P
2	15	vanNH	2	28	1	wdcCT	wdcCT	88	PU
2	15	vanNH	3	28	1	wdcCT	wdcCT	90	
2	15	vanNH	4	28	1	wdcCT	wdcCT	2	
2	15	vanNH	5	28	1	wdcCT	wdcCT	90	
2	15	vanNH	6	28	1	wdcCT	wdcCT	2	
2	15	vanNH	7	28	1	wdcCT	wdcCT	90	
2	15	vanNH	8	28	1	wdcCT	wdcCT	9	
2	15	vanNH	9	28	1	wdcCT	wdcCT	88	
2	15	vanNH	10	28	1	wdcCT	wdcCT	45	
2	15	vanNH	11	28	1	wdcCT	wdcCT	9	
2	15	vanNH	12	29	2	vanNH	vanNH	18	PU
2	15	vanNH	13	29	2	vanNH	vanNH	33	
2	15	vanNH	14	29	2	vanNH	vanNH	18	
2	15	vanNH	15	29	2	vanNH	vanNH	24	
2	15	vanNH	16	29	2	vanNH	vanNH	18	
2	15	vanNH	17	29	2	vanNH	vanNH	8	
2	15	vanNH	18	29	2	vanNH	vanNH	11	
2	15	vanNH	19	30	3	wdcCT	wdcCT	90	PU
2	15	vanNH	20	30	3	wdcCT	wdcCT	80	L
2	15	vanNH	21	30	3	wdcCT	wdcCT	45	A
2	15	vanNH	22	30	3	wdcCT	wdcCT	80	G
2	16	wdcCT	1	31	1	vanNH	wdcCT	61	P
2	16	wdcCT	2	31	1	vanNH	vanNH	89	PU
2	16	wdcCT	3	31	1	vanNH	vanNH	91	
2	16	wdcCT	4	31	1	vanNH	vanNH	6	
2	16	wdcCT	5	31	1	vanNH	vanNH	19	
2	16	wdcCT	6	31	1	vanNH	vanNH	91	
2	16	wdcCT	7	31	1	vanNH	vanNH	89	
2	16	wdcCT	8	31	1	vanNH	vanNH	19	
2	16	wdcCT	9	31	1	vanNH	vanNH	91	A
2	16	wdcCT	10	31	1	vanNH	vanNH	10	LG
2	17	vanNH	1	32	1	wdcCT	vanNH	8	P
2	17	vanNH	2	32	1	wdcCT	wdcCT	14	PU
2	17	vanNH	3	32	1	wdcCT	wdcCT	2	
2	17	vanNH	4	32	1	wdcCT	wdcCT	88	
2	17	vanNH	5	32	1	wdcCT	wdcCT	2	
2	17	vanNH	6	32	1	wdcCT	wdcCT	90	
2	17	vanNH	7	33	2	vanNH	vanNH	45	PU
2	17	vanNH	8	33	2	vanNH	vanNH	8	
2	17	vanNH	9	33	2	vanNH	wdcCT	88	D
2	17	vanNH	10	34	3	wdcCT	wdcCT	88	PU
2	17	vanNH	11	34	3	wdcCT	wdcCT	2	
2	17	vanNH	12	34	3	wdcCT	wdcCT	90	
2	17	vanNH	13	34	3	wdcCT	wdcCT	88	
2	17	vanNH	14	34	3	wdcCT	wdcCT	8	
2	17	vanNH	15	34	3	wdcCT	wdcCT	88	A
2	17	vanNH	16	34	3	wdcCT	wdcCT	45	G
2	18	wdcCT	1	35	1	vanNH	wdcCT	22	P
2	18	wdcCT	2	35	1	vanNH	vanNH	89	PU
2	18	wdcCT	3	35	1	vanNH	vanNH	91	
2	18	wdcCT	4	35	1	vanNH	wdcCT	22	D
2	18	wdcCT	5	36	2	wdcCT	wdcCT	17	PU
2	18	wdcCT	6	36	2	wdcCT	wdcCT	22	
2	18	wdcCT	7	36	2	wdcCT	wdcCT	25	
2	18	wdcCT	8	36	2	wdcCT	wdcCT	4	
2	18	wdcCT	9	36	2	wdcCT	wdcCT	22	
2	18	wdcCT	10	36	2	wdcCT	wdcCT	17	
2	18	wdcCT	11	36	2	wdcCT	wdcCT	4	
2	18	wdcCT	12	36	2	wdcCT	wdcCT	1	
2	18	wdcCT	13	36	2	wdcCT	wdcCT	27	
2	18	wdcCT	14	36	2	wdcCT	wdcCT	1	
2	18	wdcCT	15	36	2	wdcCT	wdcCT	27	A
2	18	wdcCT	16	36	2	wdcCT	wdcCT	25	G
2	19	wdcCT	1	37	1	vanNH	wdcCT	32	P
2	19	wdcCT	2	37	1	vanNH	vanNH	5	PU
2	19	wdcCT	3	37	1	vanNH	vanNH	18	
2	19	wdcCT	4	37	1	vanNH	vanNH	5	
2	19	wdcCT	5	38	2	wdcCT	wdcCT	32	PU
2	19	wdcCT	6	38	2	wdcCT	wdcCT	5	
2	19	wdcCT	7	38	2	wdcCT	wdcCT	42	
2	19	wdcCT	8	38	2	wdcCT	wdcCT	5	
2	19	wdcCT	9	38	2	wdcCT	wdcCT	23	
2	19	wdcCT	10	38	2	wdcCT	wdcCT	32	
2	19	wdcCT	11	38	2	wdcCT	wdcCT	42	
2	19	wdcCT	12	38	2	wdcCT	wdcCT	5	
2	19	wdcCT	13	38	2	wdcCT	vanNH	18	D
