point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	vanNH	wdcCT	pt_dur	pt_dur_txt
1	1	10:00:00	9:07:00	wdcCT	2	wdcCT	break	0	1	53	00:53
2	1	9:07:00	7:50:00	wdcCT	2	wdcCT	break	0	2	77	01:17
3	1	7:50:00	6:41:00	wdcCT	1	vanNH	hold	1	2	69	01:09
4	1	6:41:00	5:42:00	vanNH	1	wdcCT	hold	1	3	59	00:59
5	1	5:42:00	4:34:00	wdcCT	2	wdcCT	break	1	4	68	01:08
6	1	4:34:00	2:26:00	wdcCT	2	wdcCT	break	1	5	128	02:08
7	1	2:26:00	1:47:00	wdcCT	2	wdcCT	break	1	6	39	00:39
8	1	1:47:00	1:13:00	wdcCT	1	vanNH	hold	2	6	34	00:34
9	1	1:13:00	0:51:00	vanNH	1	wdcCT	hold	2	7	22	00:22
10	1	0:51:00	0:05:00	wdcCT	2	wdcCT	break	2	8	46	00:46
11	1	0:05:00	0:00:00	wdcCT	NA	NA	NA	2	8	5	00:05
12	2	10:00:00	9:47:00	vanNH	1	wdcCT	hold	2	9	13	00:13
13	2	9:47:00	7:28:00	wdcCT	6	wdcCT	break	2	10	139	02:19
14	2	7:28:00	6:06:00	wdcCT	3	vanNH	hold	3	10	82	01:22
15	2	6:06:00	4:05:00	vanNH	3	wdcCT	hold	3	11	121	02:01
16	2	4:05:00	3:36:00	wdcCT	1	vanNH	hold	4	11	29	00:29
17	2	3:36:00	1:55:00	vanNH	3	wdcCT	hold	4	12	101	01:41
18	2	1:55:00	0:58:00	wdcCT	2	wdcCT	break	4	13	57	00:57
19	2	0:58:00	0:00:00	wdcCT	NA	NA	NA	4	13	58	00:58
20	3	10:00:00	9:18:00	wdcCT	1	vanNH	hold	5	13	42	00:42
21	3	9:18:00	9:01:00	vanNH	1	wdcCT	hold	5	14	17	00:17
22	3	9:01:00	7:58:00	wdcCT	3	vanNH	hold	6	14	63	01:03
23	3	7:58:00	7:40:00	vanNH	1	wdcCT	hold	6	15	18	00:18
24	3	7:40:00	6:59:00	wdcCT	1	vanNH	hold	7	15	41	00:41
25	3	6:59:00	5:42:00	vanNH	2	vanNH	break	8	15	77	01:17
26	3	5:42:00	4:12:00	vanNH	2	vanNH	break	9	15	90	01:30
27	3	4:12:00	3:00:00	vanNH	4	vanNH	break	10	15	72	01:12
28	3	3:00:00	2:12:00	vanNH	3	wdcCT	hold	10	16	48	00:48
29	3	2:12:00	1:25:00	wdcCT	3	vanNH	hold	11	16	47	00:47
30	3	1:25:00	0:45:00	vanNH	2	vanNH	break	12	16	40	00:40
31	3	0:45:00	0:05:00	vanNH	1	wdcCT	hold	12	17	40	00:40
32	3	0:05:00	0:00:00	wdcCT	1	vanNH	hold	13	17	5	00:05
33	4	10:00:00	7:13:00	vanNH	5	wdcCT	hold	13	18	167	02:47
34	4	7:13:00	6:09:00	wdcCT	2	wdcCT	break	13	19	64	01:04
35	4	6:09:00	5:12:00	wdcCT	3	vanNH	hold	14	19	57	00:57
36	4	5:12:00	4:44:00	vanNH	2	vanNH	break	15	19	28	00:28
37	4	4:44:00	4:06:00	vanNH	1	wdcCT	hold	15	20	38	00:38
38	4	4:06:00	3:46:00	wdcCT	1	vanNH	hold	16	20	20	00:20
39	4	3:46:00	1:43:00	vanNH	3	wdcCT	hold	16	21	123	02:03
40	4	1:43:00	1:25:00	wdcCT	1	vanNH	hold	17	21	18	00:18
41	4	1:25:00	1:06:00	vanNH	1	wdcCT	hold	17	22	19	00:19
42	4	1:06:00	0:07:00	wdcCT	2	wdcCT	break	17	23	59	00:59
43	4	0:06:00	0:00:00	wdcCT	NA	NA	NA	17	23	6	00:06
