poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	vanNH-19		O-CTH	vanNH-89	TRUE	compl
1	1	1	3	3	an	-1	O-CTH	vanNH-89		NA	vanNH-89	TRUE	taway
2	2	1	4	5	ao	0	O-PU	wdcCT-61		O-CTH	wdcCT-7	TRUE	compl
2	2	1	5	6	ao	0	O-CTH	wdcCT-7		O-CTH	wdcCT-5	TRUE	compl
2	2	1	6	7	ao	0	O-CTH	wdcCT-5		O-CTH	wdcCT-19	TRUE	compl
2	2	1	7	8	ao	0	O-CTH	wdcCT-19		O-CTH	wdcCT-43	TRUE	compl
2	2	1	8	9	ao	0	O-CTH	wdcCT-43		O-CTH	wdcCT-19	TRUE	compl
2	2	1	9	10	ao	0	O-CTH	wdcCT-19		O-CTH	wdcCT-32	TRUE	compl
2	2	1	10	11	ao	0	O-CTH	wdcCT-32		O-CTH	wdcCT-6	TRUE	compl
2	2	1	11	12	ao	0	O-CTH	wdcCT-6		O-G	wdcCT-7	TRUE	compl
3	1	2	2	3	ao	0	O-PU	vanNH-8		O-CTH	vanNH-91	TRUE	compl
3	1	2	3	4	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-5	TRUE	compl
3	1	2	4	5	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-10	TRUE	compl
3	1	2	5	6	ao	0	O-CTH	vanNH-10		O-CTH	vanNH-98	TRUE	compl
3	1	2	6	7	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-11	TRUE	compl
3	1	2	7	8	ao	0	O-CTH	vanNH-11		O-OV	vanNH-5	TRUE	compl
4	2	2	9	11	ao	1	O-PU	wdcCT-27	D-F	O-CTH	wdcCT-6	TRUE	compl
4	2	2	11	12	ao	0	O-CTH	wdcCT-6		O-CTH	wdcCT-27	TRUE	compl
4	2	2	12	13	ao	0	O-CTH	wdcCT-27		O-CTH	wdcCT-4	TRUE	compl
4	2	2	13	14	ao	0	O-CTH	wdcCT-4		O-CTH	wdcCT-22	TRUE	compl
4	2	2	14	15	ao	0	O-CTH	wdcCT-22		O-CTH	wdcCT-4	TRUE	compl
4	2	2	15	16	ao	0	O-CTH	wdcCT-4		O-G	wdcCT-25	TRUE	compl
5	1	3	2	3	ao	0	O-PU	vanNH-19		O-CTH	vanNH-89	TRUE	compl
5	1	3	3	4	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-10	TRUE	compl
5	1	3	4	5	ao	0	O-CTH	vanNH-10		O-CTH	vanNH-89	TRUE	compl
5	1	3	5	6	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-19	TRUE	compl
5	1	3	6	7	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-10	TRUE	compl
5	1	3	7	9	ao	1	O-CTH	vanNH-10	D-F	O-CTH	vanNH-89	TRUE	compl
5	1	3	9	10	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-19	TRUE	compl
5	1	3	10	11	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-11	TRUE	compl
5	1	3	11	12	ao	0	O-CTH	vanNH-11		O-CTH	vanNH-8	TRUE	compl
5	1	3	12	13	ao	0	O-CTH	vanNH-8		O-G	vanNH-10	TRUE	compl
6	1	4	2	3	ao	0	O-PU	wdcCT-88		O-CTH	wdcCT-2	TRUE	compl
6	1	4	3	4	ao	0	O-CTH	wdcCT-2		O-CTH	wdcCT-90	TRUE	compl
6	1	4	4	5	ao	0	O-CTH	wdcCT-90		O-CTH	wdcCT-88	TRUE	compl
6	1	4	5	6	ao	0	O-CTH	wdcCT-88		O-CTH	wdcCT-8	TRUE	compl
6	1	4	6	7	ao	0	O-CTH	wdcCT-8		O-CTH	wdcCT-9	TRUE	compl
6	1	4	7	8	ao	0	O-CTH	wdcCT-9		O-CTH	wdcCT-45	TRUE	compl
6	1	4	8	9	ao	0	O-CTH	wdcCT-45		O-CTH	wdcCT-8	TRUE	compl
6	1	4	9	10	ao	0	O-CTH	wdcCT-8		O-CTH	wdcCT-88	TRUE	compl
6	1	4	10	11	ao	0	O-CTH	wdcCT-88		O-CTH	wdcCT-2	TRUE	compl
6	1	4	11	12	ao	0	O-CTH	wdcCT-2		O-CTH	wdcCT-9	TRUE	compl
6	1	4	12	13	ao	0	O-CTH	wdcCT-9		O-CTH	wdcCT-2	TRUE	compl
6	1	4	13	14	ao	0	O-CTH	wdcCT-2		O-G	wdcCT-90	TRUE	compl
