game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-07-19_vanNH-at-wdcCT	vanNH-11	greer	6	0.81	1	5	16	13	17	1	1	vanNH	11
2014-07-19_vanNH-at-wdcCT	vanNH-19	knapp	4	0.93	3	1	29	27	21	1	0	vanNH	19
2014-07-19_vanNH-at-wdcCT	vanNH-10	chatha	3	0.93	3	0	14	13	18	0	0	vanNH	10
2014-07-19_vanNH-at-wdcCT	vanNH-89	underhill	3	0.84	3	0	25	21	21	0	1	vanNH	89
2014-07-19_vanNH-at-wdcCT	vanNH-6	gailits	3	1	2	1	10	10	12	1	0	vanNH	6
2014-07-19_vanNH-at-wdcCT	vanNH-98	wong	3	1	1	2	11	11	12	0	0	vanNH	98
2014-07-19_vanNH-at-wdcCT	vanNH-91	savage	3	0.78	0	3	23	18	16	1	1	vanNH	91
2014-07-19_vanNH-at-wdcCT	vanNH-13	tessarolo	2	1	1	1	3	3	4	1	0	vanNH	13
2014-07-19_vanNH-at-wdcCT	vanNH-4	doyle	1	0.8	1	0	5	4	2	2	0	vanNH	4
2014-07-19_vanNH-at-wdcCT	vanNH-37	sinclair	1	1	1	0	3	3	3	0	0	vanNH	37
2014-07-19_vanNH-at-wdcCT	vanNH-81	tejpar	1	1	1	0	2	2	2	0	0	vanNH	81
2014-07-19_vanNH-at-wdcCT	vanNH-8	hibbert	1	0.7	0	1	10	7	9	2	1	vanNH	8
2014-07-19_vanNH-at-wdcCT	vanNH-18	menzies	1	1	0	1	9	9	6	1	0	vanNH	18
2014-07-19_vanNH-at-wdcCT	vanNH-45	cowan	1	0.9	0	1	10	9	8	1	0	vanNH	45
2014-07-19_vanNH-at-wdcCT	vanNH-27	davis	1	1	0	1	4	4	4	0	0	vanNH	27
2014-07-19_vanNH-at-wdcCT	vanNH-?	?name?	0	0	0	0	1	0	0	0	0	vanNH	?
2014-07-19_vanNH-at-wdcCT	vanNH-14	eyrich	0	0	0	0	1	0	1	0	1	vanNH	14
2014-07-19_vanNH-at-wdcCT	vanNH-21	loach	0	1	0	0	1	1	0	0	0	vanNH	21
2014-07-19_vanNH-at-wdcCT	vanNH-22	berezan	0	1	0	0	2	2	2	0	0	vanNH	22
2014-07-19_vanNH-at-wdcCT	vanNH-24	yu	0	1	0	0	9	9	9	0	0	vanNH	24
