game	poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
2014-04-12_nykRM-at-bosWC	1	1	1	2	3	ao	0	O-PU	bosWC-13		O-CTH	bosWC-00	TRUE	compl
2014-04-12_nykRM-at-bosWC	1	1	1	3	4	ao	0	O-CTH	bosWC-00		O-CTH	bosWC-1	TRUE	compl
2014-04-12_nykRM-at-bosWC	1	1	1	4	5	ao	0	O-CTH	bosWC-1		O-CTH	bosWC-77	TRUE	compl
2014-04-12_nykRM-at-bosWC	1	1	1	5	6	ao	0	O-CTH	bosWC-77		O-CTH	bosWC-21	TRUE	compl
2014-04-12_nykRM-at-bosWC	1	1	1	6	7	ao	0	O-CTH	bosWC-21		O-CTH	bosWC-00	TRUE	compl
2014-04-12_nykRM-at-bosWC	1	1	1	7	8	ao	0	O-CTH	bosWC-00		O-CTH	bosWC-13	TRUE	compl
2014-04-12_nykRM-at-bosWC	1	1	1	8	9	ao	0	O-CTH	bosWC-13		O-CTH	bosWC-7	TRUE	compl
2014-04-12_nykRM-at-bosWC	1	1	1	9	10	ao	0	O-CTH	bosWC-7		O-CTH	bosWC-1	TRUE	compl
2014-04-12_nykRM-at-bosWC	1	1	1	10	11	ao	0	O-CTH	bosWC-1		O-CTH	bosWC-00	TRUE	compl
2014-04-12_nykRM-at-bosWC	1	1	1	11	12	ao	0	O-CTH	bosWC-00		O-CTH	bosWC-1	TRUE	compl
2014-04-12_nykRM-at-bosWC	1	1	1	12	13	ao	0	O-CTH	bosWC-1		O-CTH	bosWC-21	TRUE	compl
2014-04-12_nykRM-at-bosWC	1	1	1	13	15	ao	1	O-CTH	bosWC-21	D-F	O-CTH	bosWC-00	TRUE	compl
2014-04-12_nykRM-at-bosWC	1	1	1	15	16	ao	0	O-CTH	bosWC-00		O-CTH	bosWC-21	TRUE	compl
2014-04-12_nykRM-at-bosWC	1	1	1	16	17	ao	0	O-CTH	bosWC-21		O-G	bosWC-77	TRUE	compl
2014-04-12_nykRM-at-bosWC	2	1	2	2	3	ao	0	O-PU	nykRM-19		O-CTH	nykRM-6	TRUE	compl
2014-04-12_nykRM-at-bosWC	2	1	2	3	4	ao	0	O-CTH	nykRM-6		D-D	bosWC-27	TRUE	defd
2014-04-12_nykRM-at-bosWC	3	2	2	5	6	ao	0	O-CTH	bosWC-27		O-CTH	bosWC-10	TRUE	compl
2014-04-12_nykRM-at-bosWC	3	2	2	6	7	ao	0	O-CTH	bosWC-10		O-CTH	bosWC-00	TRUE	compl
2014-04-12_nykRM-at-bosWC	3	2	2	7	8	ao	0	O-CTH	bosWC-00		O-TD	bosWC-12	TRUE	drop
2014-04-12_nykRM-at-bosWC	4	3	2	9	10	ao	0	O-PU	nykRM-10		O-CTH	nykRM-19	TRUE	compl
2014-04-12_nykRM-at-bosWC	4	3	2	10	11	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-41	TRUE	compl
2014-04-12_nykRM-at-bosWC	4	3	2	11	12	ao	0	O-CTH	nykRM-41		O-CTH	nykRM-19	TRUE	compl
2014-04-12_nykRM-at-bosWC	4	3	2	12	13	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-44	TRUE	compl
2014-04-12_nykRM-at-bosWC	4	3	2	13	14	ao	0	O-CTH	nykRM-44		O-CTH	nykRM-41	TRUE	compl
2014-04-12_nykRM-at-bosWC	4	3	2	14	15	ao	0	O-CTH	nykRM-41		O-CTH	nykRM-4	TRUE	compl
2014-04-12_nykRM-at-bosWC	4	3	2	15	16	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-14	TRUE	compl
2014-04-12_nykRM-at-bosWC	4	3	2	16	17	ao	0	O-CTH	nykRM-14		O-TD	nykRM-44	TRUE	drop
2014-04-12_nykRM-at-bosWC	5	4	2	18	19	ao	0	O-PU	bosWC-43		D-D	nykRM-44	TRUE	defd
2014-04-12_nykRM-at-bosWC	6	5	2	20	21	ao	0	O-PU	nykRM-19		O-G	nykRM-44	TRUE	compl
2014-04-12_nykRM-at-bosWC	7	1	3	2	3	ao	0	O-PU	bosWC-00		O-CTH	bosWC-21	TRUE	compl
2014-04-12_nykRM-at-bosWC	7	1	3	3	4	ao	0	O-CTH	bosWC-21		O-CTH	bosWC-77	TRUE	compl
2014-04-12_nykRM-at-bosWC	7	1	3	4	5	ao	0	O-CTH	bosWC-77		D-D	nykRM-13	TRUE	defd
2014-04-12_nykRM-at-bosWC	8	2	3	6	7	ao	0	O-PU	nykRM-5		O-CTH	nykRM-82	TRUE	compl
2014-04-12_nykRM-at-bosWC	8	2	3	7	8	ao	0	O-CTH	nykRM-82		D-D	bosWC-77	TRUE	defd
2014-04-12_nykRM-at-bosWC	9	3	3	9	10	ao	0	O-CTH	bosWC-77		O-CTH	bosWC-1	TRUE	compl
2014-04-12_nykRM-at-bosWC	9	3	3	10	11	ao	0	O-CTH	bosWC-1		O-CTH	bosWC-3	TRUE	compl
2014-04-12_nykRM-at-bosWC	9	3	3	11	12	ao	0	O-CTH	bosWC-3		O-CTH	bosWC-13	TRUE	compl
2014-04-12_nykRM-at-bosWC	9	3	3	12	13	ao	0	O-CTH	bosWC-13		O-CTH	bosWC-21	TRUE	compl
2014-04-12_nykRM-at-bosWC	9	3	3	13	14	ao	0	O-CTH	bosWC-21		O-G	bosWC-1	TRUE	compl
2014-04-12_nykRM-at-bosWC	10	1	4	2	3	ao	0	O-PU	nykRM-18		O-CTH	nykRM-6	TRUE	compl
2014-04-12_nykRM-at-bosWC	10	1	4	3	3	an	-1	O-CTH	nykRM-6		NA	nykRM-6	TRUE	taway
2014-04-12_nykRM-at-bosWC	11	2	4	4	5	ao	0	O-PU	bosWC-14		O-CTH	bosWC-18	TRUE	compl
2014-04-12_nykRM-at-bosWC	11	2	4	5	6	ao	0	O-CTH	bosWC-18		O-CTH	bosWC-8	TRUE	compl
2014-04-12_nykRM-at-bosWC	11	2	4	6	6	an	-1	O-CTH	bosWC-8		NA	bosWC-8	TRUE	taway
2014-04-12_nykRM-at-bosWC	12	3	4	7	8	ao	0	O-PU	nykRM-6		O-CTH	nykRM-4	TRUE	compl
2014-04-12_nykRM-at-bosWC	12	3	4	8	9	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-26	TRUE	compl
