game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-04-12_nykRM-at-bosWC	bosWC-21	graham	7	0.94	3	4	17	16	20	0	0	bosWC	21
2014-04-12_nykRM-at-bosWC	bosWC-1	markette	5	1	2	3	18	18	19	0	0	bosWC	1
2014-04-12_nykRM-at-bosWC	bosWC-17	foster	4	1	1	3	8	8	9	0	0	bosWC	17
2014-04-12_nykRM-at-bosWC	bosWC-77	clark	3	0.71	3	0	7	5	9	2	0	bosWC	77
2014-04-12_nykRM-at-bosWC	bosWC-13	malacek	3	0.92	0	3	25	23	19	0	0	bosWC	13
2014-04-12_nykRM-at-bosWC	bosWC-5	doherty	2	1	2	0	2	2	3	1	0	bosWC	5
2014-04-12_nykRM-at-bosWC	bosWC-35	macnaughton	2	1	2	0	1	1	3	0	0	bosWC	35
2014-04-12_nykRM-at-bosWC	bosWC-11	foster	2	0.83	1	1	6	5	7	1	0	bosWC	11
2014-04-12_nykRM-at-bosWC	bosWC-12	simmons	2	1	1	1	18	18	11	1	0	bosWC	12
2014-04-12_nykRM-at-bosWC	bosWC-18	browar-jarus	2	0.86	0	2	7	6	6	2	0	bosWC	18
2014-04-12_nykRM-at-bosWC	bosWC-29	stevens	2	1	0	2	5	5	5	0	0	bosWC	29
2014-04-12_nykRM-at-bosWC	bosWC-64	farnsworth	1	0.75	1	0	4	3	5	2	1	bosWC	64
2014-04-12_nykRM-at-bosWC	bosWC-7	brecher	1	0.87	1	0	15	13	11	1	1	bosWC	7
2014-04-12_nykRM-at-bosWC	bosWC-10	ingold-smith	1	0.92	1	0	12	11	9	0	0	bosWC	10
2014-04-12_nykRM-at-bosWC	bosWC-25	mcdonnell	1	1	1	0	1	1	3	0	0	bosWC	25
2014-04-12_nykRM-at-bosWC	bosWC-3	zid	1	1	1	0	3	3	4	0	0	bosWC	3
2014-04-12_nykRM-at-bosWC	bosWC-43	hirschberger	1	0.43	1	0	7	3	7	0	0	bosWC	43
2014-04-12_nykRM-at-bosWC	bosWC-9	nixon	1	1	1	0	5	5	6	0	0	bosWC	9
2014-04-12_nykRM-at-bosWC	bosWC-27	hatchett	1	0.75	0	1	8	6	8	1	0	bosWC	27
2014-04-12_nykRM-at-bosWC	bosWC-00	taylor	1	0.91	0	1	22	20	13	0	1	bosWC	0
2014-04-12_nykRM-at-bosWC	bosWC-8	cooper	1	0.67	0	1	6	4	5	0	0	bosWC	8
2014-04-12_nykRM-at-bosWC	bosWC-37	?name?	0	1	0	0	1	1	1	1	0	bosWC	37
