last	player	games	points	goals	assists	throws	completions	comp_pct	def	catches	drop	team	number
graham	bosWC-21	10	49	28	21	221	215	0.97	4	238	2	bosWC	21
malacek	bosWC-13	11	49	20	29	365	328	0.9	1	284	9	bosWC	13
markette	bosWC-1	11	46	14	32	216	197	0.91	5	208	4	bosWC	1
foster	bosWC-17	10	31	20	11	85	79	0.93	5	102	2	bosWC	17
clark	bosWC-77	8	31	19	12	105	95	0.9	3	122	1	bosWC	77
brecher	bosWC-7	8	24	6	18	181	171	0.94	2	144	2	bosWC	7
nixon	bosWC-9	6	19	17	2	34	32	0.94	0	52	1	bosWC	9
hatchett	bosWC-27	11	19	11	8	54	48	0.89	18	63	1	bosWC	27
stevens	bosWC-29	10	18	6	12	53	48	0.91	5	60	0	bosWC	29
rebholz	bosWC-4	7	17	4	13	200	185	0.92	2	168	3	bosWC	4
cooper	bosWC-8	10	15	4	11	107	95	0.89	3	84	1	bosWC	8
foster	bosWC-11	9	14	8	6	57	48	0.84	7	63	2	bosWC	11
zid	bosWC-3	11	13	10	3	65	60	0.92	1	74	0	bosWC	3
simmons	bosWC-12	10	12	2	10	112	105	0.94	6	76	0	bosWC	12
hirschberger	bosWC-43	10	11	10	1	37	28	0.76	5	42	0	bosWC	43
farnsworth	bosWC-64	10	11	9	2	41	38	0.93	7	49	1	bosWC	64
taylor	bosWC-00	9	10	2	8	169	159	0.94	4	110	4	bosWC	0
browar-jarus	bosWC-18	8	9	3	6	47	37	0.79	3	45	2	bosWC	18
doherty	bosWC-5	9	8	7	1	31	28	0.9	5	36	0	bosWC	5
roth	bosWC-6	9	5	4	1	22	18	0.82	4	25	1	bosWC	6
mcdonnell	bosWC-25	9	5	4	1	19	17	0.89	3	23	0	bosWC	25
ingold-smith	bosWC-10	8	5	2	3	106	96	0.91	1	86	2	bosWC	10
montgomery-butler	bosWC-14	9	4	0	4	74	71	0.96	4	36	0	bosWC	14
macnaughton	bosWC-35	2	3	3	0	11	9	0.82	0	14	0	bosWC	35
?name?	bosWC-44	1	2	1	1	9	9	1	0	7	0	bosWC	44
trahey	bosWC-28	5	1	1	0	18	16	0.89	2	18	0	bosWC	28
?name?	bosWC-37	3	1	1	0	7	6	0.86	2	7	0	bosWC	37
meyers	bosWC-88	5	1	1	0	25	23	0.92	1	23	0	bosWC	88
reinhardt	bosWC-2	4	0	0	0	5	5	1	1	5	0	bosWC	2
smart	bosWC-93	2	0	0	0	0	0	NA	0	2	0	bosWC	93
?name?	bosWC-	5	0	0	0	0	0	NA	0	0	0	bosWC	bosWC
mazur	nykRM-6	9	34	14	20	306	271	0.89	7	239	4	nykRM	6
saul	nykRM-19	10	28	5	23	316	278	0.88	5	254	8	nykRM	19
vuckovich	nykRM-14	9	26	15	11	165	146	0.88	5	179	2	nykRM	14
faust	nykRM-41	7	24	14	10	110	99	0.9	5	119	0	nykRM	41
hennessy	nykRM-4	9	22	10	12	268	253	0.94	4	194	6	nykRM	4
gillies	nykRM-44	8	21	18	3	47	43	0.91	3	62	0	nykRM	44
marsh	nykRM-22	5	19	9	10	90	76	0.84	2	97	2	nykRM	22
yz	nykRM-18	9	18	11	7	61	53	0.87	0	69	0	nykRM	18
kuzmowycz	nykRM-1	8	14	9	5	54	48	0.89	4	61	1	nykRM	1
murphy	nykRM-47	10	12	4	8	163	151	0.93	1	122	2	nykRM	47
anderson	nykRM-21	9	11	5	6	52	41	0.79	8	53	3	nykRM	21
herman	nykRM-33	8	10	6	4	40	36	0.9	0	47	1	nykRM	33
heljmen	nykRM-2	5	10	4	6	67	57	0.85	0	69	3	nykRM	2
cox	nykRM-3	5	8	7	1	15	11	0.73	3	22	0	nykRM	3
hunziker	nykRM-13	6	8	6	2	26	18	0.69	9	30	1	nykRM	13
banerji	nykRM-38	5	7	1	6	69	57	0.83	2	65	3	nykRM	38
brownlee	nykRM-82	9	6	4	2	33	23	0.7	11	27	1	nykRM	82
hennessy	nykRM-10	9	6	3	3	91	87	0.96	6	79	0	nykRM	10
murray	nykRM-81	9	6	3	3	30	26	0.87	3	34	1	nykRM	81
sender	nykRM-5	9	5	2	3	70	66	0.94	2	55	1	nykRM	5
mieser	nykRM-89	3	4	4	0	10	9	0.9	2	14	0	nykRM	89
baum	nykRM-15	8	4	2	2	54	44	0.81	1	36	3	nykRM	15
bosco	nykRM-26	9	4	1	3	121	108	0.89	1	74	2	nykRM	26
hard	nykRM-45	4	3	2	1	15	14	0.93	2	17	0	nykRM	45
wilson	nykRM-27	9	3	0	3	46	40	0.87	5	41	1	nykRM	27
glatt	nykRM-24	5	3	0	3	33	30	0.91	2	25	1	nykRM	24
walter	nykRM-9	4	2	1	1	26	23	0.88	3	24	1	nykRM	9
raymond	nykRM-8	5	1	0	1	15	15	1	2	14	0	nykRM	8
riley	nykRM-7	1	1	0	1	14	11	0.79	0	11	1	nykRM	7
snyder	nykRM-50	1	0	0	0	0	0	NA	0	1	0	nykRM	50
?name?	nykRM-	4	0	0	0	0	0	NA	0	0	0	nykRM	nykRM
Bjorklund	pdxST-6	10	43	28	15	168	151	0.9	5	188	1	pdxST	6
Friedman	pdxST-7	11	40	19	21	431	413	0.96	5	388	1	pdxST	7
Burton	pdxST-16	11	35	18	17	119	104	0.87	1	136	2	pdxST	16
Norden	pdxST-24	10	30	2	28	503	464	0.92	2	419	5	pdxST	24
Lohre	pdxST-42	9	28	15	13	211	201	0.95	3	216	2	pdxST	42
Strout	pdxST-10	9	26	9	17	279	265	0.95	2	257	2	pdxST	10
