game	period	point	pull_team	poss_abs	poss_rel	event	poss_team	pl_team	pl_pnum	pl_code	score	scor_team	who	a_code	b_code
2014-04-12_vanNH-at-pdxST	1	1	vanNH	1	1	7	pdxST	vanNH	81	D	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	1	1	vanNH	2	2	13	vanNH	vanNH	81	LG	TRUE	vanNH	d_line	G	G
2014-04-12_vanNH-at-pdxST	1	2	vanNH	3	1	8	pdxST	pdxST	6	G	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	3	pdxST	4	1	5	vanNH	vanNH	98	G	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	4	vanNH	5	1	8	pdxST	pdxST	16	TD	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	1	4	vanNH	6	2	14	vanNH	vanNH	13	G	TRUE	vanNH	d_line	G	G
2014-04-12_vanNH-at-pdxST	1	5	vanNH	7	1	11	pdxST	pdxST	7	G	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	6	pdxST	8	1	13	vanNH	vanNH	89	VTT	FALSE	NA	o_line	VTT	off -
2014-04-12_vanNH-at-pdxST	1	6	pdxST	9	2	17	pdxST	pdxST	3	LG	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	1	7	pdxST	10	1	9	vanNH	vanNH	98	G	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	8	vanNH	11	1	14	pdxST	pdxST	42	G	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	9	pdxST	12	1	7	vanNH	vanNH	21	G	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	10	vanNH	13	1	8	pdxST	pdxST	13	G	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	11	pdxST	14	1	11	vanNH	vanNH	22	G	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	12	vanNH	15	1	8	pdxST	pdxST	42	G	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	13	pdxST	16	1	7	vanNH	pdxST	21	D	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	1	13	pdxST	17	2	8	pdxST	pdxST	88	TA	FALSE	NA	d_line	TA	off -
2014-04-12_vanNH-at-pdxST	1	13	pdxST	18	3	16	vanNH	vanNH	10	TD	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	1	13	pdxST	19	4	24	pdxST	vanNH	91	D	FALSE	NA	d_line	D	def +
2014-04-12_vanNH-at-pdxST	1	13	pdxST	20	5	26	vanNH	vanNH	33	G	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	14	vanNH	21	1	4	pdxST	pdxST	24	TD	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	1	14	vanNH	22	2	5	vanNH	vanNH	18	VTT	FALSE	NA	d_line	VTT	off -
2014-04-12_vanNH-at-pdxST	1	14	vanNH	23	3	7	pdxST	pdxST	13	LG	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	1	15	pdxST	24	1	4	vanNH	vanNH	22	off F	FALSE	NA	o_line	off F	off -
2014-04-12_vanNH-at-pdxST	1	15	pdxST	25	2	7	pdxST	pdxST	6	G	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	1	16	pdxST	26	1	7	vanNH	vanNH	72	TD	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	1	16	pdxST	27	2	14	pdxST	pdxST	4	G	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	1	17	pdxST	28	1	3	vanNH	vanNH	8	eop	FALSE	NA	o_line	eop	eop
2014-04-12_vanNH-at-pdxST	2	18	pdxST	29	1	7	vanNH	vanNH	98	LG	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	19	vanNH	30	1	8	pdxST	pdxST	2	TD	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	2	19	vanNH	31	2	17	vanNH	vanNH	18	G	TRUE	vanNH	d_line	G	G
2014-04-12_vanNH-at-pdxST	2	20	vanNH	32	1	13	pdxST	pdxST	2	TA	FALSE	NA	o_line	TA	off -
2014-04-12_vanNH-at-pdxST	2	20	vanNH	33	2	18	vanNH	vanNH	21	LG	TRUE	vanNH	d_line	G	G
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	15	pdxST	pdxST	16	LG	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	22	pdxST	35	1	10	vanNH	pdxST	21	D	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	2	22	pdxST	36	2	13	pdxST	vanNH	89	D	FALSE	NA	d_line	D	def +
2014-04-12_vanNH-at-pdxST	2	22	pdxST	37	3	20	vanNH	pdxST	8	D	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	2	22	pdxST	38	4	30	pdxST	vanNH	31	D	FALSE	NA	d_line	D	def +
2014-04-12_vanNH-at-pdxST	2	22	pdxST	39	5	36	vanNH	vanNH	31	G	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	17	pdxST	vanNH	81	D	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	2	23	vanNH	41	2	34	vanNH	vanNH	98	G	TRUE	vanNH	d_line	G	G
2014-04-12_vanNH-at-pdxST	2	24	vanNH	42	1	17	pdxST	pdxST	13	G	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	25	pdxST	43	1	9	vanNH	vanNH	10	G	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	26	vanNH	44	1	10	pdxST	pdxST	13	G	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	27	pdxST	45	1	6	vanNH	pdxST	22	eop	FALSE	NA	o_line	eop	eop
2014-04-12_vanNH-at-pdxST	3	28	vanNH	46	1	9	pdxST	pdxST	13	LG	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	3	29	pdxST	47	1	5	vanNH	vanNH	22	TD	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	3	29	pdxST	48	2	7	pdxST	vanNH	22	D	FALSE	NA	d_line	D	def +
2014-04-12_vanNH-at-pdxST	3	29	pdxST	49	3	9	vanNH	vanNH	21	TD	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	3	29	pdxST	50	4	19	pdxST	pdxST	3	G	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	3	30	pdxST	51	1	4	vanNH	vanNH	5	TA	FALSE	NA	o_line	TA	off -
2014-04-12_vanNH-at-pdxST	3	30	pdxST	52	2	8	pdxST	vanNH	8	D	FALSE	NA	d_line	D	def +
2014-04-12_vanNH-at-pdxST	3	30	pdxST	53	3	12	vanNH	vanNH	22	TD	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	3	30	pdxST	54	4	18	pdxST	pdxST	13	G	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	3	31	pdxST	55	1	5	vanNH	vanNH	89	TA	FALSE	NA	o_line	TA	off -
2014-04-12_vanNH-at-pdxST	3	31	pdxST	56	2	34	pdxST	pdxST	7	G	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	3	32	pdxST	57	1	8	vanNH	pdxST	3	D	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	3	32	pdxST	58	2	10	pdxST	pdxST	16	TA	FALSE	NA	d_line	TA	off -
2014-04-12_vanNH-at-pdxST	3	32	pdxST	59	3	24	vanNH	vanNH	22	G	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	3	33	vanNH	60	1	8	pdxST	pdxST	13	G	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	3	34	pdxST	61	1	6	vanNH	vanNH	89	TA	FALSE	NA	o_line	TA	off -
2014-04-12_vanNH-at-pdxST	3	34	pdxST	62	2	15	pdxST	pdxST	42	G	TRUE	pdxST	d_line	G	G
