game	period	point	pull_team	poss_abs	poss_rel	event	poss_team	pl_team	pl_pnum	pl_code
2014-04-12_vanNH-at-pdxST	1	1	vanNH	1	1	1	pdxST	vanNH	8	P
2014-04-12_vanNH-at-pdxST	1	1	vanNH	1	1	2	pdxST	pdxST	7	PU
2014-04-12_vanNH-at-pdxST	1	1	vanNH	1	1	3	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	1	1	vanNH	1	1	4	pdxST	pdxST	13	
2014-04-12_vanNH-at-pdxST	1	1	vanNH	1	1	5	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	1	1	vanNH	1	1	6	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	1	1	vanNH	1	1	7	pdxST	vanNH	81	D
2014-04-12_vanNH-at-pdxST	1	1	vanNH	2	2	8	vanNH	vanNH	81	
2014-04-12_vanNH-at-pdxST	1	1	vanNH	2	2	9	vanNH	vanNH	18	
2014-04-12_vanNH-at-pdxST	1	1	vanNH	2	2	10	vanNH	vanNH	45	
2014-04-12_vanNH-at-pdxST	1	1	vanNH	2	2	11	vanNH	vanNH	31	
2014-04-12_vanNH-at-pdxST	1	1	vanNH	2	2	12	vanNH	vanNH	8	A
2014-04-12_vanNH-at-pdxST	1	1	vanNH	2	2	13	vanNH	vanNH	81	LG
2014-04-12_vanNH-at-pdxST	1	2	vanNH	3	1	1	pdxST	vanNH	11	P
2014-04-12_vanNH-at-pdxST	1	2	vanNH	3	1	2	pdxST	pdxST	7	PU
2014-04-12_vanNH-at-pdxST	1	2	vanNH	3	1	3	pdxST	pdxST	11	
2014-04-12_vanNH-at-pdxST	1	2	vanNH	3	1	4	pdxST	pdxST	6	
2014-04-12_vanNH-at-pdxST	1	2	vanNH	3	1	5	pdxST	pdxST	16	
2014-04-12_vanNH-at-pdxST	1	2	vanNH	3	1	6	pdxST	pdxST	11	
2014-04-12_vanNH-at-pdxST	1	2	vanNH	3	1	7	pdxST	pdxST	16	LA
2014-04-12_vanNH-at-pdxST	1	2	vanNH	3	1	8	pdxST	pdxST	6	G
2014-04-12_vanNH-at-pdxST	1	3	pdxST	4	1	1	vanNH	pdxST	8	P
2014-04-12_vanNH-at-pdxST	1	3	pdxST	4	1	2	vanNH	vanNH	5	PU
2014-04-12_vanNH-at-pdxST	1	3	pdxST	4	1	3	vanNH	vanNH	72	
2014-04-12_vanNH-at-pdxST	1	3	pdxST	4	1	4	vanNH	vanNH	22	A
2014-04-12_vanNH-at-pdxST	1	3	pdxST	4	1	5	vanNH	vanNH	98	G
2014-04-12_vanNH-at-pdxST	1	4	vanNH	5	1	1	pdxST	vanNH	8	P
2014-04-12_vanNH-at-pdxST	1	4	vanNH	5	1	2	pdxST	pdxST	7	PU
2014-04-12_vanNH-at-pdxST	1	4	vanNH	5	1	3	pdxST	pdxST	13	
2014-04-12_vanNH-at-pdxST	1	4	vanNH	5	1	4	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	1	4	vanNH	5	1	5	pdxST	pdxST	11	
2014-04-12_vanNH-at-pdxST	1	4	vanNH	5	1	6	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	1	4	vanNH	5	1	7	pdxST	pdxST	11	
2014-04-12_vanNH-at-pdxST	1	4	vanNH	5	1	8	pdxST	pdxST	16	TD
2014-04-12_vanNH-at-pdxST	1	4	vanNH	6	2	9	vanNH	vanNH	4	PU
2014-04-12_vanNH-at-pdxST	1	4	vanNH	6	2	10	vanNH	vanNH	18	
2014-04-12_vanNH-at-pdxST	1	4	vanNH	6	2	11	vanNH	vanNH	27	
2014-04-12_vanNH-at-pdxST	1	4	vanNH	6	2	12	vanNH	vanNH	31	
2014-04-12_vanNH-at-pdxST	1	4	vanNH	6	2	13	vanNH	vanNH	81	A
2014-04-12_vanNH-at-pdxST	1	4	vanNH	6	2	14	vanNH	vanNH	13	G
2014-04-12_vanNH-at-pdxST	1	5	vanNH	7	1	1	pdxST	vanNH	8	P
2014-04-12_vanNH-at-pdxST	1	5	vanNH	7	1	2	pdxST	pdxST	7	PU
2014-04-12_vanNH-at-pdxST	1	5	vanNH	7	1	3	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	1	5	vanNH	7	1	4	pdxST	pdxST	21	
2014-04-12_vanNH-at-pdxST	1	5	vanNH	7	1	5	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	1	5	vanNH	7	1	6	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	1	5	vanNH	7	1	7	pdxST	pdxST	13	
2014-04-12_vanNH-at-pdxST	1	5	vanNH	7	1	8	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	1	5	vanNH	7	1	9	pdxST	pdxST	21	
2014-04-12_vanNH-at-pdxST	1	5	vanNH	7	1	10	pdxST	pdxST	42	A
2014-04-12_vanNH-at-pdxST	1	5	vanNH	7	1	11	pdxST	pdxST	7	G
2014-04-12_vanNH-at-pdxST	1	6	pdxST	8	1	1	vanNH	pdxST	8	P
2014-04-12_vanNH-at-pdxST	1	6	pdxST	8	1	2	vanNH	vanNH	91	PU
2014-04-12_vanNH-at-pdxST	1	6	pdxST	8	1	3	vanNH	vanNH	89	
2014-04-12_vanNH-at-pdxST	1	6	pdxST	8	1	4	vanNH	vanNH	91	
2014-04-12_vanNH-at-pdxST	1	6	pdxST	8	1	5	vanNH	vanNH	22	
