period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	vanNH	1	1	1	pdxST	vanNH	8	P
1	1	vanNH	2	1	1	pdxST	pdxST	9	PU
1	1	vanNH	3	1	1	pdxST	pdxST	11	
1	1	vanNH	4	1	1	pdxST	pdxST	6	
1	1	vanNH	5	1	1	pdxST	pdxST	11	
1	1	vanNH	6	1	1	pdxST	pdxST	1	
1	1	vanNH	7	1	1	pdxST	vanNH	?	F
1	1	vanNH	8	1	1	pdxST	pdxST	11	
1	1	vanNH	9	1	1	pdxST	pdxST	6	
1	1	vanNH	10	2	2	vanNH	vanNH	41	PU
1	1	vanNH	11	2	2	vanNH	vanNH	8	
1	1	vanNH	12	2	2	vanNH	vanNH	88	
1	1	vanNH	13	2	2	vanNH	vanNH	1	
1	1	vanNH	14	2	2	vanNH	vanNH	8	
1	1	vanNH	15	2	2	vanNH	vanNH	11	
1	1	vanNH	16	2	2	vanNH	vanNH	?	
1	1	vanNH	17	2	2	vanNH	vanNH	41	
1	1	vanNH	18	2	2	vanNH	vanNH	8	
1	1	vanNH	19	2	2	vanNH	vanNH	19	
1	1	vanNH	20	2	2	vanNH	vanNH	8	
1	1	vanNH	21	2	2	vanNH	vanNH	11	A
1	1	vanNH	22	2	2	vanNH	vanNH	19	G
1	2	vanNH	1	3	1	pdxST	vanNH	8	P
1	2	vanNH	2	3	1	pdxST	pdxST	16	PU
1	2	vanNH	3	3	1	pdxST	pdxST	11	
1	2	vanNH	4	3	1	pdxST	pdxST	1	
1	2	vanNH	5	3	1	pdxST	pdxST	11	
1	2	vanNH	6	3	1	pdxST	pdxST	16	
1	2	vanNH	7	3	1	pdxST	pdxST	11	
1	2	vanNH	8	3	1	pdxST	pdxST	16	
1	2	vanNH	9	3	1	pdxST	pdxST	12	
1	2	vanNH	10	3	1	pdxST	pdxST	6	TD
1	2	vanNH	11	4	2	vanNH	vanNH	41	PU
1	2	vanNH	12	4	2	vanNH	vanNH	46	
1	2	vanNH	13	4	2	vanNH	vanNH	90	
1	2	vanNH	14	4	2	vanNH	vanNH	41	
1	2	vanNH	15	4	2	vanNH	vanNH	11	
1	2	vanNH	16	4	2	vanNH	vanNH	40	
1	2	vanNH	17	4	2	vanNH	vanNH	11	
1	2	vanNH	18	4	2	vanNH	vanNH	8	
1	2	vanNH	19	4	2	vanNH	pdxST	1	D
1	2	vanNH	20	5	3	pdxST	pdxST	1	PU
1	2	vanNH	21	5	3	pdxST	pdxST	6	
1	2	vanNH	22	5	3	pdxST	pdxST	11	
1	2	vanNH	23	5	3	pdxST	pdxST	12	
1	2	vanNH	24	5	3	pdxST	pdxST	16	
1	2	vanNH	25	5	3	pdxST	pdxST	91	
1	2	vanNH	26	6	4	vanNH	vanNH	41	PU
1	2	vanNH	27	6	4	vanNH	vanNH		TO
1	2	vanNH	28	6	4	vanNH	vanNH	91	PU
1	2	vanNH	29	6	4	vanNH	vanNH	12	
1	2	vanNH	30	6	4	vanNH	vanNH	21	
1	2	vanNH	31	6	4	vanNH	vanNH	14	
1	2	vanNH	32	6	4	vanNH	pdxST	12	D
1	2	vanNH	33	7	5	pdxST	pdxST	22	PU
1	2	vanNH	34	7	5	pdxST	pdxST	?	
1	2	vanNH	35	7	5	pdxST	pdxST	5	L
1	2	vanNH	36	7	5	pdxST	pdxST	77	
1	2	vanNH	37	7	5	pdxST	pdxST	22	
1	2	vanNH	38	7	5	pdxST	pdxST	77	
1	2	vanNH	39	7	5	pdxST	pdxST	88	
1	2	vanNH	40	7	5	pdxST	pdxST	67	
1	2	vanNH	41	7	5	pdxST	pdxST	88	
1	2	vanNH	42	7	5	pdxST	pdxST	8	A
1	2	vanNH	43	7	5	pdxST	pdxST	67	G
1	3	pdxST	1	8	1	vanNH	pdxST	8	P
1	3	pdxST	2	8	1	vanNH	vanNH	12	PU
1	3	pdxST	3	8	1	vanNH	vanNH	91	
1	3	pdxST	4	8	1	vanNH	vanNH	13	
1	3	pdxST	5	8	1	vanNH	pdxST	?	D
1	3	pdxST	6	9	2	pdxST	pdxST	?	
1	3	pdxST	7	9	2	pdxST	pdxST	67	
1	3	pdxST	8	9	2	pdxST	pdxST	22	
1	3	pdxST	9	9	2	pdxST	pdxST	24	
1	3	pdxST	10	9	2	pdxST	pdxST	77	
1	3	pdxST	11	9	2	pdxST	pdxST	8	
1	3	pdxST	12	9	2	pdxST	pdxST	77	A
1	3	pdxST	13	9	2	pdxST	pdxST	26	G
1	4	pdxST	1	10	1	vanNH	pdxST	18	P
1	4	pdxST	2	10	1	vanNH	vanNH	45	PU
1	4	pdxST	3	10	1	vanNH	vanNH	91	
1	4	pdxST	4	11	2	pdxST	pdxST	36	PU
1	4	pdxST	5	11	2	pdxST	pdxST	18	
1	4	pdxST	6	11	2	pdxST	pdxST	0	
1	4	pdxST	7	11	2	pdxST	pdxST	36	
1	4	pdxST	8	11	2	pdxST	pdxST	0	A
1	4	pdxST	9	11	2	pdxST	pdxST	10	G
1	5	pdxST	1	12	1	vanNH	pdxST	10	P
1	5	pdxST	2	12	1	vanNH	vanNH	91	
1	5	pdxST	3	12	1	vanNH	vanNH	12	
1	5	pdxST	4	12	1	vanNH	vanNH	91	
1	5	pdxST	5	12	1	vanNH	vanNH	12	
1	5	pdxST	6	12	1	vanNH	vanNH	91	
1	5	pdxST	7	12	1	vanNH	vanNH	98	
1	5	pdxST	8	12	1	vanNH	vanNH	14	
1	5	pdxST	9	12	1	vanNH	pdxST	5	D
1	5	pdxST	10	12	1	vanNH	vanNH	98	
1	5	pdxST	11	13	2	pdxST	pdxST	36	PU
1	5	pdxST	12	13	2	pdxST	pdxST	0	
1	5	pdxST	13	13	2	pdxST	pdxST	31	
1	5	pdxST	14	13	2	pdxST	pdxST	77	L
1	5	pdxST	15	13	2	pdxST	pdxST	36	A
1	5	pdxST	16	13	2	pdxST	pdxST	10	G
1	6	pdxST	1	14	1	vanNH	pdxST	?	P
1	6	pdxST	2	14	1	vanNH	vanNH	11	
1	6	pdxST	3	14	1	vanNH	vanNH	90	
1	6	pdxST	4	14	1	vanNH	vanNH	41	
