point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	41	P		
1	2			?	PU
1	3			6	
1	4			27	
1	5			60	
1	6			6	
1	7			1	
1	8			60	
1	9			27	
1	10			1	
1	11			6	
1	12			16	
1	13			27	
1	14			16	
1	15			60	
1	16			6	
1	17			16	
1	18			6	
1	19			60	G
2	1	90	P		
2	2			47	PU
2	3			12	
2	4			8	
2	5			12	
2	6			21	
2	7			14	
2	8	?	D		
2	9	?	PU		
2	10	22			
2	11	44			
2	12	18			
2	13	7	G		
3	1	22	P		
3	2			21	PU
3	3			12	
3	4			47	
3	5			13	
3	6			17	
3	7			98	
3	8			12	
3	9			8	
3	10	22	F		
3	11			98	G
4	1	41	P		
4	2			1	PU
4	3			6	
4	4			16	
4	5			3	L
4	6			1	G
5	1	44	P		
5	2			12	PU
5	3			21	
5	4			12	
5	5			8	
5	6	44	D		
5	7			47	
5	8	14	PU		
5	9	98			
5	10			21	PU
5	11			8	
5	12			47	G
6	1	45	P		
6	2			1	PU
6	3			6	
6	4			24	G
7	1	42	P		
7	2			12	PU
7	3			49	
7	4			8	TD
7	5	7	PU		
7	6	1			
7	7	7			
7	8	?			
7	9	31			
7	10	22			
7	11	31	G		
8	1	98	P		
8	2			12	PU
8	3			21	
8	4			12	
8	5			8	
8	6			17	
8	7			14	
8	8			13	TD
8	9	7	PU		
8	10	14	VST		
8	11			21	PU
8	12			12	
8	13			8	
8	14			17	
8	15			47	G
9	1	41	P		
9	2			1	PU
9	3			6	
9	4			24	
9	5			16	
9	6			6	
9	7			3	G
10	1	42	P		
10	2			21	PU
10	3	29	PU		
10	4	31			
10	5	29			
10	6	31			
10	7	14			
10	8	22			
10	9			47	PU
10	10			98	TD
10	11	29	PU		
10	12	31	TO		
10	13	6	PU		
10	14	29			
10	15	16			
10	16	29			
10	17	16	G		
11	1	50	P		
11	2			47	PU
11	3			49	
11	4	7	PU		
11	5	31			
11	6	19			
11	7			14	D
11	8			14	PU
11	9			47	
11	10			12	
