point	Offense	Defense
1		29P
1	12pu	
1	91	
1	78	
1	98	
1	91	
1	12	
1	14	
1	78	
1	8	
1	91G	
2		41P
2	1pu	
2	6	
2	27	
2	6	
2	3	
2	?	
2	3	
2	23G	
3		98P
3	17pu	
3	91	
3	78	
3	8	
3	14	
3	8	
3	91	
3	78	
3	91	
3	47	
3	91	
3	78	
3	8G	
4		41P
4	?pu	
4	6	
4	3	
4	24	
4		17D
4		11pu
4		6
4		41
4		45G
5		1P
5	27pu	
5	6	
5	23	
5	16	
5	14G	
6		42P
6	14pu	
6	91	
6	12	
6	78	
6	14	
6	91	
6	78	
6	14	
6	98	
6	98SO	
6	1SI	
6		?SO
6		19SI
6	1pu	
6	8G	
7		25P
7	1pu	
7	6VST	
7		11pu
7		19G
8		8P
8	1pu	
8	6	
8	23	
8		41D
8		41pu
8		8
8		88
8	16D	
8	16pu	
8	27	
8	6	
8	27	
8	6	
8	?	
8	3	
8		41pu
8		8
8		66
8	13D	
8	?pu	
8	27	
8	16	
8	27	
8	1	
8	27	
8		88TO
8		91pu
8		47
8		90
8		8
8		91
8		8
8		21
8		91
8	14D	
8	14pu	
8	23	
8	7	
8	44G	
9	NA	98P
9	1	
9	NA	29pu
9	NA	22G
10		42P
10	47pu	
10	91	
10	47	
10	14	
10		22pu
10		42
10		29
10		31
10		29
10		98G
11		98P
11	47pu	
11	91	
11	21	
11	8	
11	91	
11	47	
11	91	
11	90	
11	21	
11	91G	
12		41P
12	?pu	
12	1	
12	27	
12	24	
12	27	
12	1	
12	98	
12		49pu
12		41
13		41P
13	1pu	
13	6	
13	?	
13	16	
13	6	
13	0	
13	1	
13	3	
13	0	
13	1	
13	6	
13	16	
13	3	
13	16	19F
13	1	
13	16G	
14		29P
14	47pu	
14	91	
14	78	
14	98	
14	8	
14	14	
14	98G	
15		41P
15	1pu	
15	6	
15	27	
15	60	
15	27	
15	60	
15	27	
15	1	
15	97G	
16		98P
16	47pu	
16	90	
16	91	
16	91SO	
16	12SI	
16	12pu	
16	8	
16	90	
16	47	
16	14	
16		98D
16		42pu
16	47pu	
16		46pu
16	31F	
16		8
16		47G
17		41P
17	27pu	
17	1	
17	16	
17	3	
17	51	
17	16	
17	3	
17	1	
17	16G	
18		22P
18	12pu	
18	47	
18	78	
18	8	
18	98	
18	14G	
19		41P
19	27pu	
19	6	
19	16	
19	?	
19	16	
19		?F
19	27	
19	16	
19	3	
19	16G	
20		29P
20	12pu	
20	8	
20	78	
20	8	
20	14	
20	8	
20	98	
20	90	
20	14G	
21		41P
21	6pu	
21	1	
21	24	
21	0	
21	6	
21	?	
21	16	
21	0	
21	3	
21	0	
21	6	
21	3	
21	16	
21	97G	
22		?P
22	47pu	
22	12	
22	8	
22	14	
22	90	
22	14	
22	47	
22	78	
22	8	
22		29pu
22		?
22		22
22	14D	
22	47pu	
22	8	
22	12	
22	47	
22	90	
22	14G	
23		1P
23	27pu	
23	23	
23	6	
23		10D
23		1
23		10
23		6
23		25
23		19G
24		41P
24	0pu	
24	1	
24	23	
24		49F
24	24	
24	3	
24	23	
24	0	
24	23	
24	1	
24	97G	
25		31P
25	90pu	
25	47	
25	90	
25	47	
25	12	
25	98	
25	8	
25	14	
25		7D
25		7pu
25		31
25		17
25		31
25		7G
26		29P
26	90pu	
26	47	
26	41	
26	12	
26	21	
26	8	
26	47G	
27		41P
27	23pu	
27	6	
27	97	
27	27	
27	97	
27	27	
27	16	
27		49D
28		42P
28	90pu	
28	47	
28	14	
28	8	
28	78	
28	47	
28	14	
28	12	
28	47	
28	8	
28	90	
28	8	
28	14G	
29		41P
29	1pu	
29	6	
29	23	
29	6	
29	24	
29	0	
29		41pu
29		6
29		1
29		45
29		41G
30		25P
30	27pu	
30	?	
30	60	
30	16G	
31		98P
31	?pu	
31	47	
31	12	
31	47	
31	12	
31	8	
31	47	
31	14	
31	47	
31	98G	
32		45P
32	1pu	
32	6	
32	23	
32	1	
32	27	
32	16	
32	1	
32	3	
32	51	
32	3G	
33		42P
33	90pu	
33	47	
33	8	
33	14	
33	78G	
34		1P
34	0pu	
34	6	
34	24	
34	16G	
35		22P
35	47pu	
35		4D
35		7pu
35		14
35		31
35		23
35		14
35		?
35		14TO
35		6pu
35		3
35		6
35		29
35		22
35		3G
36		98P
36	12pu	
36	47	
36	78	
36	98	
36	90	
36	98	
36	90G	
37		1P
37	27pu	
37	1	
37	16	
37	0	
37	16	
37	3	
37	51	
37	3G	
38		42P
38	90pu	
38	47	
38	98	
38		22D
38		?
38		29
38		22G
39		42P
39	90pu	
39	21	
39	14	
39	8	
39	47	
39	14	
39		27pu
39		14
39		42
39		22
39		31
39		29
39	78D	
