point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Seattle Rainmakers	1	10:00:00	9:26:00
2	Vancouver Nighthawks	1	9:26:00	8:48:00
3	Seattle Rainmakers	1	8:48:00	7:47:00
4	Vancouver Nighthawks	1	7:47:00	6:54:00
5	Vancouver Nighthawks	1	6:54:00	6:38:00
6	Seattle Rainmakers	1	6:38:00	5:53:00
7	Vancouver Nighthawks	1	5:53:00	5:32:00
8	Vancouver Nighthawks	1	5:32:00	2:07:00
9	Seattle Rainmakers	1	2:07:00	1:51:00
10	Seattle Rainmakers	1	1:51:00	1:04:00
11	Seattle Rainmakers	1	1:04:00	0:27:00
12	Vancouver Nighthawks	1	0:27:00	0:00:00
13	Vancouver Nighthawks	2	10:00:00	9:08:00
14	Seattle Rainmakers	2	9:08:00	8:48:00
15	Vancouver Nighthawks	2	8:48:00	8:21:00
16	Vancouver Nighthawks	2	8:21:00	7:07:00
17	Vancouver Nighthawks	2	7:07:00	6:36:00
18	Seattle Rainmakers	2	6:36:00	6:19:00
19	Vancouver Nighthawks	2	6:19:00	5:40:00
20	Seattle Rainmakers	2	5:40:00	5:11:00
21	Vancouver Nighthawks	2	5:11:00	4:28:00
22	Seattle Rainmakers	2	4:28:00	2:53:00
23	Vancouver Nighthawks	2	2:53:00	2:19:00
24	Vancouver Nighthawks	2	2:19:00	1:39:00
25	Seattle Rainmakers	2	1:39:00	0:50:00
26	Seattle Rainmakers	2	0:50:00	0:25:00
27	Vancouver Nighthawks	2	0:25:00	0:00:00
28	Seattle Rainmakers	3	10:00:00	9:25:00
29	Vancouver Nighthawks	3	9:25:00	8:35:00
30	Vancouver Nighthawks	3	8:35:00	8:19:00
31	Seattle Rainmakers	3	8:19:00	7:50:00
32	Vancouver Nighthawks	3	7:50:00	7:16:00
33	Seattle Rainmakers	3	7:16:00	7:02:00
34	Vancouver Nighthawks	3	7:02:00	6:48:00
35	Seattle Rainmakers	3	6:48:00	5:49:00
36	Seattle Rainmakers	3	5:49:00	5:18:00
37	Vancouver Nighthawks	3	5:18:00	4:50:00
38	Seattle Rainmakers	3	4:50:00	4:28:00
39	Seattle Rainmakers	3	4:28:00	3:03:00
40	Seattle Rainmakers	3	3:03:00	1:13:00
41	Vancouver Nighthawks	3	1:13:00	1:03:00
42	Seattle Rainmakers	3	1:03:00	0:21:00
43	Vancouver Nighthawks	3	0:21:00	0:00:00
44	Vancouver Nighthawks	4	10:00:00	9:35:00
45	Vancouver Nighthawks	4	9:35:00	8:37:00
46	Seattle Rainmakers	4	8:37:00	7:23:00
47	Seattle Rainmakers	4	7:23:00	7:04:00
48	Vancouver Nighthawks	4	7:04:00	6:06:00
49	Seattle Rainmakers	4	6:06:00	5:43:00
50	Vancouver Nighthawks	4	5:43:00	4:38:00
51	Seattle Rainmakers	4	4:38:00	3:56:00
52	Vancouver Nighthawks	4	3:56:00	2:51:00
53	Seattle Rainmakers	4	2:51:00	2:29:00
54	Seattle Rainmakers	4	2:29:00	1:48:00
55	Vancouver Nighthawks	4	1:48:00	1:36:00
56	Vancouver Nighthawks	4	1:36:00	1:10:00
57	Seattle Rainmakers	4	1:10:00	0:52:00
58	Vancouver Nighthawks	4	0:52:00	0:18:00
59	Seattle Rainmakers	4	0:18:00	0:00:00
