period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
1	1	seaRM	11	1	1	vanNH	vanNH	91	G	11	FALSE	TRUE	vanNH	o_line	G	G
1	2	vanNH	9	2	1	seaRM	seaRM	23	G	9	FALSE	TRUE	seaRM	o_line	G	G
1	3	seaRM	14	3	1	vanNH	vanNH	8	G	14	FALSE	TRUE	vanNH	o_line	G	G
1	4	vanNH	6	4	1	seaRM	vanNH	17	D	6	FALSE	FALSE	NA	o_line	D	def +
1	4	vanNH	10	5	2	vanNH	vanNH	45	G	4	FALSE	TRUE	vanNH	d_line	G	G
1	5	vanNH	6	6	1	seaRM	seaRM	14	G	6	FALSE	TRUE	seaRM	o_line	G	G
1	6	seaRM	16	7	1	vanNH	vanNH	8	G	16	FALSE	TRUE	vanNH	o_line	G	G
1	7	vanNH	3	8	1	seaRM	seaRM	6	VST	3	FALSE	FALSE	NA	o_line	VST	off -
1	7	vanNH	5	9	2	vanNH	vanNH	19	G	2	FALSE	TRUE	vanNH	d_line	G	G
1	8	vanNH	5	10	1	seaRM	vanNH	41	D	5	FALSE	FALSE	NA	o_line	D	def +
1	8	vanNH	9	11	2	vanNH	seaRM	16	D	4	FALSE	FALSE	NA	d_line	D	def +
1	8	vanNH	16	12	3	seaRM	seaRM	3	TA	7	FALSE	FALSE	NA	o_line	TA	off -
1	8	vanNH	20	13	4	vanNH	seaRM	13	D	4	FALSE	FALSE	NA	d_line	D	def +
1	8	vanNH	26	14	5	seaRM	seaRM	27	TA	6	FALSE	FALSE	NA	o_line	TA	off -
1	8	vanNH	36	15	6	vanNH	seaRM	14	D	10	FALSE	FALSE	NA	d_line	D	def +
1	8	vanNH	40	16	7	seaRM	seaRM	44	G	4	FALSE	TRUE	seaRM	o_line	G	G
1	9	seaRM	2	17	1	vanNH	vanNH	1	TA	2	FALSE	FALSE	NA	o_line	TA	off -
1	9	seaRM	4	18	2	seaRM	seaRM	22	G	2	FALSE	TRUE	seaRM	d_line	G	G
1	10	seaRM	5	19	1	vanNH	vanNH	14	TA	5	FALSE	FALSE	NA	o_line	TA	off -
1	10	seaRM	11	20	2	seaRM	seaRM	98	G	6	FALSE	TRUE	seaRM	d_line	G	G
1	11	seaRM	11	21	1	vanNH	vanNH	91	G	11	FALSE	TRUE	vanNH	o_line	G	G
1	12	vanNH	8	22	1	seaRM	seaRM	98	TA	8	FALSE	FALSE	NA	o_line	TA	off -
1	12	vanNH	10	23	2	vanNH	vanNH	41	eop	2	FALSE	FALSE	NA	d_line	eop	eop
