first	last	number
alex	peters	1
nick	hirannet	7
david	brandolph	13
david	baer	20
patrick	earles	3
patrick	diviney	9
matt	zumbrum	12
matt	glazer	14
max	thorne	23
trey	katzenbach	25
jake	rainwater	27
ben	scharadin	32
jonah	wisch	38
nick	mathison	41
marcus	ranii-dropcho	42
gabe	colton	2
michael	panna	21
make	baer	28
marshall	ward	33
ian	mcclellan	71
trent	dillon	76
dustin	damiano	4
leon	chou	6
dan	furfari	8
jack	casey	10
matthew	esser	11
art	shull	16
matt	paparone	22
patrick	lindsey	31
frederik	brasz	64
justin	carter	88
bo	li	77
