first	last	number
chris	rupp	0
gavin	mckibben	1
chris	bubernak	2
mario	o'brien	3
henry	schneider	4
jimmy	chu	5
daniel	trytiak	6
sam	cooper	7
kahyee	fong	8
sam	harkness	9
peter	kalmakis	10
rory	gallagher	12
matthew	sewell	13
samuel	pickel	14
benjamin	beehner	15
jimmy	hooper	16
matthew	zemel	17
bryson	uhrig-fox	18
adam	simon	20
henry	phan	21
todd	sliva	23
alex	duffel	24
thomas	rosatto	25
duncan	linn	28
eddie	feeley	29
max	barowski	31
reid	koss	35
donald	clark	48
isaac	entz	51
elliot	trotter	77
khalif	el-salaam	99
